src,dst,edge_attr
132,29,0.800000011920929
29,148,0.5910000205039978
29,146,0.550000011920929
29,88,0.9620000123977661
29,141,0.972000002861023
29,133,0.9470000267028809
29,126,0.9559999704360962
29,105,0.9900000095367432
68,130,0.4569999873638153
68,95,0.4569999873638153
68,136,0.7549999952316284
68,113,0.843999981880188
95,29,0.8999999761581421
95,126,0.8999999761581421
95,133,0.8999999761581421
95,105,0.8999999761581421
136,95,0.5289999842643738
136,113,0.9750000238418579
136,130,0.4569999873638153
113,143,0.4569999873638153
113,144,0.4569999873638153
113,95,0.628000020980835
113,130,0.4569999873638153
56,113,0.9729999899864197
56,136,0.9660000205039978
143,20,0.4569999873638153
143,25,0.46000000834465027
143,140,0.4569999873638153
143,29,0.4569999873638153
143,98,0.4569999873638153
143,146,0.4569999873638153
143,144,0.4569999873638153
143,150,0.4569999873638153
144,0,0.4569999873638153
144,22,0.43799999356269836
144,25,0.5699999928474426
144,29,0.4569999873638153
144,137,0.4569999873638153
144,146,0.4569999873638153
144,150,0.4569999873638153
144,104,0.6179999709129333
131,4,0.6669999957084656
131,23,0.4569999873638153
131,142,0.949999988079071
131,139,0.527999997138977
142,1,0.5490000247955322
142,6,0.5490000247955322
142,9,0.4830000102519989
142,14,0.4569999873638153
142,15,0.6179999709129333
142,141,0.4790000021457672
142,90,0.4569999873638153
142,102,0.4569999873638153
142,53,0.5490000247955322
142,88,0.4830000102519989
142,130,0.42100000381469727
142,150,0.5419999957084656
142,144,0.5699999928474426
142,145,0.9290000200271606
142,111,0.5490000247955322
142,54,0.9459999799728394
142,49,0.4830000102519989
142,38,0.5120000243186951
12,144,0.5699999928474426
12,150,0.6909999847412109
12,85,0.5139999985694885
12,41,0.4569999873638153
12,15,0.5490000247955322
12,142,0.6209999918937683
150,146,0.41200000047683716
150,147,0.4569999873638153
150,126,0.4830000102519989
85,21,0.5260000228881836
41,9,0.4569999873638153
1,119,0.4410000145435333
6,97,0.41999998688697815
6,144,0.4569999873638153
6,53,0.652999997138977
53,143,0.4569999873638153
53,82,0.550000011920929
53,54,0.4569999873638153
53,144,0.4569999873638153
88,30,0.41999998688697815
54,126,0.4569999873638153
54,88,0.4830000102519989
54,72,0.734000027179718
49,101,0.4000000059604645
101,144,0.4569999873638153
101,150,0.5479999780654907
94,61,0.5699999928474426
94,75,0.421999990940094
61,25,0.4569999873638153
75,61,0.421999990940094
46,144,0.5759999752044678
42,25,0.4569999873638153
10,149,0.4569999873638153
10,25,0.4569999873638153
149,143,0.4569999873638153
149,48,0.9729999899864197
149,144,0.4569999873638153
50,25,0.4569999873638153
50,120,0.4569999873638153
120,22,0.5379999876022339
120,25,0.4569999873638153
129,143,0.4569999873638153
100,25,0.4180000126361847
116,15,0.4050000011920929
121,143,0.4569999873638153
82,29,0.4569999873638153
82,57,0.4569999873638153
117,29,0.421999990940094
117,54,0.4569999873638153
115,104,0.41200000047683716
104,25,0.4569999873638153
104,120,0.6470000147819519
35,54,0.4569999873638153
35,72,0.4569999873638153
72,88,0.4569999873638153
77,18,0.6880000233650208
18,143,0.4569999873638153
20,3,0.9649999737739563
146,126,0.6190000176429749
146,98,0.4569999873638153
22,25,0.42100000381469727
137,25,0.42100000381469727
137,104,0.5839999914169312
126,141,0.972000002861023
126,88,0.9549999833106995
133,141,0.9300000071525574
133,88,0.925000011920929
133,126,0.8999999761581421
105,141,0.9340000152587891
105,88,0.921999990940094
105,133,0.9480000138282776
105,126,0.968999981880188
79,29,0.9739999771118164
79,88,0.7360000014305115
79,105,0.953000009059906
79,126,0.9559999704360962
79,133,0.9629999995231628
78,150,0.4880000054836273
125,160,0.4569999873638153
125,67,0.4569999873638153
127,40,0.9679999947547913
65,51,0.6129999756813049
91,112,0.4569999873638153
91,8,0.734000027179718
36,55,0.6399999856948853
36,109,0.421999990940094
36,39,0.6209999918937683
36,45,0.421999990940094
36,33,0.6380000114440918
80,122,0.734000027179718
80,76,0.5860000252723694
80,66,0.5220000147819519
80,45,0.6100000143051147
80,34,0.5770000219345093
80,24,0.609000027179718
80,8,0.734000027179718
52,80,0.734000027179718
52,76,0.734000027179718
52,122,0.734000027179718
52,91,0.734000027179718
52,66,0.6100000143051147
52,45,0.734000027179718
52,28,0.734000027179718
52,24,0.734000027179718
52,8,0.734000027179718
138,122,0.734000027179718
138,55,0.972000002861023
70,76,0.9729999899864197
70,109,0.9470000267028809
70,124,0.9729999899864197
70,138,0.9470000267028809
70,135,0.972000002861023
70,114,0.9459999799728394
70,86,0.9470000267028809
70,83,0.8330000042915344
70,106,0.843999981880188
70,69,0.9330000281333923
70,58,0.9470000267028809
70,55,0.9470000267028809
70,45,0.9470000267028809
70,39,0.9459999799728394
70,37,0.9470000267028809
70,34,0.843999981880188
70,33,0.9470000267028809
70,32,0.8610000014305115
70,31,0.9539999961853027
70,28,0.9470000267028809
70,27,0.9459999799728394
70,24,0.9470000267028809
70,16,0.421999990940094
70,13,0.8740000128746033
70,11,0.9470000267028809
70,8,0.9729999899864197
70,2,0.9470000267028809
109,138,0.972000002861023
109,76,0.9869999885559082
109,55,0.972000002861023
109,45,0.9829999804496765
109,37,0.972000002861023
109,31,0.972000002861023
109,24,0.972000002861023
109,8,0.984000027179718
76,138,0.9509999752044678
76,122,0.734000027179718
76,55,0.9509999752044678
76,45,0.9879999756813049
76,37,0.9509999752044678
76,31,0.972000002861023
76,24,0.972000002861023
76,8,0.9909999966621399
83,86,0.972000002861023
83,135,0.9509999752044678
83,109,0.9290000200271606
83,124,0.9610000252723694
83,114,0.906000018119812
83,138,0.9309999942779541
83,106,0.824999988079071
83,76,0.9160000085830688
83,58,0.9210000038146973
83,55,0.9309999942779541
83,45,0.9679999947547913
83,39,0.902999997138977
83,37,0.9079999923706055
83,34,0.9020000100135803
83,33,0.9070000052452087
83,32,0.9259999990463257
83,31,0.9309999942779541
83,28,0.9309999942779541
83,27,0.9240000247955322
83,24,0.9290000200271606
83,13,0.8989999890327454
83,11,0.9010000228881836
83,8,0.8980000019073486
83,2,0.9309999942779541
135,138,0.9509999752044678
135,114,0.9509999752044678
135,109,0.972000002861023
135,86,0.9509999752044678
135,76,0.972000002861023
135,55,0.9509999752044678
135,45,0.9509999752044678
135,39,0.9509999752044678
135,37,0.972000002861023
135,34,0.9490000009536743
135,33,0.9509999752044678
135,32,0.9509999752044678
135,31,0.9509999752044678
135,28,0.9509999752044678
135,27,0.9829999804496765
135,24,0.972000002861023
135,8,0.9909999966621399
135,2,0.9509999752044678
114,138,0.9700000286102295
114,109,0.9679999947547913
114,76,0.9679999947547913
114,55,0.9700000286102295
114,45,0.9700000286102295
114,39,0.9700000286102295
114,37,0.9760000109672546
114,34,0.9070000052452087
114,33,0.984000027179718
114,31,0.972000002861023
114,24,0.9779999852180481
114,8,0.925000011920929
114,2,0.9700000286102295
106,138,0.9490000009536743
106,114,0.9490000009536743
106,135,0.9490000009536743
106,109,0.9490000009536743
106,124,0.824999988079071
106,86,0.9390000104904175
106,76,0.9490000009536743
106,58,0.9490000009536743
106,55,0.9490000009536743
106,45,0.9490000009536743
106,39,0.9490000009536743
106,37,0.9490000009536743
106,34,0.8320000171661377
106,33,0.843999981880188
106,32,0.9490000009536743
106,31,0.9490000009536743
106,28,0.843999981880188
106,27,0.9520000219345093
106,24,0.9490000009536743
106,11,0.9490000009536743
106,8,0.9559999704360962
106,2,0.843999981880188
122,66,0.734000027179718
69,138,0.8610000014305115
69,83,0.925000011920929
69,124,0.925000011920929
69,86,0.8610000014305115
69,76,0.8610000014305115
69,109,0.8610000014305115
69,135,0.8610000014305115
69,114,0.8610000014305115
69,106,0.8679999709129333
69,58,0.8610000014305115
69,55,0.8610000014305115
69,52,0.734000027179718
69,45,0.8610000014305115
69,39,0.8610000014305115
69,37,0.8610000014305115
69,34,0.8669999837875366
69,33,0.8610000014305115
69,32,0.8610000014305115
69,31,0.8330000042915344
69,28,0.8610000014305115
69,27,0.9300000071525574
69,24,0.9509999752044678
69,13,0.8809999823570251
69,11,0.8610000014305115
69,8,0.8610000014305115
69,2,0.8610000014305115
62,87,0.4569999873638153
62,73,0.4569999873638153
62,162,0.4569999873638153
58,138,0.9509999752044678
58,86,0.9769999980926514
58,109,0.972000002861023
58,124,0.9509999752044678
58,135,0.9509999752044678
58,76,0.9509999752044678
58,114,0.9509999752044678
58,122,0.734000027179718
58,55,0.9509999752044678
58,45,0.972000002861023
58,39,0.9509999752044678
58,37,0.972000002861023
58,34,0.9200000166893005
58,33,0.9509999752044678
58,32,0.9509999752044678
58,31,0.972000002861023
58,28,0.9509999752044678
58,27,0.968999981880188
58,24,0.9509999752044678
58,16,0.734000027179718
58,11,0.9509999752044678
58,8,0.9909999966621399
58,2,0.9509999752044678
45,55,0.9800000190734863
45,138,0.9509999752044678
45,122,0.734000027179718
39,45,0.953000009059906
39,55,0.968999981880188
39,138,0.9559999704360962
39,109,0.9459999799728394
39,76,0.9459999799728394
39,122,0.734000027179718
39,37,0.9509999752044678
39,34,0.9070000052452087
39,33,0.9879999756813049
39,31,0.9729999899864197
39,24,0.9509999752044678
39,8,0.9269999861717224
37,55,0.972000002861023
37,45,0.972000002861023
37,138,0.972000002861023
37,31,0.9739999771118164
37,8,0.9679999947547913
34,138,0.925000011920929
34,37,0.9120000004768372
34,55,0.9240000247955322
34,76,0.8650000095367432
34,45,0.859000027179718
34,109,0.8619999885559082
34,122,0.656000018119812
34,66,0.6660000085830688
34,31,0.925000011920929
34,24,0.8840000033378601
34,8,0.9169999957084656
33,109,0.9629999995231628
33,55,0.9710000157356262
33,76,0.9470000267028809
33,45,0.9539999961853027
33,138,0.9539999961853027
33,37,0.9470000267028809
33,34,0.9160000085830688
33,122,0.734000027179718
33,31,0.9750000238418579
33,24,0.9779999852180481
