Indice,Frequenza
89,912
59,897
55,889
68,889
51,888
100,886
146,879
66,877
74,877
69,876
67,874
27,871
110,871
0,870
5,868
73,867
160,867
103,866
57,865
50,862
6,861
49,856
56,851
9,847
107,846
152,843
155,843
45,841
14,830
119,828
126,825
48,824
115,824
102,822
163,821
94,819
106,817
120,815
78,814
87,814
7,812
105,812
161,812
88,809
123,809
145,809
143,809
156,807
158,807
113,806
81,805
85,805
96,803
162,803
157,803
23,802
147,802
139,802
130,800
84,800
19,798
63,798
118,798
2,797
140,797
38,797
4,796
116,796
154,796
75,795
99,794
124,794
132,794
137,794
77,793
141,793
52,792
90,792
128,792
131,792
92,791
133,791
79,790
142,790
166,790
36,790
97,790
61,788
76,788
144,788
42,788
159,788
15,788
72,787
82,787
121,787
122,787
101,787
13,786
25,786
41,786
91,786
3,785
37,785
164,785
165,785
30,783
62,783
129,783
70,782
86,782
150,782
112,782
1,781
109,780
135,780
151,780
117,780
127,779
149,779
21,778
153,778
34,777
71,777
10,776
17,776
65,776
43,776
44,775
136,775
104,774
134,774
26,773
93,773
54,773
46,772
29,771
64,771
83,770
98,770
125,770
114,769
138,769
148,769
95,769
22,768
11,768
16,767
58,767
108,767
111,766
12,764
47,761
18,760
53,760
80,760
28,758
32,755
60,754
8,753
31,753
39,752
35,749
40,746
20,745
24,743
33,736
