"#node1","automated_textmining","combined_score","database_annotated","experimentally_determined_interaction","homology","interaction","name","node2","Origin","selected","shared interaction","shared name"
"AATF","0","0.8","0","0.8","0","interacts with","9606.ENSP00000477848 (interacts with) 9606.ENSP00000272317","RPS27A","1","false","interacts with","9606.ENSP00000477848 (interacts with) 9606.ENSP00000272317"
"RPS27A","0","0.591","0","0.591","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000400906","UBE2L3","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000400906"
"RPS27A","0","0.55","0","0.55","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000374455","SQSTM1","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000374455"
"RPS27A","0","0.962","0","0.962","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000365576","UBQLN1","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000365576"
"RPS27A","0","0.972","0","0.972","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000284440","UCHL1","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000284440"
"RPS27A","0","0.947","0","0.947","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000478771","UBB","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000478771"
"RPS27A","0","0.956","0","0.956","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000441543","UBC","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000441543"
"RPS27A","0","0.99","0","0.99","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000388107","UBA52","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000388107"
"ABI1","0","0.697","0","0.697","0","interacts with","9606.ENSP00000365312 (interacts with) 9606.ENSP00000354251","NCKAP1","1","false","interacts with","9606.ENSP00000365312 (interacts with) 9606.ENSP00000354251"
"AGER","0","0.549","0","0.549","0","interacts with","9606.ENSP00000364210 (interacts with) 9606.ENSP00000345347","HMGB1","1","false","interacts with","9606.ENSP00000364210 (interacts with) 9606.ENSP00000345347"
"HMGB1","0","0.42","0","0.421","0","interacts with","9606.ENSP00000345347 (interacts with) 9606.ENSP00000245185","MT2A","1","false","interacts with","9606.ENSP00000345347 (interacts with) 9606.ENSP00000245185"
"AP2A1","0","0.457","0","0.457","0","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000451300","NUMB","1","false","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000451300"
"AP2A1","0","0.457","0","0.457","0","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000377015","PICALM","1","false","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000377015"
"AP2A1","0","0.755","0","0.755","0","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000483185","AP2B1","1","false","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000483185"
"AP2A1","0","0.844","0","0.844","0","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000403362","AP2M1","1","false","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000403362"
"PICALM","0","0.9","0","0.9","0","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000272317","RPS27A","1","false","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000272317"
"PICALM","0","0.9","0","0.9","0","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000441543","UBC","1","false","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000441543"
"PICALM","0","0.9","0","0.9","0","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000478771","UBB","1","false","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000478771"
"PICALM","0","0.9","0","0.9","0","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000388107","UBA52","1","false","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000388107"
"AP2B1","0","0.529","0","0.529","0","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000377015","PICALM","1","false","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000377015"
"AP2B1","0","0.975","0","0.975","0","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000403362","AP2M1","1","false","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000403362"
"AP2B1","0","0.457","0","0.457","0","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000451300","NUMB","1","false","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000451300"
"AP2M1","0","0.457","0","0.457","0","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000298910","LRRK2","1","false","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000298910"
"AP2M1","0","0.457","0","0.457","0","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000340820","MAPT","1","false","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000340820"
"AP2M1","0","0.628","0","0.628","0","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000377015","PICALM","1","false","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000377015"
