#node1,node2,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,name
ALS2,NEK1,0,0.655,0.0,0.359,0.769,9606.ENSP00000264276 (interacts with) 9606.ENSP00000424757
ANXA11,TFG,0,0.512,0.0,0.0,0.512,9606.ENSP00000398610 (interacts with) 9606.ENSP00000240851
ANXA11,S100A6,0,0.292,0.0,0.957,0.968,9606.ENSP00000398610 (interacts with) 9606.ENSP00000357709
ATXN2,TARDBP,0,0.446,0.0,0.822,0.897,9606.ENSP00000446576 (interacts with) 9606.ENSP00000240185
ATXN2,FUS,0,0.0,0.0,0.643,0.643,9606.ENSP00000446576 (interacts with) 9606.ENSP00000254108
ATXN2,TIA1,0,0.0,0.0,0.713,0.713,9606.ENSP00000446576 (interacts with) 9606.ENSP00000401371
BCL11B,BPTF,0,0.203,0.0,0.341,0.452,9606.ENSP00000349723 (interacts with) 9606.ENSP00000307208
C9orf72,TBK1,0,0.292,0.0,0.33,0.505,9606.ENSP00000482753 (interacts with) 9606.ENSP00000329967
CASP10,CFLAR,0,0.55,0.9,0.85,0.992,9606.ENSP00000286186 (interacts with) 9606.ENSP00000312455
CASP10,CASP8,0,0.636,0.9,0.982,0.999,9606.ENSP00000286186 (interacts with) 9606.ENSP00000351273
CASP8,CFLAR,0,0.96,0.9,0.987,0.999,9606.ENSP00000351273 (interacts with) 9606.ENSP00000312455
CASP8,OPTN,0,0.421,0.0,0.0,0.42,9606.ENSP00000351273 (interacts with) 9606.ENSP00000368022
CASP8,SQSTM1,0,0.457,0.0,0.836,0.907,9606.ENSP00000351273 (interacts with) 9606.ENSP00000374455
CCNF,TARDBP,0,0.457,0.0,0.0,0.457,9606.ENSP00000380256 (interacts with) 9606.ENSP00000240185
CCNF,VCP,0,0.457,0.0,0.0,0.457,9606.ENSP00000380256 (interacts with) 9606.ENSP00000351777
CCNF,SQSTM1,0,0.457,0.0,0.0,0.457,9606.ENSP00000380256 (interacts with) 9606.ENSP00000374455
CDK5,MAPT,0,0.457,0.0,0.619,0.784,9606.ENSP00000419782 (interacts with) 9606.ENSP00000340820
CYLD,TBK1,0,0.457,0.5,0.503,0.853,9606.ENSP00000392025 (interacts with) 9606.ENSP00000329967
CYLD,OPTN,0,0.457,0.5,0.594,0.88,9606.ENSP00000392025 (interacts with) 9606.ENSP00000368022
CYLD,SQSTM1,0,0.457,0.9,0.355,0.961,9606.ENSP00000392025 (interacts with) 9606.ENSP00000374455
DCTN1,TFG,0,0.0,0.5,0.0,0.499,9606.ENSP00000354791 (interacts with) 9606.ENSP00000240851
DCTN1,MAPT,0,0.457,0.0,0.0,0.457,9606.ENSP00000354791 (interacts with) 9606.ENSP00000340820
DCTN1,VCP,0,0.0,0.0,0.733,0.733,9606.ENSP00000354791 (interacts with) 9606.ENSP00000351777
DCTN1,SQSTM1,0,0.0,0.5,0.0,0.499,9606.ENSP00000354791 (interacts with) 9606.ENSP00000374455
DCTN1,KIF5A,0,0.0,0.5,0.0,0.499,9606.ENSP00000354791 (interacts with) 9606.ENSP00000408979
FUS,TARDBP,0,0.457,0.0,0.987,0.993,9606.ENSP00000254108 (interacts with) 9606.ENSP00000240185
FUS,TAF15,0,0.464,0.0,0.0,0.463,9606.ENSP00000254108 (interacts with) 9606.ENSP00000474096
FUS,MAPT,0,0.292,0.0,0.541,0.661,9606.ENSP00000254108 (interacts with) 9606.ENSP00000340820
FUS,OPTN,0,0.192,0.0,0.658,0.711,9606.ENSP00000254108 (interacts with) 9606.ENSP00000368022
FUS,UBQLN2,0,0.292,0.0,0.652,0.743,9606.ENSP00000254108 (interacts with) 9606.ENSP00000345195
FUS,MATR3-2,0,0.464,0.0,0.557,0.752,9606.ENSP00000254108 (interacts with) 9606.ENSP00000354346
FUS,SOD1,0,0.0,0.0,0.902,0.902,9606.ENSP00000254108 (interacts with) 9606.ENSP00000270142
FUS,HNRNPA1,0,0.464,0.4,0.776,0.921,9606.ENSP00000254108 (interacts with) 9606.ENSP00000341826
HECW1,SOD1,0,0.292,0.0,0.392,0.551,9606.ENSP00000379228 (interacts with) 9606.ENSP00000270142
HLA-F,KIR3DL2,0,0.566,0.0,0.885,0.948,9606.ENSP00000259951 (interacts with) 9606.ENSP00000325525
HNRNPA1,TARDBP,0,0.377,0.0,0.969,0.98,9606.ENSP00000341826 (interacts with) 9606.ENSP00000240185
HNRNPA1,TIA1,0,0.042,0.0,0.403,0.403,9606.ENSP00000341826 (interacts with) 9606.ENSP00000401371
HNRNPA1,UBQLN2,0,0.292,0.0,0.398,0.555,9606.ENSP00000341826 (interacts with) 9606.ENSP00000345195
