#node1,node2,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,name
C9orf72,TBK1,0,0.292,0.0,0.33,0.505,9606.ENSP00000482753 (interacts with) 9606.ENSP00000329967
CCNF,TARDBP,0,0.457,0.0,0.0,0.457,9606.ENSP00000380256 (interacts with) 9606.ENSP00000240185
CCNF,VCP,0,0.457,0.0,0.0,0.457,9606.ENSP00000380256 (interacts with) 9606.ENSP00000351777
CCNF,SQSTM1,0,0.457,0.0,0.0,0.457,9606.ENSP00000380256 (interacts with) 9606.ENSP00000374455
CYLD,TBK1,0,0.457,0.5,0.503,0.853,9606.ENSP00000392025 (interacts with) 9606.ENSP00000329967
CYLD,OPTN,0,0.457,0.5,0.594,0.88,9606.ENSP00000392025 (interacts with) 9606.ENSP00000368022
CYLD,SQSTM1,0,0.457,0.9,0.355,0.961,9606.ENSP00000392025 (interacts with) 9606.ENSP00000374455
FUS,SRSF9,0,0.335,0.4,0.0,0.583,9606.ENSP00000254108 (interacts with) 9606.ENSP00000229390
FUS,TARDBP,0,0.457,0.0,0.987,0.993,9606.ENSP00000254108 (interacts with) 9606.ENSP00000240185
FUS,SRSF6,0,0.205,0.4,0.0,0.502,9606.ENSP00000254108 (interacts with) 9606.ENSP00000244020
FUS,SRSF4,0,0.0,0.4,0.0,0.4,9606.ENSP00000254108 (interacts with) 9606.ENSP00000362900
FUS,SRSF7,0,0.214,0.4,0.0,0.508,9606.ENSP00000254108 (interacts with) 9606.ENSP00000325905
FUS,TRA2B,0,0.359,0.4,0.0,0.598,9606.ENSP00000254108 (interacts with) 9606.ENSP00000416959
FUS,PTBP1,0,0.179,0.4,0.356,0.655,9606.ENSP00000254108 (interacts with) 9606.ENSP00000349428
FUS,MAPT,0,0.292,0.0,0.541,0.661,9606.ENSP00000254108 (interacts with) 9606.ENSP00000340820
FUS,OPTN,0,0.192,0.0,0.658,0.711,9606.ENSP00000254108 (interacts with) 9606.ENSP00000368022
FUS,UBQLN2,0,0.292,0.0,0.652,0.743,9606.ENSP00000254108 (interacts with) 9606.ENSP00000345195
FUS,MATR3-2,0,0.464,0.0,0.557,0.752,9606.ENSP00000254108 (interacts with) 9606.ENSP00000354346
FUS,HNRNPA1,0,0.464,0.4,0.776,0.921,9606.ENSP00000254108 (interacts with) 9606.ENSP00000341826
FUS,HNRNPA2B1,0,0.464,0.4,0.916,0.97,9606.ENSP00000254108 (interacts with) 9606.ENSP00000346694
GRN,SORT1,0,0.457,0.0,0.816,0.895,9606.ENSP00000053867 (interacts with) 9606.ENSP00000256637
HNRNPA1,PABPN1,0,0.292,0.0,0.209,0.416,9606.ENSP00000341826 (interacts with) 9606.ENSP00000216727
HNRNPA1,SRSF9,0,0.209,0.4,0.054,0.512,9606.ENSP00000341826 (interacts with) 9606.ENSP00000229390
HNRNPA1,TARDBP,0,0.377,0.0,0.969,0.98,9606.ENSP00000341826 (interacts with) 9606.ENSP00000240185
HNRNPA1,SRSF6,0,0.211,0.4,0.054,0.513,9606.ENSP00000341826 (interacts with) 9606.ENSP00000244020
HNRNPA1,SRSF7,0,0.292,0.4,0.122,0.594,9606.ENSP00000341826 (interacts with) 9606.ENSP00000325905
