#node1,node2,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,name
AKAP8L,HTT,0,0.191,0.0,0.42,0.51,9606.ENSP00000380557 (interacts with) 9606.ENSP00000347184
AKAP8L,TAF1,0,0.421,0.0,0.0,0.42,9606.ENSP00000380557 (interacts with) 9606.ENSP00000406549
CARD16,VTN,0,0.0,0.54,0.0,0.54,9606.ENSP00000364858 (interacts with) 9606.ENSP00000226218
CUL3,SQSTM1,0,0.457,0.5,0.0,0.716,9606.ENSP00000264414 (interacts with) 9606.ENSP00000374455
F10,F9,0,0.0,0.54,0.423,0.723,9606.ENSP00000364709 (interacts with) 9606.ENSP00000218099
F10,PROC,0,0.0,0.54,0.0,0.54,9606.ENSP00000364709 (interacts with) 9606.ENSP00000234071
F10,F12,0,0.0,0.54,0.0,0.54,9606.ENSP00000364709 (interacts with) 9606.ENSP00000253496
F10,F2,0,0.93,0.54,0.964,0.998,9606.ENSP00000364709 (interacts with) 9606.ENSP00000308541
F10,SERPINC1,0,0.939,0.0,0.047,0.939,9606.ENSP00000364709 (interacts with) 9606.ENSP00000356671
F10,SERPINA1,0,0.0,0.0,0.417,0.416,9606.ENSP00000364709 (interacts with) 9606.ENSP00000416066
F10,F7,0,0.292,0.54,0.717,0.899,9606.ENSP00000364709 (interacts with) 9606.ENSP00000364731
F12,F9,0,0.0,0.54,0.0,0.54,9606.ENSP00000253496 (interacts with) 9606.ENSP00000218099
F12,PROC,0,0.0,0.54,0.0,0.54,9606.ENSP00000253496 (interacts with) 9606.ENSP00000234071
F12,F7,0,0.0,0.54,0.0,0.54,9606.ENSP00000253496 (interacts with) 9606.ENSP00000364731
F12,F2,0,0.0,0.54,0.0,0.54,9606.ENSP00000253496 (interacts with) 9606.ENSP00000308541
F2,SERPIND1,0,0.946,0.7,0.353,0.988,9606.ENSP00000308541 (interacts with) 9606.ENSP00000215727
F2,F9,0,0.0,0.54,0.736,0.873,9606.ENSP00000308541 (interacts with) 9606.ENSP00000218099
F2,PROC,0,0.9,0.54,0.305,0.965,9606.ENSP00000308541 (interacts with) 9606.ENSP00000234071
F2,F7,0,0.0,0.54,0.707,0.859,9606.ENSP00000308541 (interacts with) 9606.ENSP00000364731
F2,SERPINC1,0,0.96,0.7,0.488,0.993,9606.ENSP00000308541 (interacts with) 9606.ENSP00000356671
