#node1,node2,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,name
AGRN,LRP4,0,0.743,0.5,0.981,0.997,9606.ENSP00000368678 (interacts with) 9606.ENSP00000367888
ATG7,LMNA,0,0.0,0.5,0.0,0.499,9606.ENSP00000346437 (interacts with) 9606.ENSP00000357283
CAPN3,FLNC,0,0.292,0.0,0.647,0.739,9606.ENSP00000380349 (interacts with) 9606.ENSP00000327145
CAPN3,TTN,0,0.421,0.0,0.976,0.985,9606.ENSP00000380349 (interacts with) 9606.ENSP00000467141
CCDC88A,DCTN1,0,0.544,0.0,0.0,0.544,9606.ENSP00000338728 (interacts with) 9606.ENSP00000354791
CYLD,TBK1,0,0.457,0.5,0.503,0.853,9606.ENSP00000392025 (interacts with) 9606.ENSP00000329967
CYLD,SQSTM1,0,0.457,0.9,0.355,0.961,9606.ENSP00000392025 (interacts with) 9606.ENSP00000374455
DCTN1,FLNC,0,0.478,0.0,0.0,0.478,9606.ENSP00000354791 (interacts with) 9606.ENSP00000327145
DCTN1,MAPT,0,0.457,0.0,0.0,0.457,9606.ENSP00000354791 (interacts with) 9606.ENSP00000340820
DCTN1,SQSTM1,0,0.0,0.5,0.0,0.499,9606.ENSP00000354791 (interacts with) 9606.ENSP00000374455
DCTN1,SEC31A,0,0.0,0.5,0.0,0.499,9606.ENSP00000354791 (interacts with) 9606.ENSP00000378721
DES,TTN,0,0.0,0.8,0.0,0.8,9606.ENSP00000363071 (interacts with) 9606.ENSP00000467141
DNM1L,MAPT,0,0.0,0.0,0.414,0.414,9606.ENSP00000449089 (interacts with) 9606.ENSP00000340820
ELOVL1,ELOVL4,0,0.0,0.9,0.288,0.925,9606.ENSP00000477602 (interacts with) 9606.ENSP00000358831
EPCAM,MUC1,0,0.0,0.0,0.703,0.703,9606.ENSP00000263735 (interacts with) 9606.ENSP00000484824
ERBB3,MUC1,0,0.292,0.0,0.323,0.5,9606.ENSP00000267101 (interacts with) 9606.ENSP00000484824
FOXO3,SMAD4,0,0.457,0.5,0.828,0.949,9606.ENSP00000339527 (interacts with) 9606.ENSP00000341551
GARS1,UBA1,0,0.542,0.0,0.0,0.542,9606.ENSP00000373918 (interacts with) 9606.ENSP00000338413
GRN,PSAP,0,0.429,0.0,0.166,0.503,9606.ENSP00000053867 (interacts with) 9606.ENSP00000378394
GSN,SPTAN1,0,0.0,0.5,0.088,0.524,9606.ENSP00000362924 (interacts with) 9606.ENSP00000487444
HLA-DRB1,PTPN22,0,0.0,0.0,0.409,0.408,9606.ENSP00000353099 (interacts with) 9606.ENSP00000352833
HLA-DRB1,SEC31A,0,0.0,0.5,0.0,0.499,9606.ENSP00000353099 (interacts with) 9606.ENSP00000378721
LMNA,SYNE2,0,0.292,0.8,0.575,0.934,9606.ENSP00000357283 (interacts with) 9606.ENSP00000350719
LMNA,SYNE1,0,0.457,0.8,0.743,0.969,9606.ENSP00000357283 (interacts with) 9606.ENSP00000356224
LMNA,TOR1AIP1,0,0.457,0.0,0.0,0.457,9606.ENSP00000357283 (interacts with) 9606.ENSP00000435365
MAPT,SPTAN1,0,0.457,0.0,0.0,0.457,9606.ENSP00000340820 (interacts with) 9606.ENSP00000487444
MAPT,SQSTM1,0,0.457,0.0,0.242,0.57,9606.ENSP00000340820 (interacts with) 9606.ENSP00000374455
MFN2,VPS13A,0,0.0,0.0,0.442,0.442,9606.ENSP00000416338 (interacts with) 9606.ENSP00000353422
MFN2,SQSTM1,0,0.123,0.8,0.0,0.817,9606.ENSP00000416338 (interacts with) 9606.ENSP00000374455
MFN2,VAPB,0,0.0,0.0,0.631,0.631,9606.ENSP00000416338 (interacts with) 9606.ENSP00000417175
PLEC,SPTAN1,0,0.457,0.0,0.0,0.457,9606.ENSP00000323856 (interacts with) 9606.ENSP00000487444
PLEC,SYNE2,0,0.0,0.0,0.465,0.465,9606.ENSP00000323856 (interacts with) 9606.ENSP00000350719
PLEC,SYNE1,0,0.0,0.0,0.702,0.702,9606.ENSP00000323856 (interacts with) 9606.ENSP00000356224
SCN2A,SCN8A,0,0.0,0.54,0.483,0.752,9606.ENSP00000490107 (interacts with) 9606.ENSP00000346534
SCN2A,SPTAN1,0,0.0,0.5,0.0,0.499,9606.ENSP00000490107 (interacts with) 9606.ENSP00000487444
SCN8A,SPTAN1,0,0.0,0.5,0.164,0.564,9606.ENSP00000346534 (interacts with) 9606.ENSP00000487444
SEC31A,SQSTM1,0,0.0,0.5,0.0,0.499,9606.ENSP00000378721 (interacts with) 9606.ENSP00000374455
SQSTM1,TBK1,0,0.457,0.0,0.318,0.613,9606.ENSP00000374455 (interacts with) 9606.ENSP00000329967
SQSTM1,TTN,0,0.457,0.0,0.703,0.831,9606.ENSP00000374455 (interacts with) 9606.ENSP00000467141
SYNE1,SYNE2,0,0.0,0.9,0.512,0.949,9606.ENSP00000356224 (interacts with) 9606.ENSP00000350719
TBK1,TLR3,0,0.49,0.5,0.745,0.929,9606.ENSP00000329967 (interacts with) 9606.ENSP00000296795
TBP,TRIP4,0,0.0,0.0,0.657,0.657,9606.ENSP00000230354 (interacts with) 9606.ENSP00000261884
