#node1,node2,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,name
AKT1,TNFRSF1A,0,0.311,0.0,0.221,0.44,9606.ENSP00000451828 (interacts with) 9606.ENSP00000162749
AKT1,TBK1,0,0.621,0.0,0.579,0.833,9606.ENSP00000451828 (interacts with) 9606.ENSP00000329967
AKT1,MAPT,0,0.457,0.0,0.0,0.457,9606.ENSP00000451828 (interacts with) 9606.ENSP00000340820
AKT1,FLNA,0,0.0,0.0,0.624,0.624,9606.ENSP00000451828 (interacts with) 9606.ENSP00000358866
AKT1,CYFIP2,0,0.0,0.0,0.702,0.702,9606.ENSP00000451828 (interacts with) 9606.ENSP00000479719
CASP10,TNFRSF1A,0,0.593,0.0,0.134,0.632,9606.ENSP00000286186 (interacts with) 9606.ENSP00000162749
CASP10,CASP8,0,0.636,0.9,0.982,0.999,9606.ENSP00000286186 (interacts with) 9606.ENSP00000351273
CASP8,TNFRSF1A,0,0.593,0.0,0.974,0.989,9606.ENSP00000351273 (interacts with) 9606.ENSP00000162749
CASP8,SQSTM1,0,0.457,0.0,0.836,0.907,9606.ENSP00000351273 (interacts with) 9606.ENSP00000374455
CDK5,MAPT,0,0.457,0.0,0.619,0.784,9606.ENSP00000419782 (interacts with) 9606.ENSP00000340820
CYLD,TNFRSF1A,0,0.734,0.5,0.564,0.936,9606.ENSP00000392025 (interacts with) 9606.ENSP00000162749
CYLD,TBK1,0,0.457,0.5,0.503,0.853,9606.ENSP00000392025 (interacts with) 9606.ENSP00000329967
CYLD,SQSTM1,0,0.457,0.9,0.355,0.961,9606.ENSP00000392025 (interacts with) 9606.ENSP00000374455
DCTN1,MAPT,0,0.457,0.0,0.0,0.457,9606.ENSP00000354791 (interacts with) 9606.ENSP00000340820
DCTN1,TPPP,0,0.0,0.0,0.93,0.93,9606.ENSP00000354791 (interacts with) 9606.ENSP00000353785
DCTN1,SQSTM1,0,0.0,0.5,0.0,0.499,9606.ENSP00000354791 (interacts with) 9606.ENSP00000374455
FLNA,PSEN1,0,0.457,0.0,0.0,0.457,9606.ENSP00000358866 (interacts with) 9606.ENSP00000326366
HLA-A,HLA-DRB1,0,0.0,0.9,0.0,0.9,9606.ENSP00000379873 (interacts with) 9606.ENSP00000353099
HLA-A,HLA-DQB1,0,0.482,0.54,0.0,0.751,9606.ENSP00000379873 (interacts with) 9606.ENSP00000364080
HLA-A,HLA-DRB5,0,0.165,0.54,0.393,0.746,9606.ENSP00000379873 (interacts with) 9606.ENSP00000364114
HLA-A,HLA-DRA,0,0.0,0.9,0.0,0.9,9606.ENSP00000379873 (interacts with) 9606.ENSP00000378786
HLA-DQB1,HLA-DRB1,0,0.205,0.54,0.0,0.618,9606.ENSP00000364080 (interacts with) 9606.ENSP00000353099
HLA-DQB1,HLA-DRB5,0,0.0,0.54,0.388,0.706,9606.ENSP00000364080 (interacts with) 9606.ENSP00000364114
HLA-DQB1,HLA-DRA,0,0.437,0.54,0.14,0.758,9606.ENSP00000364080 (interacts with) 9606.ENSP00000378786
HLA-DRA,HLA-DRB1,0,0.973,0.9,0.953,0.999,9606.ENSP00000378786 (interacts with) 9606.ENSP00000353099
HLA-DRA,HLA-DRB5,0,0.966,0.54,0.713,0.995,9606.ENSP00000378786 (interacts with) 9606.ENSP00000364114
HLA-DRA,MBP,0,0.618,0.0,0.0,0.618,9606.ENSP00000378786 (interacts with) 9606.ENSP00000380958
HLA-DRB1,MBP,0,0.322,0.0,0.26,0.476,9606.ENSP00000353099 (interacts with) 9606.ENSP00000380958
HLA-DRB1,HLA-DRB5,0,0.641,0.54,0.484,0.907,9606.ENSP00000353099 (interacts with) 9606.ENSP00000364114
HTRA1,MAPT,0,0.691,0.0,0.0,0.691,9606.ENSP00000357980 (interacts with) 9606.ENSP00000340820
IFNB1,TBK1,0,0.0,0.0,0.575,0.575,9606.ENSP00000369581 (interacts with) 9606.ENSP00000329967
MAPT,YWHAQ,0,0.457,0.0,0.0,0.457,9606.ENSP00000340820 (interacts with) 9606.ENSP00000371267
MAPT,SQSTM1,0,0.457,0.0,0.242,0.57,9606.ENSP00000340820 (interacts with) 9606.ENSP00000374455
P2RX4,P2RX7,0,0.0,0.9,0.941,0.993,9606.ENSP00000353032 (interacts with) 9606.ENSP00000330696
PON1,PON2,0,0.0,0.5,0.0,0.499,9606.ENSP00000222381 (interacts with) 9606.ENSP00000488838
S100A8,S100A9,0,0.944,0.9,0.986,0.999,9606.ENSP00000357721 (interacts with) 9606.ENSP00000357727
SQSTM1,TBK1,0,0.457,0.0,0.318,0.613,9606.ENSP00000374455 (interacts with) 9606.ENSP00000329967
TBK1,TNFRSF1A,0,0.734,0.5,0.0,0.861,9606.ENSP00000329967 (interacts with) 9606.ENSP00000162749
