"#node1","automated_textmining","combined_score","database_annotated","experimentally_determined_interaction","homology","interaction","name","node2","selected","shared interaction","shared name"
"VPS35","0","0.457","0","0.457","0","interacts with","9606.ENSP00000299138 (interacts with) 9606.ENSP00000485513","WASHC2C","false","interacts with","9606.ENSP00000299138 (interacts with) 9606.ENSP00000485513"
"RNF19A","0","0.457","0","0.457","0","interacts with","9606.ENSP00000428968 (interacts with) 9606.ENSP00000400906","UBE2L3","false","interacts with","9606.ENSP00000428968 (interacts with) 9606.ENSP00000400906"
"RNF19A","0","0.457","0","0.457","0","interacts with","9606.ENSP00000428968 (interacts with) 9606.ENSP00000351777","VCP","false","interacts with","9606.ENSP00000428968 (interacts with) 9606.ENSP00000351777"
"RAB3IP","0","0.968","0","0.968","0","interacts with","9606.ENSP00000447300 (interacts with) 9606.ENSP00000300935","RAB8A","false","interacts with","9606.ENSP00000447300 (interacts with) 9606.ENSP00000300935"
"RHOT1","0","0.613","0","0.613","0","interacts with","9606.ENSP00000351132 (interacts with) 9606.ENSP00000321971","RHOT2","false","interacts with","9606.ENSP00000351132 (interacts with) 9606.ENSP00000321971"
"NDUFAF5","0","0.457","0","0.457","0","interacts with","9606.ENSP00000367346 (interacts with) 9606.ENSP00000400184","NDUFAF8","false","interacts with","9606.ENSP00000367346 (interacts with) 9606.ENSP00000400184"
"NDUFAF5","0","0.734","0","0.734","0","interacts with","9606.ENSP00000367346 (interacts with) 9606.ENSP00000233627","NDUFS7","false","interacts with","9606.ENSP00000367346 (interacts with) 9606.ENSP00000233627"
"NDUFAF2","0","0.64","0","0.64","0","interacts with","9606.ENSP00000296597 (interacts with) 9606.ENSP00000327268","NDUFV2","false","interacts with","9606.ENSP00000296597 (interacts with) 9606.ENSP00000327268"
"NDUFAF2","0","0.422","0","0.422","0","interacts with","9606.ENSP00000296597 (interacts with) 9606.ENSP00000392709","NDUFS1","false","interacts with","9606.ENSP00000296597 (interacts with) 9606.ENSP00000392709"
"NDUFAF2","0","0.621","0","0.621","0","interacts with","9606.ENSP00000296597 (interacts with) 9606.ENSP00000299166","NDUFB8","false","interacts with","9606.ENSP00000296597 (interacts with) 9606.ENSP00000299166"
"NDUFAF2","0","0.422","0","0.422","0","interacts with","9606.ENSP00000296597 (interacts with) 9606.ENSP00000315774","NDUFS8","false","interacts with","9606.ENSP00000296597 (interacts with) 9606.ENSP00000315774"
"NDUFAF2","0","0.638","0","0.638","0","interacts with","9606.ENSP00000296597 (interacts with) 9606.ENSP00000276689","NDUFB9","false","interacts with","9606.ENSP00000296597 (interacts with) 9606.ENSP00000276689"
"NDUFAF4","0","0.734","0","0.734","0","interacts with","9606.ENSP00000358272 (interacts with) 9606.ENSP00000418803","TIMMDC1","false","interacts with","9606.ENSP00000358272 (interacts with) 9606.ENSP00000418803"
"NDUFAF4","0","0.586","0","0.586","0","interacts with","9606.ENSP00000358272 (interacts with) 9606.ENSP00000356972","NDUFS2","false","interacts with","9606.ENSP00000358272 (interacts with) 9606.ENSP00000356972"
"NDUFAF4","0","0.522","0","0.522","0","interacts with","9606.ENSP00000358272 (interacts with) 9606.ENSP00000351737","TMEM126B","false","interacts with","9606.ENSP00000358272 (interacts with) 9606.ENSP00000351737"
"NDUFAF4","0","0.61","0","0.61","0","interacts with","9606.ENSP00000358272 (interacts with) 9606.ENSP00000315774","NDUFS8","false","interacts with","9606.ENSP00000358272 (interacts with) 9606.ENSP00000315774"
"NDUFAF4","0","0.577","0","0.577","0","interacts with","9606.ENSP00000358272 (interacts with) 9606.ENSP00000281031","NDUFC2","false","interacts with","9606.ENSP00000358272 (interacts with) 9606.ENSP00000281031"
