#node1,node2,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,name
C1QA,C1QB,0,0.967,0.9,0.981,0.999,9606.ENSP00000363773 (interacts with) 9606.ENSP00000313967
C1QA,C1QC,0,0.96,0.9,0.981,0.999,9606.ENSP00000363773 (interacts with) 9606.ENSP00000363770
C1QA,C1R,0,0.292,0.9,0.541,0.964,9606.ENSP00000363773 (interacts with) 9606.ENSP00000444271
C1QA,C1S,0,0.292,0.9,0.599,0.969,9606.ENSP00000363773 (interacts with) 9606.ENSP00000385035
C1QB,CR1,0,0.405,0.0,0.0,0.404,9606.ENSP00000313967 (interacts with) 9606.ENSP00000356016
C1QB,C1S,0,0.549,0.9,0.344,0.967,9606.ENSP00000313967 (interacts with) 9606.ENSP00000385035
C1QB,C1R,0,0.549,0.9,0.404,0.97,9606.ENSP00000313967 (interacts with) 9606.ENSP00000444271
C1QB,C1QC,0,0.92,0.9,0.982,0.999,9606.ENSP00000313967 (interacts with) 9606.ENSP00000363770
C1QC,C1S,0,0.0,0.9,0.416,0.939,9606.ENSP00000363770 (interacts with) 9606.ENSP00000385035
C1QC,C1R,0,0.0,0.9,0.54,0.952,9606.ENSP00000363770 (interacts with) 9606.ENSP00000444271
C1R,C1S,0,0.952,0.9,0.984,0.999,9606.ENSP00000444271 (interacts with) 9606.ENSP00000385035
C1R,C4A,0,0.179,0.0,0.351,0.444,9606.ENSP00000444271 (interacts with) 9606.ENSP00000396688
C1R,C4B,0,0.179,0.0,0.373,0.463,9606.ENSP00000444271 (interacts with) 9606.ENSP00000415941
C1S,C4A,0,0.179,0.0,0.49,0.563,9606.ENSP00000385035 (interacts with) 9606.ENSP00000396688
C1S,C4B,0,0.179,0.0,0.514,0.583,9606.ENSP00000385035 (interacts with) 9606.ENSP00000415941
C2,CR1,0,0.0,0.5,0.0,0.499,9606.ENSP00000299367 (interacts with) 9606.ENSP00000356016
C2,C4A,0,0.0,0.8,0.05,0.801,9606.ENSP00000299367 (interacts with) 9606.ENSP00000396688
C2,C4B,0,0.457,0.8,0.054,0.888,9606.ENSP00000299367 (interacts with) 9606.ENSP00000415941
C4A,CR1,0,0.0,0.7,0.983,0.994,9606.ENSP00000396688 (interacts with) 9606.ENSP00000356016
C4A,C4B,0,0.457,0.9,0.982,0.998,9606.ENSP00000396688 (interacts with) 9606.ENSP00000415941
C4B,CR1,0,0.0,0.7,0.983,0.994,9606.ENSP00000415941 (interacts with) 9606.ENSP00000356016
CD19,CD22,0,0.292,0.0,0.707,0.783,9606.ENSP00000313419 (interacts with) 9606.ENSP00000085219
CD19,FCGR2B,0,0.0,0.0,0.672,0.672,9606.ENSP00000313419 (interacts with) 9606.ENSP00000351497
CD19,FCGR3B,0,0.0,0.0,0.972,0.972,9606.ENSP00000313419 (interacts with) 9606.ENSP00000433642
CD19,CR2,0,0.457,0.5,0.986,0.996,9606.ENSP00000313419 (interacts with) 9606.ENSP00000356024
CD22,ITGAM,0,0.0,0.0,0.424,0.424,9606.ENSP00000085219 (interacts with) 9606.ENSP00000496959
CTLA4,TNFSF4,0,0.0,0.0,0.44,0.44,9606.ENSP00000497102 (interacts with) 9606.ENSP00000281834
CTLA4,PDCD1,0,0.0,0.0,0.782,0.782,9606.ENSP00000497102 (interacts with) 9606.ENSP00000335062
FASLG,PDCD1,0,0.0,0.0,0.588,0.588,9606.ENSP00000356694 (interacts with) 9606.ENSP00000335062
FASLG,IL10,0,0.0,0.0,0.561,0.561,9606.ENSP00000356694 (interacts with) 9606.ENSP00000412237
FASLG,TNFRSF1B,0,0.0,0.0,0.566,0.566,9606.ENSP00000356694 (interacts with) 9606.ENSP00000365435
HAVCR2,HMGB1,0,0.0,0.0,0.982,0.982,9606.ENSP00000312002 (interacts with) 9606.ENSP00000345347
HLA-DPB1,HLA-DRB1,0,0.131,0.9,0.0,0.909,9606.ENSP00000408146 (interacts with) 9606.ENSP00000353099
HLA-DRB1,PTPN22,0,0.0,0.0,0.409,0.408,9606.ENSP00000353099 (interacts with) 9606.ENSP00000352833
HMGB1,SSRP1,0,0.394,0.0,0.134,0.452,9606.ENSP00000345347 (interacts with) 9606.ENSP00000278412
HMGB1,S100A8,0,0.0,0.5,0.0,0.499,9606.ENSP00000345347 (interacts with) 9606.ENSP00000357721
HMGB1,S100A9,0,0.0,0.5,0.0,0.499,9606.ENSP00000345347 (interacts with) 9606.ENSP00000357727
HMGB1,TLR7,0,0.0,0.0,0.542,0.542,9606.ENSP00000345347 (interacts with) 9606.ENSP00000370034
HMGB1,TLR5,0,0.0,0.0,0.81,0.81,9606.ENSP00000345347 (interacts with) 9606.ENSP00000496355
IFNGR1,SOCS1,0,0.166,0.5,0.866,0.939,9606.ENSP00000356713 (interacts with) 9606.ENSP00000496577
IRAK1,SPP1,0,0.0,0.0,0.408,0.408,9606.ENSP00000358997 (interacts with) 9606.ENSP00000378517
IRAK1,TLR5,0,0.0,0.0,0.46,0.459,9606.ENSP00000358997 (interacts with) 9606.ENSP00000496355
IRAK1,IRF5,0,0.0,0.0,0.615,0.615,9606.ENSP00000358997 (interacts with) 9606.ENSP00000418037
IRAK1,SOCS1,0,0.0,0.0,0.669,0.669,9606.ENSP00000358997 (interacts with) 9606.ENSP00000496577
IRAK1,TLR7,0,0.0,0.5,0.612,0.797,9606.ENSP00000358997 (interacts with) 9606.ENSP00000370034
IRF5,NLRP1,0,0.0,0.0,0.48,0.48,9606.ENSP00000418037 (interacts with) 9606.ENSP00000460475
NCF1,S100A9,0,0.0,0.5,0.0,0.499,9606.ENSP00000289473 (interacts with) 9606.ENSP00000357727
NCF1,S100A8,0,0.0,0.5,0.0,0.499,9606.ENSP00000289473 (interacts with) 9606.ENSP00000357721
PCNA,XRCC6,0,0.605,0.0,0.0,0.605,9606.ENSP00000368458 (interacts with) 9606.ENSP00000352257
PCNA,TREX1,0,0.244,0.27,0.195,0.516,9606.ENSP00000368458 (interacts with) 9606.ENSP00000486676
PCNA,XRCC5,0,0.605,0.0,0.0,0.605,9606.ENSP00000368458 (interacts with) 9606.ENSP00000375978
PDCD1,SOCS1,0,0.42,0.0,0.0,0.42,9606.ENSP00000335062 (interacts with) 9606.ENSP00000496577
PIK3CG,SOCS1,0,0.0,0.54,0.0,0.54,9606.ENSP00000419260 (interacts with) 9606.ENSP00000496577
RO60,SSB,0,0.597,0.0,0.518,0.797,9606.ENSP00000356416 (interacts with) 9606.ENSP00000386636
S100A8,S100A9,0,0.944,0.9,0.986,0.999,9606.ENSP00000357721 (interacts with) 9606.ENSP00000357727
SNRNP70,SNRPD3,0,0.971,0.9,0.669,0.998,9606.ENSP00000472998 (interacts with) 9606.ENSP00000215829
SNRNP70,SNRPB2,0,0.932,0.54,0.275,0.975,9606.ENSP00000472998 (interacts with) 9606.ENSP00000246071
