"#node1","automated_textmining","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","homology","interaction","name","node2","Origin","selected","shared interaction","shared name"
"AATF","0","0.8","0","304.0","0.8","0","interacts with","9606.ENSP00000477848 (interacts with) 9606.ENSP00000272317","RPS27A","1","false","interacts with","9606.ENSP00000477848 (interacts with) 9606.ENSP00000272317"
"RPS27A","0","0.591","0","265.04846264846236","0.591","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000400906","UBE2L3","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000400906"
"RPS27A","0","0.55","0","167.20405150405165","0.55","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000374455","SQSTM1","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000374455"
"RPS27A","0","0.962","0","239.30659340659312","0.962","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000365576","UBQLN1","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000365576"
"RPS27A","0","0.972","0","157.38266295108386","0.972","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000284440","UCHL1","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000284440"
"RPS27A","0","0.947","0","102.62987012987014","0.947","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000478771","UBB","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000478771"
"RPS27A","0","0.956","0","95.77434787434778","0.956","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000441543","UBC","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000441543"
"RPS27A","0","0.99","0","102.62987012987014","0.99","0","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000388107","UBA52","1","false","interacts with","9606.ENSP00000272317 (interacts with) 9606.ENSP00000388107"
"ABI1","0","0.697","0","2.0","0.697","0","interacts with","9606.ENSP00000365312 (interacts with) 9606.ENSP00000354251","NCKAP1","1","false","interacts with","9606.ENSP00000365312 (interacts with) 9606.ENSP00000354251"
"AGER","0","0.549","0","4.0","0.549","0","interacts with","9606.ENSP00000364210 (interacts with) 9606.ENSP00000345347","HMGB1","1","false","interacts with","9606.ENSP00000364210 (interacts with) 9606.ENSP00000345347"
"HMGB1","0","0.42","0","4.0","0.421","0","interacts with","9606.ENSP00000345347 (interacts with) 9606.ENSP00000245185","MT2A","1","false","interacts with","9606.ENSP00000345347 (interacts with) 9606.ENSP00000245185"
"AP2A1","0","0.457","0","91.29047619047607","0.457","0","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000451300","NUMB","1","false","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000451300"
"AP2A1","0","0.457","0","56.21428571428567","0.457","0","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000377015","PICALM","1","false","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000377015"
"AP2A1","0","0.755","0","3.0","0.755","0","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000483185","AP2B1","1","false","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000483185"
"AP2A1","0","0.844","0","162.4","0.844","0","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000403362","AP2M1","1","false","interacts with","9606.ENSP00000351926 (interacts with) 9606.ENSP00000403362"
"PICALM","0","0.9","0","128.3706626706627","0.9","0","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000272317","RPS27A","1","false","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000272317"
"PICALM","0","0.9","0","193.1549117549123","0.9","0","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000441543","UBC","1","false","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000441543"
"PICALM","0","0.9","0","26.199411699411694","0.9","0","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000478771","UBB","1","false","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000478771"
"PICALM","0","0.9","0","26.199411699411694","0.9","0","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000388107","UBA52","1","false","interacts with","9606.ENSP00000377015 (interacts with) 9606.ENSP00000388107"
"AP2B1","0","0.529","0","66.78791208791208","0.529","0","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000377015","PICALM","1","false","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000377015"
"AP2B1","0","0.975","0","161.4","0.975","0","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000403362","AP2M1","1","false","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000403362"
"AP2B1","0","0.457","0","104.3457875457875","0.457","0","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000451300","NUMB","1","false","interacts with","9606.ENSP00000483185 (interacts with) 9606.ENSP00000451300"
"AP2M1","0","0.457","0","462.1428737928737","0.457","0","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000298910","LRRK2","1","false","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000298910"
"AP2M1","0","0.457","0","490.3792041292037","0.457","0","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000340820","MAPT","1","false","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000340820"
"AP2M1","0","0.628","0","84.91272061272063","0.628","0","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000377015","PICALM","1","false","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000377015"
"AP2M1","0","0.457","0","107.24366744366755","0.457","0","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000451300","NUMB","1","false","interacts with","9606.ENSP00000403362 (interacts with) 9606.ENSP00000451300"
"AP2A2","0","0.973","0","277.37106227106216","0.973","0","interacts with","9606.ENSP00000327694 (interacts with) 9606.ENSP00000403362","AP2M1","1","false","interacts with","9606.ENSP00000327694 (interacts with) 9606.ENSP00000403362"
"AP2A2","0","0.966","0","26.628937728937714","0.966","0","interacts with","9606.ENSP00000327694 (interacts with) 9606.ENSP00000483185","AP2B1","1","false","interacts with","9606.ENSP00000327694 (interacts with) 9606.ENSP00000483185"
"APBB1","0","0.667","0","304.0","0.667","0","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000221891","APLP1","1","false","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000221891"
"APBB1","0","0.457","0","304.0","0.457","0","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000263233","SYP","1","false","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000263233"
"APBB1","0","0.95","0","1192.0","0.95","0","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000284981","APP","1","false","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000284981"
"APBB1","0","0.528","0","304.0","0.528","0","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000497691","APLP2","1","false","interacts with","9606.ENSP00000477213 (interacts with) 9606.ENSP00000497691"
"APOE","0","0.57","0","388.7761904761903","0.57","0","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000340820","MAPT","1","false","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000340820"
"APOE","0","0.691","0","701.5238095238087","0.691","0","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000500990","SNCA","1","false","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000500990"
"APOE","0","0.514","0","604.0","0.514","0","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000362205","TREM2","1","false","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000362205"
"APOE","0","0.457","0","272.188888888889","0.457","0","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000303634","LRP8","1","false","interacts with","9606.ENSP00000252486 (interacts with) 9606.ENSP00000303634"
