GO,Name
GO:0001835,blastocyst hatching
GO:0001932,regulation of protein phosphorylation
GO:0002020,protease binding
GO:0003954,NADH dehydrogenase activity
GO:0005516,calmodulin binding
GO:0005524,ATP binding
GO:0005634,nucleus
GO:0005654,nucleoplasm
GO:0005737,cytoplasm
GO:0005739,mitochondrion
GO:0005743,mitochondrial inner membrane
GO:0005758,mitochondrial intermembrane space
GO:0005759,mitochondrial matrix
GO:0005829,cytosol
GO:0005886,plasma membrane
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone"
GO:0006814,sodium ion transport
GO:0006979,response to oxidative stress
GO:0007399,nervous system development
GO:0007420,brain development
GO:0007605,sensory perception of sound
GO:0007623,circadian rhythm
GO:0008137,NADH dehydrogenase (ubiquinone) activity
GO:0008284,positive regulation of cell population proliferation
GO:0009055,electron transfer activity
GO:0009060,aerobic respiration
GO:0009642,response to light intensity
GO:0010181,FMN binding
GO:0015990,electron transport coupled proton transport
GO:0016604,nuclear body
GO:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"
GO:0019826,oxygen sensor activity
GO:0021762,substantia nigra development
GO:0022008,neurogenesis
GO:0031625,ubiquitin protein ligase binding
GO:0031966,mitochondrial membrane
GO:0032094,response to food
GO:0032981,mitochondrial respiratory chain complex I assembly
GO:0035094,response to nicotine
GO:0035458,cellular response to interferon-beta
GO:0035577,azurophil granule membrane
GO:0042063,gliogenesis
GO:0042220,response to cocaine
GO:0042542,response to hydrogen peroxide
GO:0042775,mitochondrial ATP synthesis coupled electron transport
GO:0042776,proton motive force-driven mitochondrial ATP synthesis
GO:0043025,neuronal cell body
GO:0043066,negative regulation of apoptotic process
GO:0044877,protein-containing complex binding
GO:0045039,protein insertion into mitochondrial inner membrane
GO:0045271,respiratory chain complex I
GO:0045333,cellular respiration
GO:0045732,positive regulation of protein catabolic process
GO:0045892,negative regulation of DNA-templated transcription
GO:0046872,metal ion binding
GO:0048038,quinone binding
GO:0048738,cardiac muscle tissue development
GO:0051082,unfolded protein binding
GO:0051131,chaperone-mediated protein complex assembly
GO:0051287,NAD binding
GO:0051537,"2 iron, 2 sulfur cluster binding"
GO:0051539,"4 iron, 4 sulfur cluster binding"
GO:0051591,response to cAMP
GO:0051607,defense response to virus
GO:0061133,endopeptidase activator activity
GO:0061179,negative regulation of insulin secretion involved in cellular response to glucose stimulus
GO:0061351,neural precursor cell proliferation
GO:0065003,protein-containing complex assembly
GO:0071300,cellular response to retinoic acid
GO:0071385,cellular response to glucocorticoid stimulus
GO:0071453,cellular response to oxygen levels
GO:0072593,reactive oxygen species metabolic process
GO:0097060,synaptic membrane
GO:0097191,extrinsic apoptotic signaling pathway
GO:0098803,respiratory chain complex
GO:1900119,positive regulation of execution phase of apoptosis
GO:1901006,ubiquinone-6 biosynthetic process
