id,STRING_id,features,label
2,9606.ENSP00000377296,"[0.315, 0.343666666666667, 1.0, 0.422666666666667, 0.308666666666667, 0.354333333333333, 0.277, 0.310666666666667, 0.274333333333333, 0.356666666666667, 0.375, 0.51, 0.375, 0.3115, 0.14, 0.242, 0.298, 0.194, 0.318, 0.323333333333333, 0.109666666666667, 0.276666666666667, 0.267, 0.140333333333333, 0.135666666666667, 0.134666666666667, 0.2025, 0.272, 0.133333333333333, 0.392666666666667, 0.183333333333333, 0.247, 0.295666666666667, 0.139, 0.134666666666667, 0.172666666666667, 0.13, 0.2025, 0.117333333333333, 0.134666666666667, 0.178666666666667, 0.136666666666667, 0.253333333333333, 0.187333333333333, 0.135666666666667, 0.353, 0.136, 0.215333333333333, 0.354666666666667, 0.331, 0.238333333333333, 0.343, 0.336, 0.32, 0.312, 0.367666666666667, 0.380666666666667, 0.422666666666667, 0.188, 0.396, 0.318666666666667, 0.361, 0.242333333333333, 0.367, 0.348666666666667, 0.360333333333333, 0.334333333333333, 0.388, 0.358, 0.161, 0.189, 0.333, 0.403333333333333, 0.282333333333333, 0.347666666666667, 0.280666666666667, 0.243666666666667, 0.398333333333333, 0.100333333333333, 0.157, 0.348666666666667, 0.480666666666667, 0.341, 0.38, 0.366666666666667, 0.425333333333333, 0.234333333333333, 0.2495, 0.361333333333333, 0.241666666666667, 0.234, 0.217, 0.338333333333333, 0.131666666666667, 0.276333333333333, 0.200333333333333, 0.259, 0.217333333333333, 0.21, 0.282, 0.154, 0.154666666666667, 0.402666666666667, 0.371, 0.256, 0.297666666666667, 0.261333333333333, 0.182666666666667, 0.232333333333333, 0.177, 0.434666666666667, 0.231, 0.194666666666667, 0.327333333333333, 0.367333333333333, 0.442333333333333, 0.241333333333333, 0.182333333333333, 0.339, 0.209, 0.222333333333333, 0.295, 0.345333333333333, 0.076, 0.176666666666667, 0.273333333333333, 0.285, 0.167333333333333, 0.296, 0.42, 0.379333333333333, 0.232666666666667, 0.223666666666667, 0.298666666666667, 0.233333333333333, 0.366333333333333, 0.322333333333333, 0.407, 0.44, 0.329666666666667, 0.352666666666667, 0.363333333333333, 0.359666666666667, 0.266666666666667, 0.237, 0.225333333333333, 0.300666666666667, 0.194, 0.259333333333333, 0.262333333333333, 0.407666666666667, 0.284666666666667, 0.341333333333333, 0.094, 0.430333333333333, 0.172333333333333, 0.423333333333333, 0.386666666666667, 0.211333333333333, 0.261666666666667, 0.347, 0.135333333333333, 0.255, 0.328333333333333, 0.419666666666667, 0.307, 0.328666666666667, 0.317333333333333, 0.332333333333333, 0.268, 0.356, 0.263, 0.313666666666667, 0.195666666666667, 0.177, 0.3735, 0.300666666666667, 0.290666666666667, 0.246666666666667]",2
3,9606.ENSP00000428968,"[0.288333333333333, 0.305333333333333, 0.422666666666667, 1.0, 0.513, 0.278, 0.360333333333333, 0.53, 0.320333333333333, 0.128666666666667, 0.365666666666667, 0.381, 0.372, 0.341, 0.294666666666667, 0.225333333333333, 0.242, 0.2125, 0.375, 0.354666666666667, 0.248333333333333, 0.326333333333333, 0.310333333333333, 0.300333333333333, 0.289666666666667, 0.295, 0.317, 0.26, 0.243, 0.360333333333333, 0.322, 0.285333333333333, 0.35, 0.295333333333333, 0.315, 0.345666666666667, 0.284333333333333, 0.317, 0.213666666666667, 0.295, 0.255666666666667, 0.239333333333333, 0.283333333333333, 0.33, 0.289666666666667, 0.394, 0.293, 0.252666666666667, 0.371333333333333, 0.347666666666667, 0.317, 0.347, 0.439, 0.412, 0.341, 0.327333333333333, 0.410666666666667, 0.269666666666667, 0.248333333333333, 0.413, 0.457333333333333, 0.346333333333333, 0.326666666666667, 0.299333333333333, 0.539666666666667, 0.418333333333333, 0.288333333333333, 0.329333333333333, 0.315, 0.262333333333333, 0.214666666666667, 0.356, 0.396, 0.405333333333333, 0.365, 0.249666666666667, 0.297, 0.351333333333333, 0.171333333333333, 0.368, 0.329666666666667, 0.375666666666667, 0.369, 0.339, 0.471333333333333, 0.614666666666667, 0.337666666666667, 0.4065, 0.313666666666667, 0.229666666666667, 0.267666666666667, 0.320666666666667, 0.346333333333333, 0.186666666666667, 0.215333333333333, 0.499333333333333, 0.219333333333333, 0.243333333333333, 0.488666666666667, 0.347333333333333, 0.44, 0.299666666666667, 0.536, 0.444333333333333, 0.384333333333333, 0.334, 0.333333333333333, 0.261, 0.22, 0.443666666666667, 0.288333333333333, 0.265666666666667, 0.192666666666667, 0.421, 0.405, 0.344666666666667, 0.304666666666667, 0.223, 0.439333333333333, 0.355333333333333, 0.177666666666667, 0.387333333333333, 0.411666666666667, 0.319, 0.346333333333333, 0.250666666666667, 0.309333333333333, 0.227, 0.306, 0.402333333333333, 0.420333333333333, 0.365, 0.415, 0.306, 0.345666666666667, 0.445666666666667, 0.482666666666667, 0.332333333333333, 0.4475, 0.496333333333333, 0.305333333333333, 0.302333333333333, 0.340666666666667, 0.210333333333333, 0.261666666666667, 0.262333333333333, 0.463333333333333, 0.474, 0.408, 0.337, 0.356333333333333, 0.443333333333333, 0.477333333333333, 0.211, 0.336, 0.297333333333333, 0.337666666666667, 0.435666666666667, 0.350333333333333, 0.238333333333333, 0.319, 0.206333333333333, 0.266, 0.361666666666667, 0.34, 0.276666666666667, 0.321, 0.278333333333333, 0.288333333333333, 0.256666666666667, 0.323333333333333, 0.283, 0.316, 0.214666666666667, 0.268, 0.3655, 0.302666666666667, 0.538666666666667, 0.306666666666667]",1
4,9606.ENSP00000317473,"[0.259, 0.192666666666667, 0.308666666666667, 0.513, 1.0, 0.246666666666667, 0.309666666666667, 0.454666666666667, 0.247333333333333, 0.0943333333333333, 0.298, 0.289333333333333, 0.298666666666667, 0.145, 0.257333333333333, 0.166333333333333, 0.254666666666667, 0.1855, 0.1875, 0.398, 0.247666666666667, 0.305666666666667, 0.321666666666667, 0.264666666666667, 0.257, 0.261333333333333, 0.2915, 0.326, 0.226, 0.273, 0.312333333333333, 0.343333333333333, 0.327, 0.255666666666667, 0.313, 0.315, 0.314333333333333, 0.2915, 0.230666666666667, 0.261333333333333, 0.225666666666667, 0.229333333333333, 0.270666666666667, 0.272, 0.275333333333333, 0.333, 0.253, 0.212333333333333, 0.26, 0.320666666666667, 0.294333333333333, 0.278333333333333, 0.525333333333333, 0.400666666666667, 0.251666666666667, 0.247, 0.307, 0.245333333333333, 0.231333333333333, 0.315, 0.341666666666667, 0.230666666666667, 0.245, 0.452333333333333, 0.98, 0.352333333333333, 0.239, 0.223, 0.6, 0.237666666666667, 0.182, 0.265333333333333, 0.275333333333333, 0.290666666666667, 0.260333333333333, 0.213666666666667, 0.284333333333333, 0.283666666666667, 0.213, 0.290666666666667, 0.213666666666667, 0.27, 0.346, 0.284666666666667, 0.315333333333333, 0.461666666666667, 0.350666666666667, 0.394, 0.324333333333333, 0.238, 0.315333333333333, 0.305, 0.301666666666667, 0.193666666666667, 0.208, 0.390333333333333, 0.226333333333333, 0.232, 0.438, 0.32, 0.415, 0.303, 0.341666666666667, 0.259, 0.392, 0.288, 0.308666666666667, 0.204333333333333, 0.174666666666667, 0.323333333333333, 0.321, 0.233333333333333, 0.177333333333333, 0.346, 0.319333333333333, 0.366333333333333, 0.262, 0.188333333333333, 0.358333333333333, 0.227, 0.194333333333333, 0.304333333333333, 0.328, 0.278, 0.268333333333333, 0.197, 0.216666666666667, 0.180666666666667, 0.227333333333333, 0.295666666666667, 0.434666666666667, 0.336, 0.338333333333333, 0.271666666666667, 0.349, 0.344333333333333, 0.475333333333333, 0.319666666666667, 0.5835, 0.397333333333333, 0.247666666666667, 0.279666666666667, 0.254, 0.203, 0.247, 0.283, 0.331, 0.59, 0.351666666666667, 0.258666666666667, 0.285, 0.379333333333333, 0.317, 0.286, 0.192, 0.248666666666667, 0.281666666666667, 0.314333333333333, 0.314333333333333, 0.243, 0.214666666666667, 0.245333333333333, 0.221333333333333, 0.366333333333333, 0.151, 0.338, 0.266333333333333, 0.247333333333333, 0.190333333333333, 0.231333333333333, 0.295, 0.221, 0.273666666666667, 0.187, 0.191, 0.2085, 0.191666666666667, 0.457, 0.265666666666667]",1
5,9606.ENSP00000447300,"[0.395666666666667, 0.362, 0.354333333333333, 0.278, 0.246666666666667, 1.0, 0.567666666666667, 0.356666666666667, 0.404, 0.405333333333333, 0.244666666666667, 0.542666666666667, 0.254333333333333, 0.3755, 0.155, 0.295, 0.281333333333333, 0.2385, 0.451, 0.172666666666667, 0.105, 0.176666666666667, 0.247333333333333, 0.159, 0.154666666666667, 0.153333333333333, 0.235, 0.338, 0.143, 0.392, 0.184, 0.130333333333333, 0.184, 0.154, 0.143666666666667, 0.178666666666667, 0.149, 0.235, 0.107333333333333, 0.153333333333333, 0.254, 0.160666666666667, 0.298, 0.169, 0.154666666666667, 0.268333333333333, 0.152333333333333, 0.195333333333333, 0.356666666666667, 0.475333333333333, 0.332, 0.320333333333333, 0.254333333333333, 0.187, 0.264666666666667, 0.592, 0.556666666666667, 0.609666666666667, 0.225333333333333, 0.385333333333333, 0.355, 0.358, 0.399666666666667, 0.582666666666667, 0.260666666666667, 0.340333333333333, 0.455333333333333, 0.383, 0.546333333333333, 0.178, 0.246, 0.369, 0.333333333333333, 0.384333333333333, 0.363666666666667, 0.323, 0.392666666666667, 0.345666666666667, 0.101666666666667, 0.197666666666667, 0.403, 0.371, 0.343, 0.404666666666667, 0.377, 0.344333333333333, 0.223666666666667, 0.2505, 0.250666666666667, 0.187333333333333, 0.305, 0.133666666666667, 0.272333333333333, 0.171333333333333, 0.19, 0.259, 0.166666666666667, 0.283666666666667, 0.260333333333333, 0.382333333333333, 0.250666666666667, 0.245666666666667, 0.331333333333333, 0.429333333333333, 0.252333333333333, 0.326, 0.144333333333333, 0.374333333333333, 0.471333333333333, 0.226666666666667, 0.372666666666667, 0.282333333333333, 0.314, 0.343666666666667, 0.299333333333333, 0.222333333333333, 0.245, 0.309666666666667, 0.319666666666667, 0.500333333333333, 0.346333333333333, 0.359333333333333, 0.546333333333333, 0.0776666666666667, 0.234, 0.180333333333333, 0.349, 0.208333333333333, 0.356666666666667, 0.414, 0.3, 0.339, 0.360333333333333, 0.411666666666667, 0.292, 0.343, 0.177, 0.309666666666667, 0.1915, 0.167333333333333, 0.431333333333333, 0.291666666666667, 0.47, 0.321666666666667, 0.264333333333333, 0.299, 0.448, 0.255, 0.263666666666667, 0.297333333333333, 0.355666666666667, 0.435, 0.363, 0.289, 0.362, 0.360333333333333, 0.454666666666667, 0.339666666666667, 0.165, 0.418, 0.238, 0.185333333333333, 0.318666666666667, 0.376666666666667, 0.423, 0.377, 0.407666666666667, 0.394, 0.373666666666667, 0.288333333333333, 0.430666666666667, 0.311333333333333, 0.448333333333333, 0.284333333333333, 0.230666666666667, 0.4655, 0.392666666666667, 0.252, 0.313666666666667]",1
6,9606.ENSP00000366070,"[0.355, 0.289666666666667, 0.277, 0.360333333333333, 0.309666666666667, 0.567666666666667, 1.0, 0.329333333333333, 0.293, 0.149333333333333, 0.294333333333333, 0.421666666666667, 0.297333333333333, 0.4305, 0.175666666666667, 0.274666666666667, 0.309, 0.309, 0.4745, 0.201, 0.152, 0.218, 0.3, 0.181666666666667, 0.187333333333333, 0.178, 0.2765, 0.463, 0.180666666666667, 0.349, 0.221, 0.202666666666667, 0.225, 0.192, 0.186, 0.238333333333333, 0.170666666666667, 0.2765, 0.131666666666667, 0.178, 0.233666666666667, 0.209666666666667, 0.349333333333333, 0.225, 0.189333333333333, 0.259333333333333, 0.185333333333333, 0.205333333333333, 0.366666666666667, 0.436, 0.261333333333333, 0.268, 0.324666666666667, 0.261666666666667, 0.329666666666667, 0.434, 0.488333333333333, 0.415333333333333, 0.231666666666667, 0.360333333333333, 0.386666666666667, 0.326333333333333, 0.357, 0.447, 0.34, 0.280666666666667, 0.385666666666667, 0.296, 0.411, 0.215, 0.283666666666667, 0.325333333333333, 0.327333333333333, 0.313333333333333, 0.343, 0.286333333333333, 0.365333333333333, 0.288333333333333, 0.144666666666667, 0.265666666666667, 0.399, 0.309333333333333, 0.357333333333333, 0.315, 0.331333333333333, 0.353666666666667, 0.286333333333333, 0.305, 0.305666666666667, 0.249, 0.322666666666667, 0.155, 0.339, 0.199333333333333, 0.259, 0.216666666666667, 0.226333333333333, 0.286333333333333, 0.293, 0.399333333333333, 0.28, 0.284, 0.401333333333333, 0.443, 0.300666666666667, 0.308666666666667, 0.146, 0.374666666666667, 0.361666666666667, 0.241, 0.332333333333333, 0.319666666666667, 0.272333333333333, 0.393, 0.318333333333333, 0.28, 0.256333333333333, 0.28, 0.412, 0.382333333333333, 0.331, 0.324, 0.439666666666667, 0.077, 0.196, 0.254, 0.321, 0.261666666666667, 0.325666666666667, 0.38, 0.334, 0.358666666666667, 0.427, 0.395, 0.344333333333333, 0.343, 0.232333333333333, 0.299, 0.2835, 0.246, 0.347333333333333, 0.325, 0.399333333333333, 0.302, 0.335666666666667, 0.326333333333333, 0.422333333333333, 0.6085, 0.273, 0.314666666666667, 0.316333333333333, 0.397666666666667, 0.408666666666667, 0.284, 0.297, 0.156666666666667, 0.369333333333333, 0.32, 0.246333333333333, 0.316666666666667, 0.275, 0.22, 0.297666666666667, 0.368, 0.288666666666667, 0.352666666666667, 0.41, 0.346, 0.323333333333333, 0.292333333333333, 0.370333333333333, 0.355333333333333, 0.385, 0.265, 0.240666666666667, 0.5045, 0.388666666666667, 0.289666666666667, 0.373333333333333]",1
7,9606.ENSP00000400906,"[0.330666666666667, 0.301, 0.310666666666667, 0.53, 0.454666666666667, 0.356666666666667, 0.329333333333333, 1.0, 0.295333333333333, 0.572333333333333, 0.271, 0.382, 0.272333333333333, 0.252, 0.256333333333333, 0.228333333333333, 0.327, 0.2305, 0.32, 0.388, 0.361666666666667, 0.326, 0.469666666666667, 0.311666666666667, 0.318333333333333, 0.314, 0.3315, 0.57, 0.316666666666667, 0.489333333333333, 0.366333333333333, 0.300666666666667, 0.328, 0.328333333333333, 0.401333333333333, 0.331666666666667, 0.310333333333333, 0.3315, 0.251333333333333, 0.314, 0.326, 0.279, 0.308333333333333, 0.367333333333333, 0.308, 0.339666666666667, 0.319666666666667, 0.326333333333333, 0.495333333333333, 0.406, 0.297333333333333, 0.312, 0.481666666666667, 0.322333333333333, 0.322, 0.413666666666667, 0.392333333333333, 0.383333333333333, 0.327, 0.515, 0.631666666666667, 0.346333333333333, 0.372666666666667, 0.553, 0.495666666666667, 0.402, 0.312333333333333, 0.307, 0.561, 0.276333333333333, 0.419666666666667, 0.412, 0.402666666666667, 0.548666666666667, 0.468666666666667, 0.292, 0.386666666666667, 0.529333333333333, 0.219666666666667, 0.430333333333333, 0.376666666666667, 0.395, 0.490333333333333, 0.381333333333333, 0.533666666666667, 0.633333333333333, 0.713, 0.4635, 0.416333333333333, 0.408333333333333, 0.3, 0.338666666666667, 0.361333333333333, 0.627666666666667, 0.480333333333333, 0.741666666666667, 0.341333333333333, 0.444333333333333, 0.486333333333333, 0.431666666666667, 0.529333333333333, 0.339333333333333, 0.391333333333333, 0.432666666666667, 0.595, 0.347, 0.353666666666667, 0.375, 0.381666666666667, 0.373, 0.456333333333333, 0.572333333333333, 0.224333333333333, 0.457, 0.523666666666667, 0.426333333333333, 0.359333333333333, 0.571333333333333, 0.443333333333333, 0.327333333333333, 0.278, 0.435, 0.456333333333333, 0.292666666666667, 0.359666666666667, 0.233, 0.233666666666667, 0.460666666666667, 0.316, 0.424666666666667, 0.482666666666667, 0.582, 0.586333333333333, 0.46, 0.620333333333333, 0.431666666666667, 0.406, 0.411333333333333, 0.372, 0.427333333333333, 0.661666666666667, 0.458333333333333, 0.374666666666667, 0.316, 0.577333333333333, 0.333666666666667, 0.498666666666667, 0.154, 0.379333333333333, 0.319666666666667, 0.393, 0.516333333333333, 0.491333333333333, 0.224, 0.218, 0.275666666666667, 0.433, 0.524666666666667, 0.395666666666667, 0.328, 0.216, 0.239666666666667, 0.329, 0.394333333333333, 0.163, 0.335333333333333, 0.488666666666667, 0.290666666666667, 0.246666666666667, 0.174333333333333, 0.329, 0.213, 0.299, 0.458333333333333, 0.239, 0.236, 0.377, 0.54, 0.546666666666667]",2
8,9606.ENSP00000391311,"[0.384333333333333, 0.311666666666667, 0.274333333333333, 0.320333333333333, 0.247333333333333, 0.404, 0.293, 0.295333333333333, 1.0, 0.099, 0.394666666666667, 0.386333333333333, 0.392, 0.1145, 0.141333333333333, 0.239666666666667, 0.196333333333333, 0.1385, 0.161, 0.215666666666667, 0.188333333333333, 0.186, 0.215333333333333, 0.198, 0.196666666666667, 0.191, 0.155, 0.242, 0.181, 0.315666666666667, 0.19, 0.216333333333333, 0.194333333333333, 0.189, 0.218, 0.257666666666667, 0.209666666666667, 0.155, 0.128333333333333, 0.191, 0.200666666666667, 0.153333333333333, 0.169333333333333, 0.193666666666667, 0.214, 0.249, 0.188, 0.178666666666667, 0.293666666666667, 0.458, 0.436, 0.420333333333333, 0.409666666666667, 0.327333333333333, 0.267333333333333, 0.356333333333333, 0.513, 0.250666666666667, 0.244666666666667, 0.292, 0.261333333333333, 0.354333333333333, 0.46, 0.239333333333333, 0.247666666666667, 0.529333333333333, 0.493666666666667, 0.588333333333333, 0.266666666666667, 0.144, 0.166, 0.378, 0.349666666666667, 0.341666666666667, 0.318, 0.338666666666667, 0.378333333333333, 0.248333333333333, 0.119333333333333, 0.34, 0.319, 0.391, 0.265333333333333, 0.358333333333333, 0.301, 0.264333333333333, 0.489333333333333, 0.177, 0.325666666666667, 0.234333333333333, 0.482666666666667, 0.193333333333333, 0.299333333333333, 0.235666666666667, 0.172666666666667, 0.263333333333333, 0.171666666666667, 0.283, 0.260333333333333, 0.248333333333333, 0.205666666666667, 0.158333333333333, 0.414, 0.393333333333333, 0.36, 0.406333333333333, 0.206333333333333, 0.345333333333333, 0.436, 0.4, 0.325, 0.298, 0.242333333333333, 0.325, 0.466333333333333, 0.175, 0.294333333333333, 0.263333333333333, 0.354666666666667, 0.374333333333333, 0.249333333333333, 0.343, 0.431333333333333, 0.194, 0.301333333333333, 0.21, 0.380333333333333, 0.273, 0.334666666666667, 0.299, 0.334, 0.262666666666667, 0.342333333333333, 0.375, 0.258333333333333, 0.345666666666667, 0.283666666666667, 0.203333333333333, 0.3385, 0.305333333333333, 0.243333333333333, 0.247333333333333, 0.384333333333333, 0.266666666666667, 0.232, 0.208666666666667, 0.415333333333333, 0.58, 0.296, 0.325666666666667, 0.363333333333333, 0.295333333333333, 0.333666666666667, 0.414, 0.310666666666667, 0.185333333333333, 0.329333333333333, 0.257333333333333, 0.227333333333333, 0.296333333333333, 0.283666666666667, 0.28, 0.327, 0.391, 0.437666666666667, 0.372333333333333, 0.362666666666667, 0.452333333333333, 0.427666666666667, 0.374333333333333, 0.374333333333333, 0.350333333333333, 0.443666666666667, 0.298, 0.373333333333333, 0.2505, 0.266333333333333, 0.302666666666667, 0.264666666666667]",1
9,9606.ENSP00000448182,"[0.145333333333333, 0.147333333333333, 0.356666666666667, 0.128666666666667, 0.0943333333333333, 0.405333333333333, 0.149333333333333, 0.572333333333333, 0.099, 1.0, 0.142333333333333, 0.170666666666667, 0.142333333333333, 0.1785, 0.109, 0.154666666666667, 0.188, 0.1795, 0.1795, 0.115666666666667, 0.0963333333333333, 0.099, 0.237, 0.102333333333333, 0.102333333333333, 0.0963333333333333, 0.1445, 0.338, 0.119666666666667, 0.603666666666667, 0.115666666666667, 0.0963333333333333, 0.100333333333333, 0.100333333333333, 0.145666666666667, 0.133666666666667, 0.0963333333333333, 0.1445, 0.0963333333333333, 0.0963333333333333, 0.106666666666667, 0.099, 0.135, 0.156666666666667, 0.102333333333333, 0.0766666666666667, 0.0956666666666667, 0.078, 0.414, 0.190333333333333, 0.127, 0.108, 0.174333333333333, 0.159, 0.143666666666667, 0.565666666666667, 0.13, 0.504333333333333, 0.368333333333333, 0.617333333333333, 0.142, 0.164, 0.142333333333333, 0.543666666666667, 0.157666666666667, 0.143333333333333, 0.110666666666667, 0.14, 0.556666666666667, 0.0956666666666667, 0.165, 0.719, 0.242, 0.587333333333333, 0.183, 0.525, 0.515666666666667, 0.413333333333333, 0.0806666666666667, 0.232, 0.333333333333333, 0.573333333333333, 0.338666666666667, 0.578, 0.283, 0.212333333333333, 0.137, 0.1865, 0.114666666666667, 0.133666666666667, 0.107666666666667, 0.104, 0.423, 0.055, 0.215, 0.0833333333333333, 0.333666666666667, 0.291, 0.150666666666667, 0.178666666666667, 0.151, 0.0963333333333333, 0.153, 0.154333333333333, 0.135666666666667, 0.152666666666667, 0.126666666666667, 0.0966666666666667, 0.128666666666667, 0.128666666666667, 0.342, 0.168333333333333, 0.0893333333333333, 0.574, 0.448333333333333, 0.241, 0.127333333333333, 0.569666666666667, 0.133666666666667, 0.272, 0.637666666666667, 0.551333333333333, 0.516333333333333, 0.183, 0.4, 0.162333333333333, 0.145, 0.0873333333333333, 0.159, 0.551, 0.389333333333333, 0.378, 0.197333333333333, 0.536, 0.396666666666667, 0.153, 0.196333333333333, 0.61, 0.1405, 0.438, 0.174333333333333, 0.196, 0.422333333333333, 0.592333333333333, 0.183, 0.325333333333333, 0.154, 0.0795, 0.109666666666667, 0.251666666666667, 0.524333333333333, 0.265333333333333, 0.407333333333333, 0.202, 0.153, 0.153, 0.504, 0.274, 0.168333333333333, 0.325, 0.116333333333333, 0.607, 0.558333333333333, 0.603666666666667, 0.0786666666666667, 0.122333333333333, 0.166333333333333, 0.119, 0.137, 0.101, 0.123333333333333, 0.142666666666667, 0.100666666666667, 0.602, 0.298, 0.2175, 0.539333333333333, 0.135666666666667, 0.174]",1
10,9606.ENSP00000321971,"[0.378666666666667, 0.242333333333333, 0.375, 0.365666666666667, 0.298, 0.244666666666667, 0.294333333333333, 0.271, 0.394666666666667, 0.142333333333333, 1.0, 0.256, 0.996, 0.7565, 0.429333333333333, 0.517, 0.424666666666667, 0.608, 0.787, 0.420666666666667, 0.381666666666667, 0.475666666666667, 0.436333333333333, 0.439666666666667, 0.445, 0.431, 0.53, 0.741, 0.455666666666667, 0.317666666666667, 0.419, 0.404666666666667, 0.512666666666667, 0.432, 0.418333333333333, 0.428, 0.421333333333333, 0.53, 0.3, 0.431, 0.402333333333333, 0.359666666666667, 0.402333333333333, 0.422666666666667, 0.43, 0.451, 0.427666666666667, 0.384666666666667, 0.353666666666667, 0.489, 0.753666666666667, 0.347333333333333, 0.578666666666667, 0.456, 0.226333333333333, 0.346666666666667, 0.448, 0.219333333333333, 0.270333333333333, 0.391333333333333, 0.221, 0.286333333333333, 0.273666666666667, 0.282666666666667, 0.307, 0.567666666666667, 0.411333333333333, 0.438, 0.285666666666667, 0.398666666666667, 0.418, 0.337, 0.278333333333333, 0.283666666666667, 0.274333333333333, 0.206333333333333, 0.29, 0.490666666666667, 0.236666666666667, 0.367333333333333, 0.281333333333333, 0.323666666666667, 0.280666666666667, 0.273, 0.28, 0.314333333333333, 0.252333333333333, 0.3425, 0.343333333333333, 0.265, 0.379666666666667, 0.277333333333333, 0.328666666666667, 0.253333333333333, 0.276, 0.136333333333333, 0.262333333333333, 0.29, 0.183333333333333, 0.315333333333333, 0.248, 0.393, 0.411, 0.317333333333333, 0.369333333333333, 0.436, 0.293666666666667, 0.378, 0.274, 0.415333333333333, 0.405, 0.246666666666667, 0.415666666666667, 0.432666666666667, 0.507666666666667, 0.407333333333333, 0.315666666666667, 0.214666666666667, 0.351333333333333, 0.260666666666667, 0.154666666666667, 0.34, 0.467666666666667, 0.226666666666667, 0.299333333333333, 0.219, 0.287333333333333, 0.635333333333333, 0.35, 0.260333333333333, 0.389666666666667, 0.292333333333333, 0.261666666666667, 0.351, 0.258333333333333, 0.331333333333333, 0.439, 0.325, 0.57, 0.435666666666667, 0.372333333333333, 0.286333333333333, 0.250333333333333, 0.304666666666667, 0.326, 0.308333333333333, 0.391666666666667, 0.5345, 0.27, 0.284666666666667, 0.285, 0.246666666666667, 0.315333333333333, 0.3175, 0.329, 0.140666666666667, 0.296, 0.318, 0.392666666666667, 0.256, 0.254666666666667, 0.296666666666667, 0.228666666666667, 0.401666666666667, 0.269666666666667, 0.325666666666667, 0.265333333333333, 0.283, 0.292333333333333, 0.249666666666667, 0.316666666666667, 0.244333333333333, 0.289666666666667, 0.235333333333333, 0.213333333333333, 0.2845, 0.170333333333333, 0.288, 0.243]",1
11,9606.ENSP00000261367,"[0.35, 0.378, 0.51, 0.381, 0.289333333333333, 0.542666666666667, 0.421666666666667, 0.382, 0.386333333333333, 0.170666666666667, 0.256, 1.0, 0.264333333333333, 0.3765, 0.170666666666667, 0.270666666666667, 0.346666666666667, 0.2385, 0.4075, 0.223666666666667, 0.135333333333333, 0.220666666666667, 0.293666666666667, 0.175, 0.167333333333333, 0.172333333333333, 0.261, 0.456, 0.157, 0.412333333333333, 0.207, 0.166, 0.224, 0.188333333333333, 0.163666666666667, 0.237666666666667, 0.164666666666667, 0.261, 0.145666666666667, 0.172333333333333, 0.239, 0.195666666666667, 0.330333333333333, 0.228666666666667, 0.167333333333333, 0.350333333333333, 0.181333333333333, 0.208666666666667, 0.422333333333333, 0.373666666666667, 0.330333333333333, 0.362666666666667, 0.347333333333333, 0.271333333333333, 0.399333333333333, 0.417333333333333, 0.424333333333333, 0.378, 0.241333333333333, 0.363666666666667, 0.366333333333333, 0.407, 0.355333333333333, 0.410666666666667, 0.324333333333333, 0.346666666666667, 0.346, 0.393333333333333, 0.369666666666667, 0.213333333333333, 0.264, 0.337, 0.341333333333333, 0.411333333333333, 0.418666666666667, 0.343333333333333, 0.341666666666667, 0.312333333333333, 0.131, 0.241, 0.396333333333333, 0.393666666666667, 0.385666666666667, 0.374333333333333, 0.416333333333333, 0.461666666666667, 0.289, 0.2895, 0.311333333333333, 0.2, 0.334666666666667, 0.193, 0.316, 0.227, 0.366333333333333, 0.363, 0.277, 0.363, 0.404, 0.472333333333333, 0.381333333333333, 0.282666666666667, 0.348666666666667, 0.337, 0.315333333333333, 0.390666666666667, 0.23, 0.347333333333333, 0.448666666666667, 0.242, 0.375666666666667, 0.328666666666667, 0.234333333333333, 0.337, 0.322, 0.269, 0.253, 0.332333333333333, 0.387666666666667, 0.402666666666667, 0.307, 0.35, 0.466, 0.130666666666667, 0.252666666666667, 0.296, 0.419666666666667, 0.197, 0.336333333333333, 0.374, 0.346666666666667, 0.364666666666667, 0.367333333333333, 0.410333333333333, 0.362666666666667, 0.376333333333333, 0.246333333333333, 0.329333333333333, 0.2685, 0.253, 0.394333333333333, 0.318, 0.435666666666667, 0.369333333333333, 0.321, 0.383333333333333, 0.321, 0.3985, 0.343666666666667, 0.322666666666667, 0.366666666666667, 0.512333333333333, 0.417666666666667, 0.3865, 0.320666666666667, 0.205333333333333, 0.429666666666667, 0.376, 0.258, 0.336, 0.294333333333333, 0.188666666666667, 0.325666666666667, 0.351, 0.499666666666667, 0.374, 0.439333333333333, 0.414666666666667, 0.371333333333333, 0.312666666666667, 0.398, 0.325666666666667, 0.418666666666667, 0.266333333333333, 0.292333333333333, 0.4185, 0.272, 0.372333333333333, 0.399333333333333]",1
