,node1,node2,num_id_1,num_id_2
0,9606.ENSP00000477848,9606.ENSP00000272317,66,65
1,9606.ENSP00000272317,9606.ENSP00000400906_AD,65,141
2,9606.ENSP00000272317,9606.ENSP00000374455_AD,65,142
3,9606.ENSP00000272317,9606.ENSP00000365576,65,43
4,9606.ENSP00000272317,9606.ENSP00000284440_AD,65,146
5,9606.ENSP00000272317,9606.ENSP00000478771,65,6
6,9606.ENSP00000272317,9606.ENSP00000441543,65,7
7,9606.ENSP00000272317,9606.ENSP00000388107,65,5
11,9606.ENSP00000351926,9606.ENSP00000451300,64,63
12,9606.ENSP00000351926,9606.ENSP00000377015,64,62
13,9606.ENSP00000351926,9606.ENSP00000483185,64,61
14,9606.ENSP00000351926,9606.ENSP00000403362,64,60
15,9606.ENSP00000377015,9606.ENSP00000272317,62,65
16,9606.ENSP00000377015,9606.ENSP00000441543,62,7
17,9606.ENSP00000377015,9606.ENSP00000478771,62,6
18,9606.ENSP00000377015,9606.ENSP00000388107,62,5
19,9606.ENSP00000483185,9606.ENSP00000377015,61,62
20,9606.ENSP00000483185,9606.ENSP00000403362,61,60
21,9606.ENSP00000483185,9606.ENSP00000451300,61,63
22,9606.ENSP00000403362,9606.ENSP00000298910_AD,60,150
23,9606.ENSP00000403362,9606.ENSP00000340820_AD,60,149
24,9606.ENSP00000403362,9606.ENSP00000377015,60,62
25,9606.ENSP00000403362,9606.ENSP00000451300,60,63
26,9606.ENSP00000327694,9606.ENSP00000403362,59,60
27,9606.ENSP00000327694,9606.ENSP00000483185,59,61
28,9606.ENSP00000298910_AD,9606.ENSP00000262554,150,12
29,9606.ENSP00000298910_AD,9606.ENSP00000264335,150,32
30,9606.ENSP00000298910_AD,9606.ENSP00000264710_AD,150,143
31,9606.ENSP00000298910_AD,9606.ENSP00000272317,150,65
32,9606.ENSP00000298910_AD,9606.ENSP00000378487,150,11
33,9606.ENSP00000298910_AD,9606.ENSP00000374455_AD,150,142
34,9606.ENSP00000298910_AD,9606.ENSP00000340820_AD,150,149
35,9606.ENSP00000298910_AD,9606.ENSP00000500990_AD,150,147
36,9606.ENSP00000340820_AD,9606.ENSP00000012443,149,10
37,9606.ENSP00000340820_AD,9606.ENSP00000262891,149,9
38,9606.ENSP00000340820_AD,9606.ENSP00000264335,149,32
39,9606.ENSP00000340820_AD,9606.ENSP00000272317,149,65
40,9606.ENSP00000340820_AD,9606.ENSP00000483424,149,8
41,9606.ENSP00000340820_AD,9606.ENSP00000374455_AD,149,142
42,9606.ENSP00000340820_AD,9606.ENSP00000500990_AD,149,147
43,9606.ENSP00000340820_AD,9606.ENSP00000385751,149,19
44,9606.ENSP00000477213,9606.ENSP00000221891,58,57
45,9606.ENSP00000477213,9606.ENSP00000263233,58,56
46,9606.ENSP00000477213,9606.ENSP00000284981_AD,58,148
47,9606.ENSP00000477213,9606.ENSP00000497691,58,55
48,9606.ENSP00000284981_AD,9606.ENSP00000168216,148,50
49,9606.ENSP00000284981_AD,9606.ENSP00000222330,148,49
50,9606.ENSP00000284981_AD,9606.ENSP00000241014,148,48
51,9606.ENSP00000284981_AD,9606.ENSP00000257626,148,47
52,9606.ENSP00000284981_AD,9606.ENSP00000260197,148,51
53,9606.ENSP00000284981_AD,9606.ENSP00000284440_AD,148,146
54,9606.ENSP00000284981_AD,9606.ENSP00000366513,148,46
55,9606.ENSP00000284981_AD,9606.ENSP00000382083,148,45
56,9606.ENSP00000284981_AD,9606.ENSP00000324806,148,44
57,9606.ENSP00000284981_AD,9606.ENSP00000365576,148,43
58,9606.ENSP00000284981_AD,9606.ENSP00000451300,148,63
59,9606.ENSP00000284981_AD,9606.ENSP00000500990_AD,148,147
60,9606.ENSP00000284981_AD,9606.ENSP00000340820_AD,148,149
61,9606.ENSP00000284981_AD,9606.ENSP00000366047_AD,148,145
62,9606.ENSP00000284981_AD,9606.ENSP00000399376,148,42
63,9606.ENSP00000284981_AD,9606.ENSP00000326366,148,41
64,9606.ENSP00000284981_AD,9606.ENSP00000318585,148,40
65,9606.ENSP00000284981_AD,9606.ENSP00000296861,148,39
66,9606.ENSP00000252486,9606.ENSP00000340820_AD,54,149
67,9606.ENSP00000252486,9606.ENSP00000500990_AD,54,147
68,9606.ENSP00000252486,9606.ENSP00000362205,54,53
69,9606.ENSP00000252486,9606.ENSP00000303634,54,52
70,9606.ENSP00000252486,9606.ENSP00000260197,54,51
71,9606.ENSP00000252486,9606.ENSP00000284981_AD,54,148
72,9606.ENSP00000500990_AD,9606.ENSP00000374455_AD,147,142
73,9606.ENSP00000500990_AD,9606.ENSP00000377296_AD,147,140
74,9606.ENSP00000500990_AD,9606.ENSP00000441543,147,7
75,9606.ENSP00000362205,9606.ENSP00000262629,53,1
76,9606.ENSP00000303634,9606.ENSP00000241014,52,48
77,9606.ENSP00000168216,9606.ENSP00000410339,50,18
78,9606.ENSP00000222330,9606.ENSP00000378323,49,23
79,9606.ENSP00000222330,9606.ENSP00000340820_AD,49,149
80,9606.ENSP00000222330,9606.ENSP00000324806,49,44
81,9606.ENSP00000324806,9606.ENSP00000298910_AD,44,150
82,9606.ENSP00000324806,9606.ENSP00000360266,44,22
83,9606.ENSP00000324806,9606.ENSP00000326366,44,41
84,9606.ENSP00000324806,9606.ENSP00000340820_AD,44,149
85,9606.ENSP00000365576,9606.ENSP00000272638,43,0
86,9606.ENSP00000326366,9606.ENSP00000441543,41,7
87,9606.ENSP00000326366,9606.ENSP00000365576,41,43
88,9606.ENSP00000326366,9606.ENSP00000355747,41,15
89,9606.ENSP00000318585,9606.ENSP00000381531,40,38
90,9606.ENSP00000381531,9606.ENSP00000340820_AD,38,149
91,9606.ENSP00000381531,9606.ENSP00000500990_AD,38,147
92,9606.ENSP00000376943,9606.ENSP00000339527,37,36
93,9606.ENSP00000376943,9606.ENSP00000356694,37,35
94,9606.ENSP00000339527,9606.ENSP00000264335,36,32
95,9606.ENSP00000356694,9606.ENSP00000339527,35,36
96,9606.ENSP00000316779,9606.ENSP00000340820_AD,34,149
106,9606.ENSP00000303706,9606.ENSP00000264335,33,32
107,9606.ENSP00000245960,9606.ENSP00000419782_AD,31,144
108,9606.ENSP00000245960,9606.ENSP00000264335,31,32
109,9606.ENSP00000419782_AD,9606.ENSP00000298910_AD,144,150
110,9606.ENSP00000419782_AD,9606.ENSP00000318486,144,28
111,9606.ENSP00000419782_AD,9606.ENSP00000340820_AD,144,149
112,9606.ENSP00000321656,9606.ENSP00000264335,30,32
113,9606.ENSP00000321656,9606.ENSP00000411397,30,29
114,9606.ENSP00000411397,9606.ENSP00000262891,29,9
115,9606.ENSP00000411397,9606.ENSP00000264335,29,32
119,9606.ENSP00000449089,9606.ENSP00000298910_AD,27,150
120,9606.ENSP00000380070,9606.ENSP00000264335,26,32
121,9606.ENSP00000409007,9606.ENSP00000260197,25,51
122,9606.ENSP00000416097,9606.ENSP00000298910_AD,24,150
123,9606.ENSP00000360266,9606.ENSP00000272317,22,65
124,9606.ENSP00000360266,9606.ENSP00000329357,22,17
125,9606.ENSP00000409555,9606.ENSP00000272317,21,65
126,9606.ENSP00000409555,9606.ENSP00000326366,21,41
127,9606.ENSP00000407586,9606.ENSP00000385751,20,19
128,9606.ENSP00000385751,9606.ENSP00000264335,19,32
129,9606.ENSP00000385751,9606.ENSP00000411397,19,29
130,9606.ENSP00000295225,9606.ENSP00000326366,16,41
131,9606.ENSP00000295225,9606.ENSP00000355747,16,15
132,9606.ENSP00000355747,9606.ENSP00000365576,15,43
133,9606.ENSP00000357283,9606.ENSP00000261366,14,13
134,9606.ENSP00000261366,9606.ENSP00000298910_AD,13,150
135,9606.ENSP00000262554,9606.ENSP00000216484,12,2
136,9606.ENSP00000374455_AD,9606.ENSP00000441543,142,7
137,9606.ENSP00000374455_AD,9606.ENSP00000378487,142,11
138,9606.ENSP00000262891,9606.ENSP00000264335,9,32
139,9606.ENSP00000483424,9606.ENSP00000264335,8,32
140,9606.ENSP00000483424,9606.ENSP00000385751,8,19
142,9606.ENSP00000441543,9606.ENSP00000284440_AD,7,146
143,9606.ENSP00000441543,9606.ENSP00000365576,7,43
144,9606.ENSP00000478771,9606.ENSP00000284440_AD,6,146
145,9606.ENSP00000478771,9606.ENSP00000365576,6,43
146,9606.ENSP00000478771,9606.ENSP00000441543,6,7
147,9606.ENSP00000388107,9606.ENSP00000284440_AD,5,146
148,9606.ENSP00000388107,9606.ENSP00000365576,5,43
149,9606.ENSP00000388107,9606.ENSP00000478771,5,6
150,9606.ENSP00000388107,9606.ENSP00000441543,5,7
152,9606.ENSP00000357876,9606.ENSP00000272317,4,65
153,9606.ENSP00000357876,9606.ENSP00000365576,4,43
154,9606.ENSP00000357876,9606.ENSP00000388107,4,5
155,9606.ENSP00000357876,9606.ENSP00000441543,4,7
156,9606.ENSP00000357876,9606.ENSP00000478771,4,6
158,9606.ENSP00000357727,9606.ENSP00000500990_AD,3,147
161,9606.ENSP00000428968,9606.ENSP00000400906_PD,67,152
162,9606.ENSP00000428968,9606.ENSP00000351777,67,132
163,9606.ENSP00000447300,9606.ENSP00000300935,69,118
164,9606.ENSP00000351132,9606.ENSP00000321971,75,73
165,9606.ENSP00000367346,9606.ENSP00000400184,77,76
166,9606.ENSP00000367346,9606.ENSP00000233627,77,108
167,9606.ENSP00000296597,9606.ENSP00000327268,78,94
168,9606.ENSP00000296597,9606.ENSP00000392709,78,84
169,9606.ENSP00000296597,9606.ENSP00000299166,78,96
170,9606.ENSP00000296597,9606.ENSP00000315774,78,95
171,9606.ENSP00000296597,9606.ENSP00000276689,78,99
172,9606.ENSP00000358272,9606.ENSP00000418803,79,90
