,node1,node2,num_id_1,num_id_2
0,9606.ENSP00000477848,9606.ENSP00000272317,23,60
1,9606.ENSP00000272317,9606.ENSP00000400906,60,126
2,9606.ENSP00000272317,9606.ENSP00000374455,60,37
3,9606.ENSP00000272317,9606.ENSP00000365576,60,162
4,9606.ENSP00000272317,9606.ENSP00000284440,60,139
5,9606.ENSP00000272317,9606.ENSP00000478771,60,146
6,9606.ENSP00000272317,9606.ENSP00000441543,60,165
7,9606.ENSP00000272317,9606.ENSP00000388107,60,88
8,9606.ENSP00000365312,9606.ENSP00000354251,2,33
9,9606.ENSP00000364210,9606.ENSP00000345347,137,93
10,9606.ENSP00000345347,9606.ENSP00000245185,93,25
11,9606.ENSP00000351926,9606.ENSP00000451300,49,125
12,9606.ENSP00000351926,9606.ENSP00000377015,49,164
13,9606.ENSP00000351926,9606.ENSP00000483185,49,28
14,9606.ENSP00000351926,9606.ENSP00000403362,49,106
15,9606.ENSP00000377015,9606.ENSP00000272317,164,60
16,9606.ENSP00000377015,9606.ENSP00000441543,164,165
17,9606.ENSP00000377015,9606.ENSP00000478771,164,146
18,9606.ENSP00000377015,9606.ENSP00000388107,164,88
19,9606.ENSP00000483185,9606.ENSP00000377015,28,164
20,9606.ENSP00000483185,9606.ENSP00000403362,28,106
21,9606.ENSP00000483185,9606.ENSP00000451300,28,125
22,9606.ENSP00000403362,9606.ENSP00000298910,106,116
23,9606.ENSP00000403362,9606.ENSP00000340820,106,129
24,9606.ENSP00000403362,9606.ENSP00000377015,106,164
25,9606.ENSP00000403362,9606.ENSP00000451300,106,125
26,9606.ENSP00000327694,9606.ENSP00000403362,24,106
27,9606.ENSP00000327694,9606.ENSP00000483185,24,28
28,9606.ENSP00000298910,9606.ENSP00000262554,116,103
29,9606.ENSP00000298910,9606.ENSP00000264335,116,81
30,9606.ENSP00000298910,9606.ENSP00000264710,116,55
31,9606.ENSP00000298910,9606.ENSP00000272317,116,60
32,9606.ENSP00000298910,9606.ENSP00000378487,116,135
33,9606.ENSP00000298910,9606.ENSP00000374455,116,37
34,9606.ENSP00000298910,9606.ENSP00000340820,116,129
35,9606.ENSP00000298910,9606.ENSP00000500990,116,22
36,9606.ENSP00000340820,9606.ENSP00000012443,129,46
37,9606.ENSP00000340820,9606.ENSP00000262891,129,159
38,9606.ENSP00000340820,9606.ENSP00000264335,129,81
39,9606.ENSP00000340820,9606.ENSP00000272317,129,60
40,9606.ENSP00000340820,9606.ENSP00000483424,129,175
41,9606.ENSP00000340820,9606.ENSP00000374455,129,37
42,9606.ENSP00000340820,9606.ENSP00000500990,129,22
43,9606.ENSP00000340820,9606.ENSP00000385751,129,73
44,9606.ENSP00000477213,9606.ENSP00000221891,67,148
45,9606.ENSP00000477213,9606.ENSP00000263233,67,111
46,9606.ENSP00000477213,9606.ENSP00000284981,67,172
47,9606.ENSP00000477213,9606.ENSP00000497691,67,136
48,9606.ENSP00000284981,9606.ENSP00000168216,172,30
49,9606.ENSP00000284981,9606.ENSP00000222330,172,74
50,9606.ENSP00000284981,9606.ENSP00000241014,172,5
51,9606.ENSP00000284981,9606.ENSP00000257626,172,169
52,9606.ENSP00000284981,9606.ENSP00000260197,172,120
53,9606.ENSP00000284981,9606.ENSP00000284440,172,139
54,9606.ENSP00000284981,9606.ENSP00000366513,172,147
55,9606.ENSP00000284981,9606.ENSP00000382083,172,38
56,9606.ENSP00000284981,9606.ENSP00000324806,172,42
57,9606.ENSP00000284981,9606.ENSP00000365576,172,162
58,9606.ENSP00000284981,9606.ENSP00000451300,172,125
59,9606.ENSP00000284981,9606.ENSP00000500990,172,22
60,9606.ENSP00000284981,9606.ENSP00000340820,172,129
61,9606.ENSP00000284981,9606.ENSP00000366047,172,50
62,9606.ENSP00000284981,9606.ENSP00000399376,172,18
63,9606.ENSP00000284981,9606.ENSP00000326366,172,115
64,9606.ENSP00000284981,9606.ENSP00000318585,172,76
65,9606.ENSP00000284981,9606.ENSP00000296861,172,95
66,9606.ENSP00000252486,9606.ENSP00000340820,34,129
67,9606.ENSP00000252486,9606.ENSP00000500990,34,22
68,9606.ENSP00000252486,9606.ENSP00000362205,34,92
69,9606.ENSP00000252486,9606.ENSP00000303634,34,143
70,9606.ENSP00000252486,9606.ENSP00000260197,34,120
71,9606.ENSP00000252486,9606.ENSP00000284981,34,172
72,9606.ENSP00000500990,9606.ENSP00000374455,22,37
73,9606.ENSP00000500990,9606.ENSP00000377296,22,127
74,9606.ENSP00000500990,9606.ENSP00000441543,22,165
75,9606.ENSP00000362205,9606.ENSP00000262629,92,51
76,9606.ENSP00000303634,9606.ENSP00000241014,143,5
77,9606.ENSP00000168216,9606.ENSP00000410339,30,77
78,9606.ENSP00000222330,9606.ENSP00000378323,74,100
79,9606.ENSP00000222330,9606.ENSP00000340820,74,129
80,9606.ENSP00000222330,9606.ENSP00000324806,74,42
81,9606.ENSP00000324806,9606.ENSP00000298910,42,116
82,9606.ENSP00000324806,9606.ENSP00000360266,42,13
83,9606.ENSP00000324806,9606.ENSP00000326366,42,115
84,9606.ENSP00000324806,9606.ENSP00000340820,42,129
85,9606.ENSP00000365576,9606.ENSP00000272638,162,171
86,9606.ENSP00000326366,9606.ENSP00000441543,115,165
87,9606.ENSP00000326366,9606.ENSP00000365576,115,162
88,9606.ENSP00000326366,9606.ENSP00000355747,115,121
89,9606.ENSP00000318585,9606.ENSP00000381531,76,39
90,9606.ENSP00000381531,9606.ENSP00000340820,39,129
91,9606.ENSP00000381531,9606.ENSP00000500990,39,22
92,9606.ENSP00000376943,9606.ENSP00000339527,78,142
93,9606.ENSP00000376943,9606.ENSP00000356694,78,160
94,9606.ENSP00000339527,9606.ENSP00000264335,142,81
95,9606.ENSP00000356694,9606.ENSP00000339527,160,142
96,9606.ENSP00000316779,9606.ENSP00000340820,151,129
97,9606.ENSP00000307208,9606.ENSP00000219782,48,59
98,9606.ENSP00000431984,9606.ENSP00000400882,0,174
99,9606.ENSP00000431984,9606.ENSP00000422176,0,98
100,9606.ENSP00000431984,9606.ENSP00000464849,0,63
101,9606.ENSP00000400882,9606.ENSP00000422176,174,98
102,9606.ENSP00000464849,9606.ENSP00000400882,63,174
103,9606.ENSP00000464849,9606.ENSP00000422176,63,98
104,9606.ENSP00000295006,9606.ENSP00000422176,109,98
105,9606.ENSP00000295006,9606.ENSP00000464849,109,63
106,9606.ENSP00000303706,9606.ENSP00000264335,9,81
107,9606.ENSP00000245960,9606.ENSP00000419782,58,105
108,9606.ENSP00000245960,9606.ENSP00000264335,58,81
109,9606.ENSP00000419782,9606.ENSP00000298910,105,116
110,9606.ENSP00000419782,9606.ENSP00000318486,105,157
111,9606.ENSP00000419782,9606.ENSP00000340820,105,129
112,9606.ENSP00000321656,9606.ENSP00000264335,124,81
113,9606.ENSP00000321656,9606.ENSP00000411397,124,132
114,9606.ENSP00000411397,9606.ENSP00000262891,132,159
115,9606.ENSP00000411397,9606.ENSP00000264335,132,81
116,9606.ENSP00000454229,9606.ENSP00000387262,70,90
117,9606.ENSP00000358513,9606.ENSP00000363596,150,11
118,9606.ENSP00000236671,9606.ENSP00000253719,16,54
119,9606.ENSP00000449089,9606.ENSP00000298910,173,116
120,9606.ENSP00000380070,9606.ENSP00000264335,82,81
121,9606.ENSP00000409007,9606.ENSP00000260197,85,120
122,9606.ENSP00000416097,9606.ENSP00000298910,134,116
123,9606.ENSP00000360266,9606.ENSP00000272317,13,60
124,9606.ENSP00000360266,9606.ENSP00000329357,13,68
125,9606.ENSP00000409555,9606.ENSP00000272317,133,60
126,9606.ENSP00000409555,9606.ENSP00000326366,133,115
127,9606.ENSP00000407586,9606.ENSP00000385751,27,73
128,9606.ENSP00000385751,9606.ENSP00000264335,73,81
129,9606.ENSP00000385751,9606.ENSP00000411397,73,132
130,9606.ENSP00000295225,9606.ENSP00000326366,87,115
131,9606.ENSP00000295225,9606.ENSP00000355747,87,121
132,9606.ENSP00000355747,9606.ENSP00000365576,121,162
133,9606.ENSP00000357283,9606.ENSP00000261366,94,15
134,9606.ENSP00000261366,9606.ENSP00000298910,15,116
135,9606.ENSP00000262554,9606.ENSP00000216484,103,152
136,9606.ENSP00000374455,9606.ENSP00000441543,37,165
137,9606.ENSP00000374455,9606.ENSP00000378487,37,135
138,9606.ENSP00000262891,9606.ENSP00000264335,159,81
139,9606.ENSP00000483424,9606.ENSP00000264335,175,81
140,9606.ENSP00000483424,9606.ENSP00000385751,175,73
141,9606.ENSP00000354687,9606.ENSP00000355046,21,178
142,9606.ENSP00000441543,9606.ENSP00000284440,165,139
143,9606.ENSP00000441543,9606.ENSP00000365576,165,162
144,9606.ENSP00000478771,9606.ENSP00000284440,146,139
145,9606.ENSP00000478771,9606.ENSP00000365576,146,162
146,9606.ENSP00000478771,9606.ENSP00000441543,146,165
147,9606.ENSP00000388107,9606.ENSP00000284440,88,139
148,9606.ENSP00000388107,9606.ENSP00000365576,88,162
149,9606.ENSP00000388107,9606.ENSP00000478771,88,146
150,9606.ENSP00000388107,9606.ENSP00000441543,88,165
151,9606.ENSP00000262746,9606.ENSP00000301522,168,141
152,9606.ENSP00000357876,9606.ENSP00000272317,3,60
153,9606.ENSP00000357876,9606.ENSP00000365576,3,162
154,9606.ENSP00000357876,9606.ENSP00000388107,3,88
155,9606.ENSP00000357876,9606.ENSP00000441543,3,165
156,9606.ENSP00000357876,9606.ENSP00000478771,3,146
157,9606.ENSP00000261973,9606.ENSP00000334538,112,108
158,9606.ENSP00000357727,9606.ENSP00000500990,128,22
159,9606.ENSP00000464391,9606.ENSP00000240587,149,35
160,9606.ENSP00000299138,9606.ENSP00000485513,96,83
161,9606.ENSP00000428968,9606.ENSP00000400906,122,126
162,9606.ENSP00000428968,9606.ENSP00000351777,122,65
163,9606.ENSP00000447300,9606.ENSP00000300935,64,104
164,9606.ENSP00000351132,9606.ENSP00000321971,138,40
165,9606.ENSP00000367346,9606.ENSP00000400184,7,52
166,9606.ENSP00000367346,9606.ENSP00000233627,7,89
167,9606.ENSP00000296597,9606.ENSP00000327268,12,56
168,9606.ENSP00000296597,9606.ENSP00000392709,12,156
169,9606.ENSP00000296597,9606.ENSP00000299166,12,107
170,9606.ENSP00000296597,9606.ENSP00000315774,12,69
171,9606.ENSP00000296597,9606.ENSP00000276689,12,161
172,9606.ENSP00000358272,9606.ENSP00000418803,130,29
173,9606.ENSP00000358272,9606.ENSP00000356972,130,117
174,9606.ENSP00000358272,9606.ENSP00000351737,130,97
175,9606.ENSP00000358272,9606.ENSP00000315774,130,69
176,9606.ENSP00000358272,9606.ENSP00000281031,130,91
177,9606.ENSP00000358272,9606.ENSP00000263774,130,79
178,9606.ENSP00000358272,9606.ENSP00000233627,130,89
179,9606.ENSP00000323076,9606.ENSP00000358272,99,130
180,9606.ENSP00000323076,9606.ENSP00000356972,99,117
181,9606.ENSP00000323076,9606.ENSP00000418803,99,29
182,9606.ENSP00000323076,9606.ENSP00000367346,99,7
183,9606.ENSP00000323076,9606.ENSP00000351737,99,97
184,9606.ENSP00000323076,9606.ENSP00000315774,99,69
185,9606.ENSP00000323076,9606.ENSP00000268668,99,1
186,9606.ENSP00000323076,9606.ENSP00000263774,99,79
187,9606.ENSP00000323076,9606.ENSP00000233627,99,89
188,9606.ENSP00000497587,9606.ENSP00000418803,26,29
189,9606.ENSP00000497587,9606.ENSP00000327268,26,56
190,9606.ENSP00000355206,9606.ENSP00000356972,6,117
191,9606.ENSP00000355206,9606.ENSP00000392709,6,156
192,9606.ENSP00000355206,9606.ENSP00000423673,6,80
193,9606.ENSP00000355206,9606.ENSP00000497587,6,26
194,9606.ENSP00000355206,9606.ENSP00000482543,6,119
195,9606.ENSP00000355206,9606.ENSP00000407336,6,61
196,9606.ENSP00000355206,9606.ENSP00000362873,6,45
197,9606.ENSP00000355206,9606.ENSP00000360492,6,144
198,9606.ENSP00000355206,9606.ENSP00000389160,6,101
199,9606.ENSP00000355206,9606.ENSP00000354665,6,43
200,9606.ENSP00000355206,9606.ENSP00000330737,6,158
201,9606.ENSP00000355206,9606.ENSP00000327268,6,56
202,9606.ENSP00000355206,9606.ENSP00000315774,6,69
203,9606.ENSP00000355206,9606.ENSP00000299166,6,107
204,9606.ENSP00000355206,9606.ENSP00000296684,6,66
205,9606.ENSP00000355206,9606.ENSP00000281031,6,91
206,9606.ENSP00000355206,9606.ENSP00000276689,6,161
207,9606.ENSP00000355206,9606.ENSP00000276062,6,167
208,9606.ENSP00000355206,9606.ENSP00000274137,6,123
209,9606.ENSP00000355206,9606.ENSP00000268668,6,1
210,9606.ENSP00000355206,9606.ENSP00000266544,6,36
211,9606.ENSP00000355206,9606.ENSP00000263774,6,79
212,9606.ENSP00000355206,9606.ENSP00000260361,6,154
213,9606.ENSP00000355206,9606.ENSP00000252711,6,17
214,9606.ENSP00000355206,9606.ENSP00000252102,6,102
215,9606.ENSP00000355206,9606.ENSP00000233627,6,89
216,9606.ENSP00000355206,9606.ENSP00000215565,6,4
217,9606.ENSP00000392709,9606.ENSP00000497587,156,26
218,9606.ENSP00000392709,9606.ENSP00000356972,156,117
219,9606.ENSP00000392709,9606.ENSP00000327268,156,56
220,9606.ENSP00000392709,9606.ENSP00000315774,156,69
221,9606.ENSP00000392709,9606.ENSP00000296684,156,66
222,9606.ENSP00000392709,9606.ENSP00000274137,156,123
223,9606.ENSP00000392709,9606.ENSP00000263774,156,79
224,9606.ENSP00000392709,9606.ENSP00000233627,156,89
225,9606.ENSP00000356972,9606.ENSP00000497587,117,26
226,9606.ENSP00000356972,9606.ENSP00000418803,117,29
227,9606.ENSP00000356972,9606.ENSP00000327268,117,56
228,9606.ENSP00000356972,9606.ENSP00000315774,117,69
229,9606.ENSP00000356972,9606.ENSP00000296684,117,66
230,9606.ENSP00000356972,9606.ENSP00000274137,117,123
231,9606.ENSP00000356972,9606.ENSP00000263774,117,79
232,9606.ENSP00000356972,9606.ENSP00000233627,117,89
233,9606.ENSP00000360492,9606.ENSP00000362873,144,45
234,9606.ENSP00000360492,9606.ENSP00000482543,144,119
235,9606.ENSP00000360492,9606.ENSP00000392709,144,156
236,9606.ENSP00000360492,9606.ENSP00000423673,144,80
237,9606.ENSP00000360492,9606.ENSP00000407336,144,61
238,9606.ENSP00000360492,9606.ENSP00000497587,144,26
239,9606.ENSP00000360492,9606.ENSP00000389160,144,101
240,9606.ENSP00000360492,9606.ENSP00000356972,144,117
241,9606.ENSP00000360492,9606.ENSP00000330737,144,158
242,9606.ENSP00000360492,9606.ENSP00000327268,144,56
243,9606.ENSP00000360492,9606.ENSP00000315774,144,69
244,9606.ENSP00000360492,9606.ENSP00000299166,144,107
245,9606.ENSP00000360492,9606.ENSP00000296684,144,66
246,9606.ENSP00000360492,9606.ENSP00000281031,144,91
247,9606.ENSP00000360492,9606.ENSP00000276689,144,161
248,9606.ENSP00000360492,9606.ENSP00000276062,144,167
249,9606.ENSP00000360492,9606.ENSP00000274137,144,123
250,9606.ENSP00000360492,9606.ENSP00000268668,144,1
251,9606.ENSP00000360492,9606.ENSP00000266544,144,36
252,9606.ENSP00000360492,9606.ENSP00000263774,144,79
253,9606.ENSP00000360492,9606.ENSP00000252711,144,17
254,9606.ENSP00000360492,9606.ENSP00000252102,144,102
255,9606.ENSP00000360492,9606.ENSP00000233627,144,89
256,9606.ENSP00000360492,9606.ENSP00000215565,144,4
257,9606.ENSP00000482543,9606.ENSP00000497587,119,26
258,9606.ENSP00000482543,9606.ENSP00000407336,119,61
259,9606.ENSP00000482543,9606.ENSP00000392709,119,156
260,9606.ENSP00000482543,9606.ENSP00000362873,119,45
261,9606.ENSP00000482543,9606.ENSP00000356972,119,117
262,9606.ENSP00000482543,9606.ENSP00000327268,119,56
