,node1_string_id,node2_string_id,node1_id,node2_id
0,9606.ENSP00000483185,9606.ENSP00000327694,0,27
1,9606.ENSP00000483185,9606.ENSP00000272317,0,19
2,9606.ENSP00000483185,9606.ENSP00000403362,0,3
3,9606.ENSP00000483185,9606.ENSP00000441543,0,21
4,9606.ENSP00000483185,9606.ENSP00000478771,0,37
5,9606.ENSP00000357876,9606.ENSP00000272317,1,19
6,9606.ENSP00000357876,9606.ENSP00000365576,1,36
7,9606.ENSP00000357876,9606.ENSP00000441543,1,21
8,9606.ENSP00000357876,9606.ENSP00000478771,1,37
9,9606.ENSP00000284981,9606.ENSP00000364210,2,17
10,9606.ENSP00000284981,9606.ENSP00000477213,2,8
11,9606.ENSP00000284981,9606.ENSP00000252486,2,30
12,9606.ENSP00000284981,9606.ENSP00000168216,2,35
13,9606.ENSP00000284981,9606.ENSP00000241014,2,23
14,9606.ENSP00000284981,9606.ENSP00000257626,2,38
15,9606.ENSP00000284981,9606.ENSP00000260197,2,31
16,9606.ENSP00000284981,9606.ENSP00000284440,2,24
17,9606.ENSP00000284981,9606.ENSP00000366513,2,10
18,9606.ENSP00000284981,9606.ENSP00000316779,2,4
19,9606.ENSP00000284981,9606.ENSP00000324806,2,15
20,9606.ENSP00000284981,9606.ENSP00000365576,2,36
21,9606.ENSP00000284981,9606.ENSP00000500990,2,12
22,9606.ENSP00000284981,9606.ENSP00000340820,2,11
23,9606.ENSP00000284981,9606.ENSP00000366047,2,32
24,9606.ENSP00000284981,9606.ENSP00000399376,2,18
25,9606.ENSP00000284981,9606.ENSP00000326366,2,20
26,9606.ENSP00000284981,9606.ENSP00000318585,2,29
27,9606.ENSP00000284981,9606.ENSP00000296861,2,14
28,9606.ENSP00000403362,9606.ENSP00000327694,3,27
29,9606.ENSP00000403362,9606.ENSP00000272317,3,19
30,9606.ENSP00000403362,9606.ENSP00000340820,3,11
31,9606.ENSP00000403362,9606.ENSP00000478771,3,37
32,9606.ENSP00000403362,9606.ENSP00000441543,3,21
33,9606.ENSP00000316779,9606.ENSP00000252486,4,30
34,9606.ENSP00000316779,9606.ENSP00000340820,4,11
35,9606.ENSP00000410339,9606.ENSP00000168216,5,35
36,9606.ENSP00000303634,9606.ENSP00000252486,6,30
37,9606.ENSP00000303634,9606.ENSP00000241014,6,23
38,9606.ENSP00000409555,9606.ENSP00000272317,7,19
39,9606.ENSP00000409555,9606.ENSP00000326366,7,20
40,9606.ENSP00000477213,9606.ENSP00000221891,8,9
41,9606.ENSP00000477213,9606.ENSP00000263233,8,26
42,9606.ENSP00000477213,9606.ENSP00000497691,8,34
43,9606.ENSP00000340820,9606.ENSP00000252486,11,30
44,9606.ENSP00000340820,9606.ENSP00000381531,11,33
45,9606.ENSP00000340820,9606.ENSP00000324806,11,15
46,9606.ENSP00000340820,9606.ENSP00000272317,11,19
47,9606.ENSP00000340820,9606.ENSP00000374455,11,39
48,9606.ENSP00000340820,9606.ENSP00000500990,11,12
49,9606.ENSP00000500990,9606.ENSP00000252486,12,30
50,9606.ENSP00000500990,9606.ENSP00000381531,12,33
51,9606.ENSP00000500990,9606.ENSP00000272317,12,19
52,9606.ENSP00000500990,9606.ENSP00000374455,12,39
53,9606.ENSP00000500990,9606.ENSP00000441543,12,21
54,9606.ENSP00000500990,9606.ENSP00000478771,12,37
55,9606.ENSP00000360266,9606.ENSP00000324806,13,15
56,9606.ENSP00000360266,9606.ENSP00000272317,13,19
57,9606.ENSP00000324806,9606.ENSP00000272317,15,19
58,9606.ENSP00000324806,9606.ENSP00000478771,15,37
59,9606.ENSP00000324806,9606.ENSP00000441543,15,21
60,9606.ENSP00000324806,9606.ENSP00000326366,15,20
61,9606.ENSP00000362205,9606.ENSP00000252486,16,30
62,9606.ENSP00000362205,9606.ENSP00000262629,16,28
63,9606.ENSP00000272317,9606.ENSP00000327694,19,27
64,9606.ENSP00000272317,9606.ENSP00000374455,19,39
65,9606.ENSP00000272317,9606.ENSP00000365576,19,36
66,9606.ENSP00000272317,9606.ENSP00000284440,19,24
67,9606.ENSP00000272317,9606.ENSP00000478771,19,37
68,9606.ENSP00000272317,9606.ENSP00000441543,19,21
69,9606.ENSP00000326366,9606.ENSP00000295225,20,22
70,9606.ENSP00000326366,9606.ENSP00000441543,20,21
71,9606.ENSP00000326366,9606.ENSP00000365576,20,36
72,9606.ENSP00000326366,9606.ENSP00000355747,20,25
73,9606.ENSP00000441543,9606.ENSP00000327694,21,27
74,9606.ENSP00000441543,9606.ENSP00000374455,21,39
75,9606.ENSP00000441543,9606.ENSP00000478771,21,37
76,9606.ENSP00000441543,9606.ENSP00000284440,21,24
77,9606.ENSP00000441543,9606.ENSP00000365576,21,36
78,9606.ENSP00000295225,9606.ENSP00000355747,22,25
79,9606.ENSP00000284440,9606.ENSP00000478771,24,37
80,9606.ENSP00000355747,9606.ENSP00000365576,25,36
81,9606.ENSP00000327694,9606.ENSP00000478771,27,37
82,9606.ENSP00000318585,9606.ENSP00000381531,29,33
83,9606.ENSP00000252486,9606.ENSP00000260197,30,31
84,9606.ENSP00000365576,9606.ENSP00000478771,36,37
85,9606.ENSP00000478771,9606.ENSP00000374455,37,39
0,9606.ENSP00000222547,9606.ENSP00000258301,43,46
1,9606.ENSP00000222547,9606.ENSP00000305255,43,76
2,9606.ENSP00000222547,9606.ENSP00000338562,43,62
3,9606.ENSP00000222547,9606.ENSP00000231668,43,60
4,9606.ENSP00000222547,9606.ENSP00000363054,43,66
5,9606.ENSP00000222547,9606.ENSP00000263897,43,73
6,9606.ENSP00000222547,9606.ENSP00000356918,43,44
7,9606.ENSP00000222547,9606.ENSP00000305810,43,74
8,9606.ENSP00000222547,9606.ENSP00000263864,43,71
9,9606.ENSP00000222547,9606.ENSP00000372210,43,72
10,9606.ENSP00000222547,9606.ENSP00000223369,43,45
11,9606.ENSP00000222547,9606.ENSP00000262640,43,54
12,9606.ENSP00000222547,9606.ENSP00000376792,43,68
13,9606.ENSP00000222547,9606.ENSP00000225724,43,50
14,9606.ENSP00000222547,9606.ENSP00000463393,43,48
15,9606.ENSP00000222547,9606.ENSP00000461784,43,41
16,9606.ENSP00000222547,9606.ENSP00000294179,43,61
17,9606.ENSP00000372210,9606.ENSP00000223369,72,45
18,9606.ENSP00000372210,9606.ENSP00000225724,72,50
19,9606.ENSP00000372210,9606.ENSP00000294179,72,61
20,9606.ENSP00000372210,9606.ENSP00000305810,72,74
21,9606.ENSP00000372210,9606.ENSP00000463393,72,48
22,9606.ENSP00000372210,9606.ENSP00000461784,72,41
23,9606.ENSP00000231668,9606.ENSP00000054666,60,63
24,9606.ENSP00000231668,9606.ENSP00000215730,60,51
25,9606.ENSP00000231668,9606.ENSP00000222812,60,64
26,9606.ENSP00000231668,9606.ENSP00000225724,60,50
27,9606.ENSP00000231668,9606.ENSP00000249647,60,40
28,9606.ENSP00000231668,9606.ENSP00000254976,60,56
29,9606.ENSP00000231668,9606.ENSP00000259400,60,55
30,9606.ENSP00000231668,9606.ENSP00000317714,60,59
31,9606.ENSP00000231668,9606.ENSP00000263864,60,71
32,9606.ENSP00000231668,9606.ENSP00000418572,60,58
33,9606.ENSP00000231668,9606.ENSP00000294179,60,61
34,9606.ENSP00000231668,9606.ENSP00000262640,60,54
35,9606.ENSP00000231668,9606.ENSP00000461784,60,41
36,9606.ENSP00000231668,9606.ENSP00000338562,60,62
37,9606.ENSP00000231668,9606.ENSP00000363054,60,66
38,9606.ENSP00000231668,9606.ENSP00000360183,60,42
39,9606.ENSP00000231668,9606.ENSP00000258301,60,46
40,9606.ENSP00000231668,9606.ENSP00000463393,60,48
41,9606.ENSP00000231668,9606.ENSP00000263897,60,73
42,9606.ENSP00000231668,9606.ENSP00000305810,60,74
43,9606.ENSP00000225724,9606.ENSP00000223369,50,45
44,9606.ENSP00000225724,9606.ENSP00000305255,50,76
45,9606.ENSP00000225724,9606.ENSP00000305810,50,74
46,9606.ENSP00000225724,9606.ENSP00000363054,50,66
47,9606.ENSP00000225724,9606.ENSP00000338562,50,62
48,9606.ENSP00000225724,9606.ENSP00000258301,50,46
49,9606.ENSP00000225724,9606.ENSP00000263897,50,73
50,9606.ENSP00000225724,9606.ENSP00000356918,50,44
51,9606.ENSP00000225724,9606.ENSP00000463393,50,48
52,9606.ENSP00000225724,9606.ENSP00000461784,50,41
53,9606.ENSP00000225724,9606.ENSP00000294179,50,61
54,9606.ENSP00000461784,9606.ENSP00000054666,41,63
55,9606.ENSP00000461784,9606.ENSP00000215730,41,51
56,9606.ENSP00000461784,9606.ENSP00000222812,41,64
57,9606.ENSP00000461784,9606.ENSP00000249647,41,40
58,9606.ENSP00000461784,9606.ENSP00000254976,41,56
59,9606.ENSP00000461784,9606.ENSP00000258301,41,46
60,9606.ENSP00000461784,9606.ENSP00000259400,41,55
61,9606.ENSP00000461784,9606.ENSP00000262640,41,54
62,9606.ENSP00000461784,9606.ENSP00000263864,41,71
63,9606.ENSP00000461784,9606.ENSP00000263897,41,73
64,9606.ENSP00000461784,9606.ENSP00000294179,41,61
65,9606.ENSP00000461784,9606.ENSP00000305255,41,76
66,9606.ENSP00000461784,9606.ENSP00000317714,41,59
67,9606.ENSP00000461784,9606.ENSP00000356918,41,44
68,9606.ENSP00000461784,9606.ENSP00000360183,41,42
69,9606.ENSP00000461784,9606.ENSP00000363054,41,66
70,9606.ENSP00000461784,9606.ENSP00000418572,41,58
71,9606.ENSP00000461784,9606.ENSP00000463393,41,48
72,9606.ENSP00000310521,9606.ENSP00000294179,69,61
73,9606.ENSP00000463393,9606.ENSP00000258301,48,46
74,9606.ENSP00000463393,9606.ENSP00000263897,48,73
75,9606.ENSP00000463393,9606.ENSP00000294179,48,61
76,9606.ENSP00000463393,9606.ENSP00000305255,48,76
77,9606.ENSP00000463393,9606.ENSP00000305810,48,74
78,9606.ENSP00000463393,9606.ENSP00000314157,48,65
79,9606.ENSP00000463393,9606.ENSP00000317714,48,59
80,9606.ENSP00000463393,9606.ENSP00000356918,48,44
81,9606.ENSP00000463393,9606.ENSP00000363054,48,66
82,9606.ENSP00000463393,9606.ENSP00000376792,48,68
83,9606.ENSP00000463393,9606.ENSP00000450731,48,75
84,9606.ENSP00000463393,9606.ENSP00000466298,48,47
85,9606.ENSP00000249647,9606.ENSP00000054666,40,63
86,9606.ENSP00000249647,9606.ENSP00000215095,40,57
87,9606.ENSP00000249647,9606.ENSP00000215730,40,51
88,9606.ENSP00000249647,9606.ENSP00000222812,40,64
89,9606.ENSP00000249647,9606.ENSP00000356918,40,44
90,9606.ENSP00000249647,9606.ENSP00000360183,40,42
91,9606.ENSP00000249647,9606.ENSP00000254976,40,56
92,9606.ENSP00000249647,9606.ENSP00000259400,40,55
93,9606.ENSP00000249647,9606.ENSP00000320679,40,67
94,9606.ENSP00000249647,9606.ENSP00000258301,40,46
95,9606.ENSP00000249647,9606.ENSP00000363054,40,66
96,9606.ENSP00000249647,9606.ENSP00000356540,40,49
97,9606.ENSP00000249647,9606.ENSP00000376178,40,53
98,9606.ENSP00000249647,9606.ENSP00000338562,40,62
99,9606.ENSP00000249647,9606.ENSP00000262640,40,54
100,9606.ENSP00000249647,9606.ENSP00000263864,40,71
101,9606.ENSP00000249647,9606.ENSP00000418572,40,58
102,9606.ENSP00000249647,9606.ENSP00000317714,40,59
103,9606.ENSP00000254976,9606.ENSP00000054666,56,63
104,9606.ENSP00000254976,9606.ENSP00000215095,56,57
105,9606.ENSP00000254976,9606.ENSP00000215730,56,51
106,9606.ENSP00000254976,9606.ENSP00000222812,56,64
107,9606.ENSP00000254976,9606.ENSP00000320679,56,67
108,9606.ENSP00000254976,9606.ENSP00000356540,56,49
109,9606.ENSP00000254976,9606.ENSP00000376178,56,53
110,9606.ENSP00000254976,9606.ENSP00000360183,56,42
111,9606.ENSP00000254976,9606.ENSP00000258301,56,46
112,9606.ENSP00000254976,9606.ENSP00000338562,56,62
113,9606.ENSP00000254976,9606.ENSP00000259400,56,55
114,9606.ENSP00000254976,9606.ENSP00000379602,56,52
115,9606.ENSP00000254976,9606.ENSP00000363054,56,66
116,9606.ENSP00000254976,9606.ENSP00000263864,56,71
117,9606.ENSP00000254976,9606.ENSP00000317714,56,59
118,9606.ENSP00000254976,9606.ENSP00000262640,56,54
119,9606.ENSP00000254976,9606.ENSP00000418572,56,58
120,9606.ENSP00000215730,9606.ENSP00000054666,51,63
121,9606.ENSP00000215730,9606.ENSP00000215095,51,57
122,9606.ENSP00000215730,9606.ENSP00000305810,51,74
123,9606.ENSP00000215730,9606.ENSP00000376178,51,53
124,9606.ENSP00000215730,9606.ENSP00000356540,51,49
125,9606.ENSP00000215730,9606.ENSP00000379602,51,52
126,9606.ENSP00000215730,9606.ENSP00000294179,51,61
127,9606.ENSP00000215730,9606.ENSP00000303437,51,70
128,9606.ENSP00000215730,9606.ENSP00000376792,51,68
129,9606.ENSP00000215730,9606.ENSP00000305255,51,76
130,9606.ENSP00000215730,9606.ENSP00000418572,51,58
131,9606.ENSP00000215730,9606.ENSP00000360183,51,42
132,9606.ENSP00000215730,9606.ENSP00000363054,51,66
133,9606.ENSP00000215730,9606.ENSP00000222812,51,64
134,9606.ENSP00000215730,9606.ENSP00000338562,51,62
135,9606.ENSP00000215730,9606.ENSP00000258301,51,46
136,9606.ENSP00000215730,9606.ENSP00000317714,51,59
137,9606.ENSP00000215730,9606.ENSP00000356918,51,44
138,9606.ENSP00000215730,9606.ENSP00000263864,51,71
139,9606.ENSP00000215730,9606.ENSP00000259400,51,55
140,9606.ENSP00000215730,9606.ENSP00000262640,51,54
141,9606.ENSP00000314157,9606.ENSP00000054666,65,63
142,9606.ENSP00000314157,9606.ENSP00000263864,65,71
143,9606.ENSP00000314157,9606.ENSP00000263897,65,73
144,9606.ENSP00000314157,9606.ENSP00000305810,65,74
145,9606.ENSP00000314157,9606.ENSP00000363054,65,66
146,9606.ENSP00000314157,9606.ENSP00000356918,65,44
147,9606.ENSP00000314157,9606.ENSP00000338562,65,62
148,9606.ENSP00000466298,9606.ENSP00000054666,47,63
149,9606.ENSP00000466298,9606.ENSP00000258301,47,46
150,9606.ENSP00000466298,9606.ENSP00000338562,47,62
151,9606.ENSP00000466298,9606.ENSP00000356918,47,44
152,9606.ENSP00000466298,9606.ENSP00000360183,47,42
153,9606.ENSP00000466298,9606.ENSP00000363054,47,66
154,9606.ENSP00000466298,9606.ENSP00000376792,47,68
155,9606.ENSP00000466298,9606.ENSP00000450731,47,75
156,9606.ENSP00000356540,9606.ENSP00000054666,49,63
157,9606.ENSP00000356540,9606.ENSP00000258301,49,46
158,9606.ENSP00000356540,9606.ENSP00000263864,49,71
159,9606.ENSP00000356540,9606.ENSP00000305255,49,76
160,9606.ENSP00000356540,9606.ENSP00000320679,49,67
161,9606.ENSP00000356540,9606.ENSP00000418572,49,58
162,9606.ENSP00000363054,9606.ENSP00000054666,66,63
163,9606.ENSP00000363054,9606.ENSP00000222812,66,64
164,9606.ENSP00000363054,9606.ENSP00000223369,66,45
165,9606.ENSP00000363054,9606.ENSP00000258301,66,46
166,9606.ENSP00000363054,9606.ENSP00000259400,66,55
167,9606.ENSP00000363054,9606.ENSP00000262640,66,54
168,9606.ENSP00000363054,9606.ENSP00000263864,66,71
169,9606.ENSP00000363054,9606.ENSP00000263897,66,73
170,9606.ENSP00000363054,9606.ENSP00000294179,66,61
171,9606.ENSP00000363054,9606.ENSP00000305255,66,76
172,9606.ENSP00000363054,9606.ENSP00000305810,66,74
173,9606.ENSP00000363054,9606.ENSP00000317714,66,59
174,9606.ENSP00000363054,9606.ENSP00000356918,66,44
175,9606.ENSP00000363054,9606.ENSP00000360183,66,42
176,9606.ENSP00000363054,9606.ENSP00000450731,66,75
177,9606.ENSP00000363054,9606.ENSP00000418572,66,58
178,9606.ENSP00000363054,9606.ENSP00000376792,66,68
179,9606.ENSP00000360183,9606.ENSP00000054666,42,63
