#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AATF	RPS27A	9606.ENSP00000477848	9606.ENSP00000272317	0	0.800	0	0	0.800
ABI1	NCKAP1	9606.ENSP00000365312	9606.ENSP00000354251	0	0.697	0	0	0.697
AGER	HMGB1	9606.ENSP00000364210	9606.ENSP00000345347	0	0.549	0	0	0.549
AP2A1	NUMB	9606.ENSP00000351926	9606.ENSP00000451300	0	0.457	0	0	0.457
AP2A1	PICALM	9606.ENSP00000351926	9606.ENSP00000377015	0	0.457	0	0	0.457
AP2A1	AP2B1	9606.ENSP00000351926	9606.ENSP00000483185	0	0.755	0	0	0.755
AP2A1	AP2M1	9606.ENSP00000351926	9606.ENSP00000403362	0	0.844	0	0	0.844
AP2A2	AP2M1	9606.ENSP00000327694	9606.ENSP00000403362	0	0.973	0	0	0.973
AP2A2	AP2B1	9606.ENSP00000327694	9606.ENSP00000483185	0	0.966	0	0	0.966
AP2B1	PICALM	9606.ENSP00000483185	9606.ENSP00000377015	0	0.529	0	0	0.529
AP2B1	AP2M1	9606.ENSP00000483185	9606.ENSP00000403362	0	0.975	0	0	0.975
AP2B1	NUMB	9606.ENSP00000483185	9606.ENSP00000451300	0	0.457	0	0	0.457
AP2M1	LRRK2	9606.ENSP00000403362	9606.ENSP00000298910	0	0.457	0	0	0.457
AP2M1	MAPT	9606.ENSP00000403362	9606.ENSP00000340820	0	0.457	0	0	0.457
AP2M1	PICALM	9606.ENSP00000403362	9606.ENSP00000377015	0	0.628	0	0	0.628
AP2M1	NUMB	9606.ENSP00000403362	9606.ENSP00000451300	0	0.457	0	0	0.457
APBB1	APLP1	9606.ENSP00000477213	9606.ENSP00000221891	0	0.667	0	0	0.667
APBB1	SYP	9606.ENSP00000477213	9606.ENSP00000263233	0	0.457	0	0	0.457
APBB1	APP	9606.ENSP00000477213	9606.ENSP00000284981	0	0.950	0	0	0.950
APBB1	APLP2	9606.ENSP00000477213	9606.ENSP00000497691	0	0.528	0	0	0.528
APOE	MAPT	9606.ENSP00000252486	9606.ENSP00000340820	0	0.570	0	0	0.570
APOE	SNCA	9606.ENSP00000252486	9606.ENSP00000500990	0	0.691	0	0	0.691
APOE	TREM2	9606.ENSP00000252486	9606.ENSP00000362205	0	0.514	0	0	0.514
APOE	LRP8	9606.ENSP00000252486	9606.ENSP00000303634	0	0.457	0	0	0.457
APOE	SORL1	9606.ENSP00000252486	9606.ENSP00000260197	0	0.549	0	0	0.549
APOE	APP	9606.ENSP00000252486	9606.ENSP00000284981	0	0.621	0	0	0.621
APP	HSD17B10	9606.ENSP00000284981	9606.ENSP00000168216	0	0.549	0	0	0.549
APP	GSK3A	9606.ENSP00000284981	9606.ENSP00000222330	0	0.549	0	0	0.549
APP	MAPK8IP1	9606.ENSP00000284981	9606.ENSP00000241014	0	0.483	0	0	0.483
APP	GSAP	9606.ENSP00000284981	9606.ENSP00000257626	0	0.457	0	0	0.457
APP	SORL1	9606.ENSP00000284981	9606.ENSP00000260197	0	0.618	0	0	0.618
APP	UCHL1	9606.ENSP00000284981	9606.ENSP00000284440	0	0.479	0	0	0.479
APP	CLSTN1	9606.ENSP00000284981	9606.ENSP00000366513	0	0.457	0	0	0.457
APP	COL25A1	9606.ENSP00000284981	9606.ENSP00000382083	0	0.457	0	0	0.457
APP	GSK3B	9606.ENSP00000284981	9606.ENSP00000324806	0	0.549	0	0	0.549
APP	UBQLN1	9606.ENSP00000284981	9606.ENSP00000365576	0	0.483	0	0	0.483
APP	NUMB	9606.ENSP00000284981	9606.ENSP00000451300	0	0.421	0	0	0.420
APP	SNCA	9606.ENSP00000284981	9606.ENSP00000500990	0	0.542	0	0	0.542
APP	MAPT	9606.ENSP00000284981	9606.ENSP00000340820	0	0.570	0	0	0.570
APP	KLK6	9606.ENSP00000284981	9606.ENSP00000366047	0	0.929	0	0	0.929
APP	PRNP	9606.ENSP00000284981	9606.ENSP00000399376	0	0.549	0	0	0.549
APP	PSEN1	9606.ENSP00000284981	9606.ENSP00000326366	0	0.946	0	0	0.946
APP	BACE1	9606.ENSP00000284981	9606.ENSP00000318585	0	0.483	0	0	0.483
APP	TNFRSF21	9606.ENSP00000284981	9606.ENSP00000296861	0	0.512	0	0	0.512
BACE1	CSNK1D	9606.ENSP00000318585	9606.ENSP00000381531	0	0.400	0	0	0.400
BCL2L11	FOXO3	9606.ENSP00000376943	9606.ENSP00000339527	0	0.570	0	0	0.570
BCL2L11	FASLG	9606.ENSP00000376943	9606.ENSP00000356694	0	0.422	0	0	0.422
BIN1	MAPT	9606.ENSP00000316779	9606.ENSP00000340820	0	0.576	0	0	0.576
BPTF	MAZ	9606.ENSP00000307208	9606.ENSP00000219782	0	0.457	0	0	0.457
CAPN1	CAPNS2	9606.ENSP00000431984	9606.ENSP00000400882	0	0.575	0	0	0.575
CAPN1	CAST	9606.ENSP00000431984	9606.ENSP00000422176	0	0.766	0	0	0.766
CAPN1	CAPNS1	9606.ENSP00000431984	9606.ENSP00000464849	0	0.653	0	0	0.653
CAPN2	CAST	9606.ENSP00000295006	9606.ENSP00000422176	0	0.681	0	0	0.681
CAPN2	CAPNS1	9606.ENSP00000295006	9606.ENSP00000464849	0	0.961	0	0	0.961
CAPNS1	CAPNS2	9606.ENSP00000464849	9606.ENSP00000400882	0	0.655	0	0	0.655
CAPNS1	CAST	9606.ENSP00000464849	9606.ENSP00000422176	0	0.441	0	0	0.441
CAPNS2	CAST	9606.ENSP00000400882	9606.ENSP00000422176	0	0.664	0	0	0.664
CDC25A	YWHAE	9606.ENSP00000303706	9606.ENSP00000264335	0	0.457	0	0	0.457
CDC25B	CDK5	9606.ENSP00000245960	9606.ENSP00000419782	0	0.457	0	0	0.457
CDC25B	YWHAE	9606.ENSP00000245960	9606.ENSP00000264335	0	0.457	0	0	0.457
CDC25C	YWHAE	9606.ENSP00000321656	9606.ENSP00000264335	0	0.457	0	0	0.457
CDC25C	MARK3	9606.ENSP00000321656	9606.ENSP00000411397	0	0.457	0	0	0.457
CDK5	LRRK2	9606.ENSP00000419782	9606.ENSP00000298910	0	0.457	0	0	0.457
CDK5	CDK5R1	9606.ENSP00000419782	9606.ENSP00000318486	0	0.973	0	0	0.973
CDK5	MAPT	9606.ENSP00000419782	9606.ENSP00000340820	0	0.457	0	0	0.457
CLN3	IMMT	9606.ENSP00000454229	9606.ENSP00000387262	0	0.421	0	0	0.420
CNR1	CNR2	9606.ENSP00000358513	9606.ENSP00000363596	0	0.483	0	0	0.483
CSNK1D	MAPT	9606.ENSP00000381531	9606.ENSP00000340820	0	0.457	0	0	0.457
CSNK1D	SNCA	9606.ENSP00000381531	9606.ENSP00000500990	0	0.548	0	0	0.548
CTSD	NAPSA	9606.ENSP00000236671	9606.ENSP00000253719	0	0.437	0	0	0.437
DNM1L	LRRK2	9606.ENSP00000449089	9606.ENSP00000298910	0	0.457	0	0	0.457
FASLG	FOXO3	9606.ENSP00000356694	9606.ENSP00000339527	0	0.422	0	0	0.422
FOXO3	YWHAE	9606.ENSP00000339527	9606.ENSP00000264335	0	0.457	0	0	0.457
GAPDH	YWHAE	9606.ENSP00000380070	9606.ENSP00000264335	0	0.418	0	0	0.418
GDNF	SORL1	9606.ENSP00000409007	9606.ENSP00000260197	0	0.405	0	0	0.404
GOLGA2	LRRK2	9606.ENSP00000416097	9606.ENSP00000298910	0	0.457	0	0	0.457
GSK3A	PPP3CA	9606.ENSP00000222330	9606.ENSP00000378323	0	0.420	0	0	0.420
GSK3A	MAPT	9606.ENSP00000222330	9606.ENSP00000340820	0	0.457	0	0	0.457
GSK3A	GSK3B	9606.ENSP00000222330	9606.ENSP00000324806	0	0.653	0	0	0.653
GSK3B	LRRK2	9606.ENSP00000324806	9606.ENSP00000298910	0	0.457	0	0	0.457
GSK3B	JUN	9606.ENSP00000324806	9606.ENSP00000360266	0	0.550	0	0	0.550
GSK3B	PSEN1	9606.ENSP00000324806	9606.ENSP00000326366	0	0.457	0	0	0.457
GSK3B	MAPT	9606.ENSP00000324806	9606.ENSP00000340820	0	0.457	0	0	0.457
HERPUD1	RPS27A	9606.ENSP00000409555	9606.ENSP00000272317	0	0.422	0	0	0.422
HERPUD1	PSEN1	9606.ENSP00000409555	9606.ENSP00000326366	0	0.457	0	0	0.457
HMGB1	MT2A	9606.ENSP00000345347	9606.ENSP00000245185	0	0.421	0	0	0.420
HRAS	MARK2	9606.ENSP00000407586	9606.ENSP00000385751	0	0.412	0	0	0.412
