#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIMP2	SIAH1	9606.ENSP00000223029	9606.ENSP00000349156	0	0.457	0	0	0.457
AIMP2	PRKN	9606.ENSP00000223029	9606.ENSP00000355865	0	0.457	0	0	0.457
APP	UCHL1	9606.ENSP00000284981	9606.ENSP00000284440	0	0.479	0	0	0.479
APP	PRKN	9606.ENSP00000284981	9606.ENSP00000355865	0	0.457	0	0	0.457
APP	SNCA	9606.ENSP00000284981	9606.ENSP00000500990	0	0.542	0	0	0.542
APP	MAPT	9606.ENSP00000284981	9606.ENSP00000340820	0	0.570	0	0	0.570
APP	KLK6	9606.ENSP00000284981	9606.ENSP00000366047	0	0.929	0	0	0.929
ATP5PF	NDUFA13	9606.ENSP00000389649	9606.ENSP00000423673	0	0.629	0	0	0.629
CAV1	LRP6	9606.ENSP00000339191	9606.ENSP00000261349	0	0.457	0	0	0.457
CAV1	SQSTM1	9606.ENSP00000339191	9606.ENSP00000374455	0	0.457	0	0	0.457
CAV1	VCP	9606.ENSP00000339191	9606.ENSP00000351777	0	0.457	0	0	0.457
CDK5	LRRK2	9606.ENSP00000419782	9606.ENSP00000298910	0	0.457	0	0	0.457
CDK5	MAPT	9606.ENSP00000419782	9606.ENSP00000340820	0	0.457	0	0	0.457
CHCHD2	NDUFA8	9606.ENSP00000378812	9606.ENSP00000362873	0	0.462	0	0	0.461
CHM	RAB3A	9606.ENSP00000350386	9606.ENSP00000222256	0	0.457	0	0	0.457
CHM	RAB10	9606.ENSP00000350386	9606.ENSP00000264710	0	0.435	0	0	0.435
CHM	RAB12	9606.ENSP00000350386	9606.ENSP00000331748	0	0.460	0	0	0.460
CHM	RABGGTA	9606.ENSP00000350386	9606.ENSP00000382341	0	0.765	0	0	0.765
CHML	RAB3A	9606.ENSP00000355511	9606.ENSP00000222256	0	0.457	0	0	0.457
CHML	RABGGTA	9606.ENSP00000355511	9606.ENSP00000382341	0	0.765	0	0	0.765
CLTC	LRRK2	9606.ENSP00000479606	9606.ENSP00000298910	0	0.457	0	0	0.457
CLTC	DNAJC6	9606.ENSP00000479606	9606.ENSP00000360108	0	0.862	0	0	0.862
FBXO7	PINK1	9606.ENSP00000266087	9606.ENSP00000364204	0	0.457	0	0	0.457
GBA	SNCA	9606.ENSP00000314508	9606.ENSP00000500990	0	0.457	0	0	0.457
GDI1	RAB10	9606.ENSP00000394071	9606.ENSP00000264710	0	0.574	0	0	0.574
GDI1	RAB8A	9606.ENSP00000394071	9606.ENSP00000300935	0	0.624	0	0	0.624
GDI1	RAB12	9606.ENSP00000394071	9606.ENSP00000331748	0	0.508	0	0	0.508
GDI1	GDI2	9606.ENSP00000394071	9606.ENSP00000369538	0	0.671	0	0	0.671
GDI2	RAB10	9606.ENSP00000369538	9606.ENSP00000264710	0	0.574	0	0	0.574
GDI2	RAB8A	9606.ENSP00000369538	9606.ENSP00000300935	0	0.574	0	0	0.574
GDI2	RAB12	9606.ENSP00000369538	9606.ENSP00000331748	0	0.480	0	0	0.480
GPR37	PRKN	9606.ENSP00000306449	9606.ENSP00000355865	0	0.457	0	0	0.457
INPP5B	RAB8A	9606.ENSP00000362115	9606.ENSP00000300935	0	0.457	0	0	0.457
LRP6	LRRK2	9606.ENSP00000261349	9606.ENSP00000298910	0	0.457	0	0	0.457
LRRK1	LRRK2	9606.ENSP00000373600	9606.ENSP00000298910	0	0.457	0	0	0.457
LRRK2	RAB10	9606.ENSP00000298910	9606.ENSP00000264710	0	0.457	0	0	0.457
LRRK2	SQSTM1	9606.ENSP00000298910	9606.ENSP00000374455	0	0.457	0	0	0.457
LRRK2	SYNJ1	9606.ENSP00000298910	9606.ENSP00000409667	0	0.457	0	0	0.457
LRRK2	MAPT	9606.ENSP00000298910	9606.ENSP00000340820	0	0.457	0	0	0.457
LRRK2	RAB8A	9606.ENSP00000298910	9606.ENSP00000300935	0	0.457	0	0	0.457
LRRK2	SNCA	9606.ENSP00000298910	9606.ENSP00000500990	0	0.457	0	0	0.457
LRRK2	MFN1	9606.ENSP00000298910	9606.ENSP00000420617	0	0.457	0	0	0.457
LRRK2	RAB29	9606.ENSP00000298910	9606.ENSP00000356107	0	0.483	0	0	0.483
MAPT	PRKN	9606.ENSP00000340820	9606.ENSP00000355865	0	0.457	0	0	0.457
