Entry,Entry Name,Protein names,Gene Names,name,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function),Gene Ontology IDs
O14879,IFIT3_HUMAN,Interferon-induced protein with tetratricopeptide repeats 3 (IFIT-3) (CIG49) (ISG-60) (Interferon-induced 60 kDa protein) (IFI-60K) (Interferon-induced protein with tetratricopeptide repeats 4) (IFIT-4) (Retinoic acid-induced gene G protein) (P60) (RIG-G),IFIT3 CIG-49 IFI60 IFIT4 ISG60,9606.ENSP00000360876,antiviral innate immune response [GO:0140374]; defense response to virus [GO:0051607]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; response to virus [GO:0009615],cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739],cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; identical protein binding [GO:0042802]; antiviral innate immune response [GO:0140374]; defense response to virus [GO:0051607]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; response to virus [GO:0009615],identical protein binding [GO:0042802],GO:0005737; GO:0005739; GO:0005829; GO:0008285; GO:0009615; GO:0042802; GO:0043066; GO:0051607; GO:0140374
O15479,MAGB2_HUMAN,Melanoma-associated antigen B2 (Cancer/testis antigen 3.2) (CT3.2) (DSS-AHC critical interval MAGE superfamily 6) (DAM6) (MAGE XP-2 antigen) (MAGE-B2 antigen),MAGEB2,9606.ENSP00000368273,negative regulation of transcription by RNA polymerase II [GO:0000122],nucleus [GO:0005634],nucleus [GO:0005634]; negative regulation of transcription by RNA polymerase II [GO:0000122],,GO:0000122; GO:0005634
O15524,SOCS1_HUMAN,Suppressor of cytokine signaling 1 (SOCS-1) (JAK-binding protein) (JAB) (STAT-induced STAT inhibitor 1) (SSI-1) (Tec-interacting protein 3) (TIP-3),SOCS1 SSI1 TIP3,9606.ENSP00000496577,"cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; cellular response to amino acid stimulus [GO:0071230]; cytokine-mediated signaling pathway [GO:0019221]; fat cell differentiation [GO:0045444]; intracellular signal transduction [GO:0035556]; macrophage differentiation [GO:0030225]; negative regulation of CD8-positive, alpha-beta T cell differentiation [GO:0043377]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of receptor signaling pathway via JAK-STAT [GO:0046426]; positive regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043372]; positive regulation of regulatory T cell differentiation [GO:0045591]; protein ubiquitination [GO:0016567]; regulation of cytokine production [GO:0001817]",cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; nucleoplasm [GO:0005654],"cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; cytokine receptor binding [GO:0005126]; insulin-like growth factor receptor binding [GO:0005159]; kinase inhibitor activity [GO:0019210]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860]; cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; cellular response to amino acid stimulus [GO:0071230]; cytokine-mediated signaling pathway [GO:0019221]; fat cell differentiation [GO:0045444]; intracellular signal transduction [GO:0035556]; macrophage differentiation [GO:0030225]; negative regulation of CD8-positive, alpha-beta T cell differentiation [GO:0043377]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of receptor signaling pathway via JAK-STAT [GO:0046426]; positive regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043372]; positive regulation of regulatory T cell differentiation [GO:0045591]; protein ubiquitination [GO:0016567]; regulation of cytokine production [GO:0001817]",cytokine receptor binding [GO:0005126]; insulin-like growth factor receptor binding [GO:0005159]; kinase inhibitor activity [GO:0019210]; protein kinase binding [GO:0019901]; protein kinase inhibitor activity [GO:0004860],GO:0001817; GO:0004860; GO:0005126; GO:0005159; GO:0005654; GO:0005737; GO:0005829; GO:0007259; GO:0016567; GO:0019210; GO:0019221; GO:0019901; GO:0030225; GO:0031410; GO:0035556; GO:0043372; GO:0043377; GO:0045444; GO:0045591; GO:0046426; GO:0046627; GO:0071230
O60602,TLR5_HUMAN,Toll-like receptor 5 (Toll/interleukin-1 receptor-like protein 3),TLR5 TIL3,9606.ENSP00000496355,cellular response to lipopolysaccharide [GO:0071222]; cellular response to mechanical stimulus [GO:0071260]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; male gonad development [GO:0008584]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; toll-like receptor 5 signaling pathway [GO:0034146]; toll-like receptor signaling pathway [GO:0002224],plasma membrane [GO:0005886],plasma membrane [GO:0005886]; interleukin-1 receptor binding [GO:0005149]; pattern recognition receptor activity [GO:0038187]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to mechanical stimulus [GO:0071260]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; male gonad development [GO:0008584]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; toll-like receptor 5 signaling pathway [GO:0034146]; toll-like receptor signaling pathway [GO:0002224],interleukin-1 receptor binding [GO:0005149]; pattern recognition receptor activity [GO:0038187]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888],GO:0002224; GO:0004888; GO:0005149; GO:0005886; GO:0006954; GO:0008584; GO:0032757; GO:0034146; GO:0038023; GO:0038187; GO:0045087; GO:0045429; GO:0071222; GO:0071260
O75015,FCG3B_HUMAN,Low affinity immunoglobulin gamma Fc region receptor III-B (Fc-gamma RIII-beta) (CD16-I) (Fc-gamma RIII) (Fc-gamma RIIIb) (FcRIII) (FcRIIIb) (FcR-10) (IgG Fc receptor III-1) (CD antigen CD16b),FCGR3B CD16B FCG3 FCGR3 IGFR3,9606.ENSP00000433642,antibody-dependent cellular cytotoxicity [GO:0001788]; cell surface receptor signaling pathway [GO:0007166]; immune response [GO:0006955],external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667],external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; GPI anchor binding [GO:0034235]; IgG binding [GO:0019864]; IgG receptor activity [GO:0019770]; antibody-dependent cellular cytotoxicity [GO:0001788]; cell surface receptor signaling pathway [GO:0007166]; immune response [GO:0006955],GPI anchor binding [GO:0034235]; IgG binding [GO:0019864]; IgG receptor activity [GO:0019770],GO:0001788; GO:0005576; GO:0005886; GO:0006955; GO:0007166; GO:0009897; GO:0019770; GO:0019864; GO:0030667; GO:0034235; GO:0070062
O95267,GRP1_HUMAN,RAS guanyl-releasing protein 1 (Calcium and DAG-regulated guanine nucleotide exchange factor II) (CalDAG-GEFII) (Ras guanyl-releasing protein),RASGRP1 RASGRP,9606.ENSP00000310244,activation of GTPase activity [GO:0090630]; B cell activation [GO:0042113]; B cell proliferation [GO:0042100]; cell differentiation [GO:0030154]; inflammatory response to antigenic stimulus [GO:0002437]; mast cell degranulation [GO:0043303]; natural killer cell activation [GO:0030101]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of natural killer cell differentiation [GO:0032825]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of Ras protein signal transduction [GO:0046579]; positive regulation of T cell differentiation in thymus [GO:0033089]; Ras protein signal transduction [GO:0007265]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051896]; secretory granule localization [GO:0032252]; signal transduction [GO:0007165]; T cell activation [GO:0042110]; T cell proliferation [GO:0042098]; vesicle transport along microtubule [GO:0047496],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; plasma membrane [GO:0005886],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; diacylglycerol binding [GO:0019992]; guanyl-nucleotide exchange factor activity [GO:0005085]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; phosphatidylcholine binding [GO:0031210]; zinc ion binding [GO:0008270]; activation of GTPase activity [GO:0090630]; B cell activation [GO:0042113]; B cell proliferation [GO:0042100]; cell differentiation [GO:0030154]; inflammatory response to antigenic stimulus [GO:0002437]; mast cell degranulation [GO:0043303]; natural killer cell activation [GO:0030101]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of natural killer cell differentiation [GO:0032825]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of Ras protein signal transduction [GO:0046579]; positive regulation of T cell differentiation in thymus [GO:0033089]; Ras protein signal transduction [GO:0007265]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051896]; secretory granule localization [GO:0032252]; signal transduction [GO:0007165]; T cell activation [GO:0042110]; T cell proliferation [GO:0042098]; vesicle transport along microtubule [GO:0047496],calcium ion binding [GO:0005509]; diacylglycerol binding [GO:0019992]; guanyl-nucleotide exchange factor activity [GO:0005085]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; phosphatidylcholine binding [GO:0031210]; zinc ion binding [GO:0008270],GO:0000139; GO:0001934; GO:0002437; GO:0005085; GO:0005509; GO:0005789; GO:0005794; GO:0005829; GO:0005886; GO:0007165; GO:0007265; GO:0008270; GO:0008289; GO:0016020; GO:0019992; GO:0030101; GO:0030154; GO:0031210; GO:0032252; GO:0032825; GO:0033089; GO:0042098; GO:0042100; GO:0042110; GO:0042113; GO:0042802; GO:0043303; GO:0043406; GO:0045954; GO:0046579; GO:0047496; GO:0051896; GO:0070372; GO:0090630
P00736,C1R_HUMAN,Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain (Complement C1r subcomponent chain A); Complement C1r subcomponent light chain (Complement C1r subcomponent chain B)],C1R,9606.ENSP00000444271,"complement activation, classical pathway [GO:0006958]; immune response [GO:0006955]; innate immune response [GO:0045087]; zymogen activation [GO:0031638]",blood microparticle [GO:0072562]; cell surface [GO:0009986]; complement component C1 complex [GO:0005602]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; symbiont cell surface [GO:0106139],"blood microparticle [GO:0072562]; cell surface [GO:0009986]; complement component C1 complex [GO:0005602]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; symbiont cell surface [GO:0106139]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; molecular sequestering activity [GO:0140313]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; complement activation, classical pathway [GO:0006958]; immune response [GO:0006955]; innate immune response [GO:0045087]; zymogen activation [GO:0031638]",calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; molecular sequestering activity [GO:0140313]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236],GO:0004252; GO:0005509; GO:0005576; GO:0005602; GO:0005615; GO:0006955; GO:0006958; GO:0008236; GO:0009986; GO:0031638; GO:0042802; GO:0045087; GO:0070062; GO:0072562; GO:0106139; GO:0140313
P01911,DRB1_HUMAN,"HLA class II histocompatibility antigen, DRB1 beta chain (Human leukocyte antigen DRB1) (HLA-DRB1)",HLA-DRB1,9606.ENSP00000353099,"antigen processing and presentation of endogenous peptide antigen via MHC class II [GO:0002491]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; detection of bacterium [GO:0016045]; epidermis development [GO:0008544]; humoral immune response [GO:0006959]; immune response [GO:0006955]; inflammatory response to antigenic stimulus [GO:0002437]; macrophage differentiation [GO:0030225]; myeloid dendritic cell antigen processing and presentation [GO:0002469]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of type II interferon production [GO:0032689]; peptide antigen assembly with MHC class II protein complex [GO:0002503]; positive regulation of CD4-positive, alpha-beta T cell activation [GO:2000516]; positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation [GO:0032831]; positive regulation of immune response [GO:0050778]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of memory T cell differentiation [GO:0043382]; positive regulation of monocyte differentiation [GO:0045657]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell mediated immune response to tumor cell [GO:0002842]; protein tetramerization [GO:0051262]; regulation of interleukin-10 production [GO:0032653]; regulation of interleukin-4 production [GO:0032673]; regulation of T-helper cell differentiation [GO:0045622]; signal transduction [GO:0007165]; T cell receptor signaling pathway [GO:0050852]; T-helper 1 type immune response [GO:0042088]",autolysosome membrane [GO:0120281]; cell surface [GO:0009986]; clathrin-coated endocytic vesicle membrane [GO:0030669]; endocytic vesicle membrane [GO:0030666]; ER to Golgi transport vesicle membrane [GO:0012507]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]; immunological synapse [GO:0001772]; intermediate filament [GO:0005882]; late endosome membrane [GO:0031902]; lumenal side of endoplasmic reticulum membrane [GO:0098553]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; MHC class II protein complex [GO:0042613]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588]; transport vesicle membrane [GO:0030658],"autolysosome membrane [GO:0120281]; cell surface [GO:0009986]; clathrin-coated endocytic vesicle membrane [GO:0030669]; endocytic vesicle membrane [GO:0030666]; ER to Golgi transport vesicle membrane [GO:0012507]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]; immunological synapse [GO:0001772]; intermediate filament [GO:0005882]; late endosome membrane [GO:0031902]; lumenal side of endoplasmic reticulum membrane [GO:0098553]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; MHC class II protein complex [GO:0042613]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588]; transport vesicle membrane [GO:0030658]; CD4 receptor binding [GO:0042609]; MHC class II protein complex binding [GO:0023026]; peptide antigen binding [GO:0042605]; polysaccharide binding [GO:0030247]; structural constituent of cytoskeleton [GO:0005200]; T cell receptor binding [GO:0042608]; antigen processing and presentation of endogenous peptide antigen via MHC class II [GO:0002491]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; detection of bacterium [GO:0016045]; epidermis development [GO:0008544]; humoral immune response [GO:0006959]; immune response [GO:0006955]; inflammatory response to antigenic stimulus [GO:0002437]; macrophage differentiation [GO:0030225]; myeloid dendritic cell antigen processing and presentation [GO:0002469]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of type II interferon production [GO:0032689]; peptide antigen assembly with MHC class II protein complex [GO:0002503]; positive regulation of CD4-positive, alpha-beta T cell activation [GO:2000516]; positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation [GO:0032831]; positive regulation of immune response [GO:0050778]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of memory T cell differentiation [GO:0043382]; positive regulation of monocyte differentiation [GO:0045657]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell mediated immune response to tumor cell [GO:0002842]; protein tetramerization [GO:0051262]; regulation of interleukin-10 production [GO:0032653]; regulation of interleukin-4 production [GO:0032673]; regulation of T-helper cell differentiation [GO:0045622]; signal transduction [GO:0007165]; T cell receptor signaling pathway [GO:0050852]; T-helper 1 type immune response [GO:0042088]",CD4 receptor binding [GO:0042609]; MHC class II protein complex binding [GO:0023026]; peptide antigen binding [GO:0042605]; polysaccharide binding [GO:0030247]; structural constituent of cytoskeleton [GO:0005200]; T cell receptor binding [GO:0042608],GO:0000139; GO:0001772; GO:0001916; GO:0002437; GO:0002469; GO:0002491; GO:0002503; GO:0002842; GO:0002862; GO:0005200; GO:0005615; GO:0005765; GO:0005882; GO:0005886; GO:0006955; GO:0006959; GO:0007165; GO:0008544; GO:0009897; GO:0009986; GO:0012507; GO:0016020; GO:0016045; GO:0019886; GO:0023026; GO:0030225; GO:0030247; GO:0030658; GO:0030666; GO:0030669; GO:0031902; GO:0032588; GO:0032653; GO:0032673; GO:0032689; GO:0032831; GO:0035774; GO:0042088; GO:0042130; GO:0042605; GO:0042608; GO:0042609; GO:0042613; GO:0043382; GO:0045622; GO:0045657; GO:0050778; GO:0050852; GO:0050870; GO:0051262; GO:0070062; GO:0098553; GO:0120281; GO:2000516
P02745,C1QA_HUMAN,Complement C1q subcomponent subunit A,C1QA,9606.ENSP00000363773,"astrocyte activation [GO:0048143]; cell-cell signaling [GO:0007267]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; complement-mediated synapse pruning [GO:0150062]; innate immune response [GO:0045087]; microglial cell activation [GO:0001774]; neuron remodeling [GO:0016322]; synapse organization [GO:0050808]; synapse pruning [GO:0098883]; vertebrate eye-specific patterning [GO:0150064]",cell surface [GO:0009986]; collagen trimer [GO:0005581]; complement component C1 complex [GO:0005602]; complement component C1q complex [GO:0062167]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extrinsic component of postsynaptic membrane [GO:0098890]; extrinsic component of presynaptic membrane [GO:0098888]; glutamatergic synapse [GO:0098978]; postsynapse [GO:0098794]; symbiont cell surface [GO:0106139]; synapse [GO:0045202],"cell surface [GO:0009986]; collagen trimer [GO:0005581]; complement component C1 complex [GO:0005602]; complement component C1q complex [GO:0062167]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extrinsic component of postsynaptic membrane [GO:0098890]; extrinsic component of presynaptic membrane [GO:0098888]; glutamatergic synapse [GO:0098978]; postsynapse [GO:0098794]; symbiont cell surface [GO:0106139]; synapse [GO:0045202]; amyloid-beta binding [GO:0001540]; IgG binding [GO:0019864]; IgM binding [GO:0001791]; phosphatidylserine binding [GO:0001786]; astrocyte activation [GO:0048143]; cell-cell signaling [GO:0007267]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; complement-mediated synapse pruning [GO:0150062]; innate immune response [GO:0045087]; microglial cell activation [GO:0001774]; neuron remodeling [GO:0016322]; synapse organization [GO:0050808]; synapse pruning [GO:0098883]; vertebrate eye-specific patterning [GO:0150064]",amyloid-beta binding [GO:0001540]; IgG binding [GO:0019864]; IgM binding [GO:0001791]; phosphatidylserine binding [GO:0001786],GO:0001540; GO:0001774; GO:0001786; GO:0001791; GO:0005576; GO:0005581; GO:0005602; GO:0006956; GO:0006958; GO:0007267; GO:0009986; GO:0016322; GO:0019864; GO:0031012; GO:0045087; GO:0045202; GO:0048143; GO:0050808; GO:0062167; GO:0098794; GO:0098883; GO:0098888; GO:0098890; GO:0098978; GO:0106139; GO:0150062; GO:0150064
P02746,C1QB_HUMAN,Complement C1q subcomponent subunit B,C1QB,9606.ENSP00000313967,"complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; synapse pruning [GO:0098883]",blood microparticle [GO:0072562]; cell surface [GO:0009986]; collagen trimer [GO:0005581]; complement component C1 complex [GO:0005602]; complement component C1q complex [GO:0062167]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; postsynapse [GO:0098794]; symbiont cell surface [GO:0106139]; synapse [GO:0045202],"blood microparticle [GO:0072562]; cell surface [GO:0009986]; collagen trimer [GO:0005581]; complement component C1 complex [GO:0005602]; complement component C1q complex [GO:0062167]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; postsynapse [GO:0098794]; symbiont cell surface [GO:0106139]; synapse [GO:0045202]; IgG binding [GO:0019864]; IgM binding [GO:0001791]; phosphatidylserine binding [GO:0001786]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; synapse pruning [GO:0098883]",IgG binding [GO:0019864]; IgM binding [GO:0001791]; phosphatidylserine binding [GO:0001786],GO:0001786; GO:0001791; GO:0005576; GO:0005581; GO:0005602; GO:0006956; GO:0006958; GO:0009986; GO:0019864; GO:0031012; GO:0045087; GO:0045202; GO:0062167; GO:0072562; GO:0098794; GO:0098883; GO:0106139
