"Entry","Entry Name","Gene Names","Gene Ontology (biological process)","Gene Ontology (cellular component)","Gene Ontology (GO)","Gene Ontology (molecular function)","Gene Ontology IDs","name","Protein names","selected","shared name"
"Q92575","UBXN4_HUMAN","UBXN4 KIAA0242 UBXD2 UBXDC1","ERAD pathway [GO:0036503]; response to unfolded protein [GO:0006986]","cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; nuclear envelope [GO:0005635]","cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; nuclear envelope [GO:0005635]; ERAD pathway [GO:0036503]; response to unfolded protein [GO:0006986]","","GO:0005635; GO:0005783; GO:0005789; GO:0005829; GO:0006986; GO:0036503","9606.ENSP00000272638","UBX domain-containing protein 4 (Erasin) (UBX domain-containing protein 2)","false","9606.ENSP00000272638"
"Q63HK5","TSH3_HUMAN","TSHZ3 KIAA1474 TSH3 ZNF537","long-term synaptic potentiation [GO:0060291]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; regulation of respiratory gaseous exchange by nervous system process [GO:0002087]; regulation of transcription by RNA polymerase II [GO:0006357]","chromatin [GO:0000785]; growth cone [GO:0030426]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]","chromatin [GO:0000785]; growth cone [GO:0030426]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; long-term synaptic potentiation [GO:0060291]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; regulation of respiratory gaseous exchange by nervous system process [GO:0002087]; regulation of transcription by RNA polymerase II [GO:0006357]","chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]","GO:0000785; GO:0000981; GO:0002087; GO:0003677; GO:0003682; GO:0005634; GO:0005654; GO:0005886; GO:0006357; GO:0030426; GO:0045892; GO:0046872; GO:0051968; GO:0060291","9606.ENSP00000240587","Teashirt homolog 3 (Zinc finger protein 537)","false","9606.ENSP00000240587"
"Q6ZSZ6","TSH1_HUMAN","TSHZ1 SDCCAG33 TSH1","anterior/posterior pattern specification [GO:0009952]; middle ear morphogenesis [GO:0042474]; regulation of transcription by RNA polymerase II [GO:0006357]; soft palate development [GO:0060023]","chromatin [GO:0000785]; nucleus [GO:0005634]","chromatin [GO:0000785]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; anterior/posterior pattern specification [GO:0009952]; middle ear morphogenesis [GO:0042474]; regulation of transcription by RNA polymerase II [GO:0006357]; soft palate development [GO:0060023]","DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]","GO:0000785; GO:0000981; GO:0003677; GO:0005634; GO:0006357; GO:0009952; GO:0042474; GO:0046872; GO:0060023","9606.ENSP00000464391","Teashirt homolog 1 (Antigen NY-CO-33) (Serologically defined colon cancer antigen 33)","false","9606.ENSP00000464391"
"O43914","TYOBP_HUMAN","TYROBP DAP12 KARAP","actin cytoskeleton organization [GO:0030036]; amyloid-beta clearance [GO:0097242]; apoptotic cell clearance [GO:0043277]; cellular defense response [GO:0006968]; cellular response to amyloid-beta [GO:1904646]; forebrain development [GO:0030900]; intracellular signal transduction [GO:0035556]; microglial cell activation involved in immune response [GO:0002282]; myeloid leukocyte activation [GO:0002274]; negative regulation of B cell proliferation [GO:0030889]; negative regulation of interleukin-10 production [GO:0032693]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of transforming growth factor beta1 production [GO:0032911]; negative regulation of type I interferon production [GO:0032480]; neutrophil activation involved in immune response [GO:0002283]; osteoclast differentiation [GO:0030316]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of microglial cell mediated cytotoxicity [GO:1904151]; positive regulation of natural killer cell activation [GO:0032816]; positive regulation of osteoclast development [GO:2001206]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of receptor localization to synapse [GO:1902685]; positive regulation of superoxide anion generation [GO:0032930]; positive regulation of tumor necrosis factor production [GO:0032760]; protein stabilization [GO:0050821]; response to axon injury [GO:0048678]; semaphorin-plexin signaling pathway [GO:0071526]; signal transduction [GO:0007165]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stimulatory killer cell immunoglobulin-like receptor signaling pathway [GO:0002222]; T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:0002291]","cell surface [GO:0009986]; membrane [GO:0016020]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]","cell surface [GO:0009986]; membrane [GO:0016020]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]; protein-macromolecule adaptor activity [GO:0030674]; signaling receptor binding [GO:0005102]; actin cytoskeleton organization [GO:0030036]; amyloid-beta clearance [GO:0097242]; apoptotic cell clearance [GO:0043277]; cellular defense response [GO:0006968]; cellular response to amyloid-beta [GO:1904646]; forebrain development [GO:0030900]; intracellular signal transduction [GO:0035556]; microglial cell activation involved in immune response [GO:0002282]; myeloid leukocyte activation [GO:0002274]; negative regulation of B cell proliferation [GO:0030889]; negative regulation of interleukin-10 production [GO:0032693]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of transforming growth factor beta1 production [GO:0032911]; negative regulation of type I interferon production [GO:0032480]; neutrophil activation involved in immune response [GO:0002283]; osteoclast differentiation [GO:0030316]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of microglial cell mediated cytotoxicity [GO:1904151]; positive regulation of natural killer cell activation [GO:0032816]; positive regulation of osteoclast development [GO:2001206]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of receptor localization to synapse [GO:1902685]; positive regulation of superoxide anion generation [GO:0032930]; positive regulation of tumor necrosis factor production [GO:0032760]; protein stabilization [GO:0050821]; response to axon injury [GO:0048678]; semaphorin-plexin signaling pathway [GO:0071526]; signal transduction [GO:0007165]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stimulatory killer cell immunoglobulin-like receptor signaling pathway [GO:0002222]; T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:0002291]","identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]; protein-macromolecule adaptor activity [GO:0030674]; signaling receptor binding [GO:0005102]","GO:0002222; GO:0002223; GO:0002274; GO:0002282; GO:0002283; GO:0002291; GO:0005102; GO:0005886; GO:0006968; GO:0007165; GO:0009986; GO:0010628; GO:0016020; GO:0030036; GO:0030316; GO:0030667; GO:0030674; GO:0030889; GO:0030900; GO:0032480; GO:0032693; GO:0032731; GO:0032755; GO:0032760; GO:0032816; GO:0032911; GO:0032930; GO:0034241; GO:0035556; GO:0042802; GO:0042803; GO:0043277; GO:0046872; GO:0048678; GO:0050821; GO:0060090; GO:0071526; GO:0097242; GO:1900272; GO:1902685; GO:1904151; GO:1904646; GO:2000010; GO:2001206","9606.ENSP00000262629","TYRO protein tyrosine kinase-binding protein (DNAX-activation protein 12) (Killer-activating receptor-associated protein) (KAR-associated protein)","false","9606.ENSP00000262629"
"O15270","SPTC2_HUMAN","SPTLC2 KIAA0526 LCB2","adipose tissue development [GO:0060612]; ceramide biosynthetic process [GO:0046513]; positive regulation of lipophagy [GO:1904504]; sphinganine biosynthetic process [GO:0046511]; sphingolipid biosynthetic process [GO:0030148]; sphingomyelin biosynthetic process [GO:0006686]; sphingosine biosynthetic process [GO:0046512]","endoplasmic reticulum membrane [GO:0005789]; serine palmitoyltransferase complex [GO:0017059]","endoplasmic reticulum membrane [GO:0005789]; serine palmitoyltransferase complex [GO:0017059]; pyridoxal phosphate binding [GO:0030170]; serine C-palmitoyltransferase activity [GO:0004758]; adipose tissue development [GO:0060612]; ceramide biosynthetic process [GO:0046513]; positive regulation of lipophagy [GO:1904504]; sphinganine biosynthetic process [GO:0046511]; sphingolipid biosynthetic process [GO:0030148]; sphingomyelin biosynthetic process [GO:0006686]; sphingosine biosynthetic process [GO:0046512]","pyridoxal phosphate binding [GO:0030170]; serine C-palmitoyltransferase activity [GO:0004758]","GO:0004758; GO:0005789; GO:0006686; GO:0017059; GO:0030148; GO:0030170; GO:0046511; GO:0046512; GO:0046513; GO:0060612; GO:1904504","9606.ENSP00000216484","Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)","false","9606.ENSP00000216484"
"Q16143","SYUB_HUMAN","SNCB","chemical synaptic transmission [GO:0007268]; dopamine metabolic process [GO:0042417]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; synapse organization [GO:0050808]; synaptic vesicle endocytosis [GO:0048488]","axon terminus [GO:0043679]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; inclusion body [GO:0016234]; neuronal cell body [GO:0043025]","axon terminus [GO:0043679]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; inclusion body [GO:0016234]; neuronal cell body [GO:0043025]; calcium ion binding [GO:0005509]; cuprous ion binding [GO:1903136]; phospholipase inhibitor activity [GO:0004859]; transition metal ion binding [GO:0046914]; chemical synaptic transmission [GO:0007268]; dopamine metabolic process [GO:0042417]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; synapse organization [GO:0050808]; synaptic vesicle endocytosis [GO:0048488]","calcium ion binding [GO:0005509]; cuprous ion binding [GO:1903136]; phospholipase inhibitor activity [GO:0004859]; transition metal ion binding [GO:0046914]","GO:0004859; GO:0005509; GO:0005737; GO:0005829; GO:0007268; GO:0016234; GO:0042417; GO:0043025; GO:0043524; GO:0043679; GO:0046914; GO:0048488; GO:0050808; GO:0051402; GO:1903136","9606.ENSP00000377296","Beta-synuclein","false","9606.ENSP00000377296"
"P06702","S10A9_HUMAN","S100A9 CAGB CFAG MRP14","activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; apoptotic process [GO:0006915]; astrocyte development [GO:0014002]; autocrine signaling [GO:0035425]; autophagy [GO:0006914]; cell-cell signaling [GO:0007267]; chronic inflammatory response [GO:0002544]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; endothelial cell migration [GO:0043542]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; leukocyte migration involved in inflammatory response [GO:0002523]; modulation of process of another organism [GO:0035821]; neutrophil aggregation [GO:0070488]; neutrophil chemotaxis [GO:0030593]; peptidyl-cysteine S-trans-nitrosylation [GO:0035606]; positive regulation of cell growth [GO:0030307]; positive regulation of inflammatory response [GO:0050729]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of neuron projection development [GO:0010976]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; regulation of cytoskeleton organization [GO:0051493]; regulation of integrin biosynthetic process [GO:0045113]; regulation of respiratory burst involved in inflammatory response [GO:0060264]; regulation of toll-like receptor signaling pathway [GO:0034121]; response to lipopolysaccharide [GO:0032496]; sequestering of zinc ion [GO:0032119]","calprotectin complex [GO:1990660]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; S100A9 complex [GO:1990662]; secretory granule lumen [GO:0034774]","calprotectin complex [GO:1990660]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; S100A9 complex [GO:1990662]; secretory granule lumen [GO:0034774]; antioxidant activity [GO:0016209]; arachidonic acid binding [GO:0050544]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; microtubule binding [GO:0008017]; RAGE receptor binding [GO:0050786]; Toll-like receptor 4 binding [GO:0035662]; zinc ion binding [GO:0008270]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; apoptotic process [GO:0006915]; astrocyte development [GO:0014002]; autocrine signaling [GO:0035425]; autophagy [GO:0006914]; cell-cell signaling [GO:0007267]; chronic inflammatory response [GO:0002544]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; endothelial cell migration [GO:0043542]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; leukocyte migration involved in inflammatory response [GO:0002523]; modulation of process of another organism [GO:0035821]; neutrophil aggregation [GO:0070488]; neutrophil chemotaxis [GO:0030593]; peptidyl-cysteine S-trans-nitrosylation [GO:0035606]; positive regulation of cell growth [GO:0030307]; positive regulation of inflammatory response [GO:0050729]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of neuron projection development [GO:0010976]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; regulation of cytoskeleton organization [GO:0051493]; regulation of integrin biosynthetic process [GO:0045113]; regulation of respiratory burst involved in inflammatory response [GO:0060264]; regulation of toll-like receptor signaling pathway [GO:0034121]; response to lipopolysaccharide [GO:0032496]; sequestering of zinc ion [GO:0032119]","antioxidant activity [GO:0016209]; arachidonic acid binding [GO:0050544]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; microtubule binding [GO:0008017]; RAGE receptor binding [GO:0050786]; Toll-like receptor 4 binding [GO:0035662]; zinc ion binding [GO:0008270]","GO:0002523; GO:0002544; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0006914; GO:0006915; GO:0006919; GO:0006954; GO:0007267; GO:0008017; GO:0008270; GO:0010976; GO:0014002; GO:0016209; GO:0030307; GO:0030593; GO:0032119; GO:0032496; GO:0034121; GO:0034774; GO:0035425; GO:0035606; GO:0035662; GO:0035821; GO:0042742; GO:0043542; GO:0045087; GO:0045113; GO:0048306; GO:0050544; GO:0050729; GO:0050786; GO:0050832; GO:0051092; GO:0051493; GO:0060264; GO:0061844; GO:0062023; GO:0070062; GO:0070488; GO:1990660; GO:1990662; GO:2001244","9606.ENSP00000357727","Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)","false","9606.ENSP00000357727"
"P68036","UB2L3_HUMAN","UBE2L3, UBCE7, UBCH7","cell cycle phase transition [GO:0044770]; cell population proliferation [GO:0008283]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to steroid hormone stimulus [GO:0071383]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; protein K11-linked ubiquitination [GO:0070979]; protein modification process [GO:0036211]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of DNA-templated transcription [GO:0006355]; ubiquitin-dependent protein catabolic process [GO:0006511]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; ATP binding [GO:0005524]; enzyme binding [GO:0019899]; RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activator activity [GO:0097027]; ubiquitin-protein transferase activity [GO:0004842]; cell cycle phase transition [GO:0044770]; cell population proliferation [GO:0008283]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to steroid hormone stimulus [GO:0071383]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; protein K11-linked ubiquitination [GO:0070979]; protein modification process [GO:0036211]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of DNA-templated transcription [GO:0006355]; ubiquitin-dependent protein catabolic process [GO:0006511]","ATP binding [GO:0005524]; enzyme binding [GO:0019899]; RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activator activity [GO:0097027]; ubiquitin-protein transferase activity [GO:0004842]","GO:0000151; GO:0000209; GO:0003713; GO:0003723; GO:0004842; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006355; GO:0006511; GO:0008283; GO:0016567; GO:0019899; GO:0031398; GO:0031625; GO:0036211; GO:0044770; GO:0051443; GO:0061631; GO:0070979; GO:0071383; GO:0071385; GO:0097027; GO:1903955","9606.ENSP00000400906","Ubiquitin-conjugating enzyme E2 L3, EC:2.3.2.23, E2 ubiquitin-conjugating enzyme L3, L-UBC, UbcH7, Ubiquitin carrier protein L3, Ubiquitin-conjugating enzyme E2-F1, Ubiquitin-protein ligase L3","false","9606.ENSP00000400906"
"Q8WXA9","SREK1_HUMAN","SREK1 SFRS12 SRRP86","mRNA processing [GO:0006397]; RNA splicing [GO:0008380]","nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]","nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]","RNA binding [GO:0003723]","GO:0003723; GO:0005654; GO:0005681; GO:0006397; GO:0008380; GO:0016607","9606.ENSP00000334538","Splicing regulatory glutamine/lysine-rich protein 1 (Serine/arginine-rich-splicing regulatory protein 86) (SRrp86) (Splicing factor, arginine/serine-rich 12) (Splicing regulatory protein 508) (SRrp508)","false","9606.ENSP00000334538"
"P49756","RBM25_HUMAN","RBM25 RNPC7","mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of apoptotic process [GO:0042981]; RNA splicing [GO:0008380]","cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]","cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of apoptotic process [GO:0042981]; RNA splicing [GO:0008380]","mRNA binding [GO:0003729]; RNA binding [GO:0003723]","GO:0000381; GO:0003723; GO:0003729; GO:0005654; GO:0005737; GO:0006397; GO:0008380; GO:0016607; GO:0042981","9606.ENSP00000261973","RNA-binding protein 25 (Arg/Glu/Asp-rich protein of 120 kDa) (RED120) (Protein S164) (RNA-binding motif protein 25) (RNA-binding region-containing protein 7)","false","9606.ENSP00000261973"
