"Entry","Entry Name","Gene Names","Gene Ontology (biological process)","Gene Ontology (cellular component)","Gene Ontology (GO)","Gene Ontology (molecular function)","Gene Ontology IDs","name","Protein names","selected","shared name"
"Q9Y4E1","WAC2C_HUMAN","WASHC2C FAM21C KIAA0592 VPEF","endocytic recycling [GO:0032456]; endosomal transport [GO:0016197]; negative regulation of barbed-end actin filament capping [GO:2000813]; protein localization to endosome [GO:0036010]; protein transport [GO:0015031]; regulation of Arp2/3 complex-mediated actin nucleation [GO:0034315]; regulation of substrate adhesion-dependent cell spreading [GO:1900024]; retrograde transport, endosome to Golgi [GO:0042147]","cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endosome [GO:0005768]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; WASH complex [GO:0071203]","cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endosome [GO:0005768]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; WASH complex [GO:0071203]; phosphatidylinositol phosphate binding [GO:1901981]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; retromer complex binding [GO:1905394]; endocytic recycling [GO:0032456]; endosomal transport [GO:0016197]; negative regulation of barbed-end actin filament capping [GO:2000813]; protein localization to endosome [GO:0036010]; protein transport [GO:0015031]; regulation of Arp2/3 complex-mediated actin nucleation [GO:0034315]; regulation of substrate adhesion-dependent cell spreading [GO:1900024]; retrograde transport, endosome to Golgi [GO:0042147]","phosphatidylinositol phosphate binding [GO:1901981]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; retromer complex binding [GO:1905394]","GO:0005546; GO:0005547; GO:0005730; GO:0005768; GO:0005769; GO:0005829; GO:0005886; GO:0010314; GO:0015031; GO:0016197; GO:0031901; GO:0032266; GO:0032456; GO:0034315; GO:0036010; GO:0042147; GO:0043231; GO:0043325; GO:0070273; GO:0071203; GO:0080025; GO:1900024; GO:1901981; GO:1905394; GO:2000813","9606.ENSP00000485513","WASH complex subunit 2C (Vaccinia virus penetration factor) (VPEF)","false","9606.ENSP00000485513"
"Q96QK1","VPS35_HUMAN","VPS35 MEM3 TCCCTA00141","endocytic recycling [GO:0032456]; intracellular protein transport [GO:0006886]; lysosome organization [GO:0007040]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mitochondrion to lysosome vesicle-mediated transport [GO:0099074]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of gene expression [GO:0010629]; negative regulation of inflammatory response [GO:0050728]; negative regulation of late endosome to lysosome transport [GO:1902823]; negative regulation of lysosomal protein catabolic process [GO:1905166]; negative regulation of protein homooligomerization [GO:0032463]; negative regulation of protein localization [GO:1903828]; neurotransmitter receptor transport, endosome to plasma membrane [GO:0099639]; neurotransmitter receptor transport, endosome to postsynaptic membrane [GO:0098887]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of dopamine biosynthetic process [GO:1903181]; positive regulation of dopamine receptor signaling pathway [GO:0060161]; positive regulation of gene expression [GO:0010628]; positive regulation of locomotion involved in locomotory behavior [GO:0090326]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein localization to cell periphery [GO:1904377]; positive regulation of Wnt protein secretion [GO:0061357]; protein destabilization [GO:0031648]; protein localization to endosome [GO:0036010]; regulation of dendritic spine maintenance [GO:1902950]; regulation of macroautophagy [GO:0016241]; regulation of mitochondrion organization [GO:0010821]; regulation of postsynapse assembly [GO:0150052]; regulation of presynapse assembly [GO:1905606]; regulation of protein metabolic process [GO:0051246]; regulation of protein stability [GO:0031647]; regulation of synapse maturation [GO:0090128]; regulation of terminal button organization [GO:2000331]; retrograde transport, endosome to Golgi [GO:0042147]; transcytosis [GO:0045056]; vesicle-mediated transport in synapse [GO:0099003]; voluntary musculoskeletal movement [GO:0050882]; Wnt signaling pathway [GO:0016055]","cytosol [GO:0005829]; dopaminergic synapse [GO:0098691]; early endosome [GO:0005769]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; mitochondrion-derived vesicle [GO:0099073]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; retromer complex [GO:0030904]; retromer, cargo-selective complex [GO:0030906]; tubular endosome [GO:0097422]","cytosol [GO:0005829]; dopaminergic synapse [GO:0098691]; early endosome [GO:0005769]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; mitochondrion-derived vesicle [GO:0099073]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; retromer complex [GO:0030904]; retromer, cargo-selective complex [GO:0030906]; tubular endosome [GO:0097422]; D1 dopamine receptor binding [GO:0031748]; endocytic recycling [GO:0032456]; intracellular protein transport [GO:0006886]; lysosome organization [GO:0007040]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mitochondrion to lysosome vesicle-mediated transport [GO:0099074]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of gene expression [GO:0010629]; negative regulation of inflammatory response [GO:0050728]; negative regulation of late endosome to lysosome transport [GO:1902823]; negative regulation of lysosomal protein catabolic process [GO:1905166]; negative regulation of protein homooligomerization [GO:0032463]; negative regulation of protein localization [GO:1903828]; neurotransmitter receptor transport, endosome to plasma membrane [GO:0099639]; neurotransmitter receptor transport, endosome to postsynaptic membrane [GO:0098887]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of dopamine biosynthetic process [GO:1903181]; positive regulation of dopamine receptor signaling pathway [GO:0060161]; positive regulation of gene expression [GO:0010628]; positive regulation of locomotion involved in locomotory behavior [GO:0090326]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein localization to cell periphery [GO:1904377]; positive regulation of Wnt protein secretion [GO:0061357]; protein destabilization [GO:0031648]; protein localization to endosome [GO:0036010]; regulation of dendritic spine maintenance [GO:1902950]; regulation of macroautophagy [GO:0016241]; regulation of mitochondrion organization [GO:0010821]; regulation of postsynapse assembly [GO:0150052]; regulation of presynapse assembly [GO:1905606]; regulation of protein metabolic process [GO:0051246]; regulation of protein stability [GO:0031647]; regulation of synapse maturation [GO:0090128]; regulation of terminal button organization [GO:2000331]; retrograde transport, endosome to Golgi [GO:0042147]; transcytosis [GO:0045056]; vesicle-mediated transport in synapse [GO:0099003]; voluntary musculoskeletal movement [GO:0050882]; Wnt signaling pathway [GO:0016055]","D1 dopamine receptor binding [GO:0031748]","GO:0005764; GO:0005765; GO:0005768; GO:0005769; GO:0005770; GO:0005829; GO:0006886; GO:0007040; GO:0010008; GO:0010628; GO:0010629; GO:0010821; GO:0014069; GO:0016055; GO:0016241; GO:0030904; GO:0030906; GO:0031647; GO:0031648; GO:0031748; GO:0032456; GO:0032463; GO:0036010; GO:0042147; GO:0043005; GO:0043025; GO:0043653; GO:0045056; GO:0045732; GO:0048471; GO:0050728; GO:0050804; GO:0050882; GO:0051246; GO:0060161; GO:0061357; GO:0070062; GO:0090128; GO:0090141; GO:0090263; GO:0090326; GO:0097422; GO:0098691; GO:0098793; GO:0098887; GO:0098978; GO:0099003; GO:0099073; GO:0099074; GO:0099639; GO:0150052; GO:1902823; GO:1902950; GO:1903181; GO:1903828; GO:1904377; GO:1905166; GO:1905606; GO:2000331","9606.ENSP00000299138","Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)","false","9606.ENSP00000299138"
"Q16143","SYUB_HUMAN","SNCB","chemical synaptic transmission [GO:0007268]; dopamine metabolic process [GO:0042417]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; synapse organization [GO:0050808]; synaptic vesicle endocytosis [GO:0048488]","axon terminus [GO:0043679]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; inclusion body [GO:0016234]; neuronal cell body [GO:0043025]","axon terminus [GO:0043679]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; inclusion body [GO:0016234]; neuronal cell body [GO:0043025]; calcium ion binding [GO:0005509]; cuprous ion binding [GO:1903136]; phospholipase inhibitor activity [GO:0004859]; transition metal ion binding [GO:0046914]; chemical synaptic transmission [GO:0007268]; dopamine metabolic process [GO:0042417]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; synapse organization [GO:0050808]; synaptic vesicle endocytosis [GO:0048488]","calcium ion binding [GO:0005509]; cuprous ion binding [GO:1903136]; phospholipase inhibitor activity [GO:0004859]; transition metal ion binding [GO:0046914]","GO:0004859; GO:0005509; GO:0005737; GO:0005829; GO:0007268; GO:0016234; GO:0042417; GO:0043025; GO:0043524; GO:0043679; GO:0046914; GO:0048488; GO:0050808; GO:0051402; GO:1903136","9606.ENSP00000377296","Beta-synuclein","false","9606.ENSP00000377296"
"Q9NV58","RN19A_HUMAN","RNF19A RNF19","microtubule cytoskeleton organization [GO:0000226]; protein polyubiquitination [GO:0000209]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; ubiquitin-dependent protein catabolic process [GO:0006511]","centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; membrane [GO:0016020]; postsynapse [GO:0098794]; ubiquitin ligase complex [GO:0000151]","centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; membrane [GO:0016020]; postsynapse [GO:0098794]; ubiquitin ligase complex [GO:0000151]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; microtubule cytoskeleton organization [GO:0000226]; protein polyubiquitination [GO:0000209]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; ubiquitin-dependent protein catabolic process [GO:0006511]","ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]","GO:0000151; GO:0000209; GO:0000226; GO:0005737; GO:0005813; GO:0005829; GO:0006511; GO:0008270; GO:0016020; GO:0031624; GO:0061630; GO:0098686; GO:0098794; GO:0098978; GO:0099576","9606.ENSP00000428968","E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (RING finger protein 19A) (p38)","false","9606.ENSP00000428968"
"P53611","PGTB2_HUMAN","RABGGTB GGTB","protein geranylgeranylation [GO:0018344]; protein modification process [GO:0036211]; visual perception [GO:0007601]","cytosol [GO:0005829]; plasma membrane [GO:0005886]; Rab-protein geranylgeranyltransferase complex [GO:0005968]","cytosol [GO:0005829]; plasma membrane [GO:0005886]; Rab-protein geranylgeranyltransferase complex [GO:0005968]; Rab geranylgeranyltransferase activity [GO:0004663]; small GTPase binding [GO:0031267]; zinc ion binding [GO:0008270]; protein geranylgeranylation [GO:0018344]; protein modification process [GO:0036211]; visual perception [GO:0007601]","Rab geranylgeranyltransferase activity [GO:0004663]; small GTPase binding [GO:0031267]; zinc ion binding [GO:0008270]","GO:0004663; GO:0005829; GO:0005886; GO:0005968; GO:0007601; GO:0008270; GO:0018344; GO:0031267; GO:0036211","9606.ENSP00000317473","Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Rab geranyl-geranyltransferase subunit beta) (Rab GG transferase beta) (Rab GGTase beta) (Rab geranylgeranyltransferase subunit beta) (Type II protein geranyl-geranyltransferase subunit beta)","false","9606.ENSP00000317473"
"Q96QF0","RAB3I_HUMAN","RAB3IP RABIN8","ciliary basal body-plasma membrane docking [GO:0097711]; cilium assembly [GO:0060271]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; negative regulation of filopodium assembly [GO:0051490]; positive regulation of cilium assembly [GO:0045724]; protein localization to motile cilium [GO:0120229]; protein localization to organelle [GO:0033365]; protein targeting to membrane [GO:0006612]; protein transport [GO:0015031]","centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; Golgi to plasma membrane transport vesicle [GO:0070319]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; proximal dendrite [GO:1990635]; trans-Golgi network membrane [GO:0032588]","centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; Golgi to plasma membrane transport vesicle [GO:0070319]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; proximal dendrite [GO:1990635]; trans-Golgi network membrane [GO:0032588]; GTPase binding [GO:0051020]; guanyl-nucleotide exchange factor activity [GO:0005085]; identical protein binding [GO:0042802]; ciliary basal body-plasma membrane docking [GO:0097711]; cilium assembly [GO:0060271]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; negative regulation of filopodium assembly [GO:0051490]; positive regulation of cilium assembly [GO:0045724]; protein localization to motile cilium [GO:0120229]; protein localization to organelle [GO:0033365]; protein targeting to membrane [GO:0006612]; protein transport [GO:0015031]","GTPase binding [GO:0051020]; guanyl-nucleotide exchange factor activity [GO:0005085]; identical protein binding [GO:0042802]","GO:0005085; GO:0005634; GO:0005813; GO:0005829; GO:0006612; GO:0006887; GO:0006893; GO:0015031; GO:0030027; GO:0032588; GO:0033365; GO:0036064; GO:0042802; GO:0045724; GO:0048471; GO:0051020; GO:0051490; GO:0060271; GO:0070319; GO:0097711; GO:0120229; GO:1990635","9606.ENSP00000447300","Rab-3A-interacting protein (Rab3A-interacting protein) (Rabin-3) (Rabin8) (SSX2-interacting protein)","false","9606.ENSP00000447300"
"Q5EBL4","RIPL1_HUMAN","RILPL1 RLP1","cilium assembly [GO:0060271]; epithelial cell morphogenesis [GO:0003382]; nitric oxide mediated signal transduction [GO:0007263]; protein transport from ciliary membrane to plasma membrane [GO:1903445]","centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]","centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; dynein light intermediate chain binding [GO:0051959]; protein dimerization activity [GO:0046983]; small GTPase binding [GO:0031267]; cilium assembly [GO:0060271]; epithelial cell morphogenesis [GO:0003382]; nitric oxide mediated signal transduction [GO:0007263]; protein transport from ciliary membrane to plasma membrane [GO:1903445]","dynein light intermediate chain binding [GO:0051959]; protein dimerization activity [GO:0046983]; small GTPase binding [GO:0031267]","GO:0003382; GO:0005654; GO:0005737; GO:0005813; GO:0005814; GO:0005829; GO:0005886; GO:0005929; GO:0007263; GO:0031267; GO:0036064; GO:0046983; GO:0051959; GO:0060271; GO:1903445","9606.ENSP00000366070","RILP-like protein 1 (Rab-interacting lysosomal-like protein 1)","false","9606.ENSP00000366070"
"P68036","UB2L3_HUMAN","UBE2L3 UBCE7 UBCH7","cell cycle phase transition [GO:0044770]; cell population proliferation [GO:0008283]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to steroid hormone stimulus [GO:0071383]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; protein K11-linked ubiquitination [GO:0070979]; protein modification process [GO:0036211]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of DNA-templated transcription [GO:0006355]; ubiquitin-dependent protein catabolic process [GO:0006511]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; ATP binding [GO:0005524]; enzyme binding [GO:0019899]; RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activator activity [GO:0097027]; ubiquitin-protein transferase activity [GO:0004842]; cell cycle phase transition [GO:0044770]; cell population proliferation [GO:0008283]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to steroid hormone stimulus [GO:0071383]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; protein K11-linked ubiquitination [GO:0070979]; protein modification process [GO:0036211]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of DNA-templated transcription [GO:0006355]; ubiquitin-dependent protein catabolic process [GO:0006511]","ATP binding [GO:0005524]; enzyme binding [GO:0019899]; RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activator activity [GO:0097027]; ubiquitin-protein transferase activity [GO:0004842]","GO:0000151; GO:0000209; GO:0003713; GO:0003723; GO:0004842; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006355; GO:0006511; GO:0008283; GO:0016567; GO:0019899; GO:0031398; GO:0031625; GO:0036211; GO:0044770; GO:0051443; GO:0061631; GO:0070979; GO:0071383; GO:0071385; GO:0097027; GO:1903955","9606.ENSP00000400906","Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (L-UBC) (UbcH7) (Ubiquitin carrier protein L3) (Ubiquitin-conjugating enzyme E2-F1) (Ubiquitin-protein ligase L3)","false","9606.ENSP00000400906"
"Q99719","SEPT5_HUMAN","SEPTIN5 PNUTL1 SEPT5","adult behavior [GO:0030534]; cytoskeleton-dependent cytokinesis [GO:0061640]; protein localization [GO:0008104]; regulation of exocytosis [GO:0017157]; regulation of synaptic vesicle exocytosis [GO:2000300]; social behavior [GO:0035176]; synaptic vesicle targeting [GO:0016080]","cell division site [GO:0032153]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]; septin complex [GO:0031105]; septin ring [GO:0005940]; synaptic vesicle [GO:0008021]","cell division site [GO:0032153]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]; septin complex [GO:0031105]; septin ring [GO:0005940]; synaptic vesicle [GO:0008021]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; structural molecule activity [GO:0005198]; adult behavior [GO:0030534]; cytoskeleton-dependent cytokinesis [GO:0061640]; protein localization [GO:0008104]; regulation of exocytosis [GO:0017157]; regulation of synaptic vesicle exocytosis [GO:2000300]; social behavior [GO:0035176]; synaptic vesicle targeting [GO:0016080]","GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; structural molecule activity [GO:0005198]","GO:0003924; GO:0005198; GO:0005525; GO:0005886; GO:0005940; GO:0008021; GO:0008104; GO:0015630; GO:0016080; GO:0017157; GO:0030534; GO:0031105; GO:0032153; GO:0035176; GO:0042802; GO:0060090; GO:0061640; GO:2000300","9606.ENSP00000391311","Septin-5 (Cell division control-related protein 1) (CDCrel-1) (Peanut-like protein 1)","false","9606.ENSP00000391311"
"Q8TC07","TBC15_HUMAN","TBC1D15","regulation of GTPase activity [GO:0043087]","cytoplasm [GO:0005737]; extracellular region [GO:0005576]","cytoplasm [GO:0005737]; extracellular region [GO:0005576]; GTPase activator activity [GO:0005096]; regulation of GTPase activity [GO:0043087]","GTPase activator activity [GO:0005096]","GO:0005096; GO:0005576; GO:0005737; GO:0043087","9606.ENSP00000448182","TBC1 domain family member 15 (GTPase-activating protein RAB7) (GAP for RAB7) (Rab7-GAP)","false","9606.ENSP00000448182"
