Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs	Gene Ontology (GO)	STRING
A7MD48	SRRM4_HUMAN	Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100)	SRRM4 KIAA1853	cell differentiation [GO:0030154]; mRNA processing [GO:0006397]; nervous system development [GO:0007399]; neuron maturation [GO:0042551]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]; sensory perception of sound [GO:0007605]	nucleus [GO:0005634]	identical protein binding [GO:0042802]; mRNA binding [GO:0003729]	GO:0000381; GO:0003729; GO:0005634; GO:0006397; GO:0007399; GO:0007605; GO:0008380; GO:0030154; GO:0042551; GO:0042802; GO:0043484	nucleus [GO:0005634]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; cell differentiation [GO:0030154]; mRNA processing [GO:0006397]; nervous system development [GO:0007399]; neuron maturation [GO:0042551]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]; sensory perception of sound [GO:0007605]	9606.ENSP00000267260
O00217	NDUS8_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)	NDUFS8	aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005739; GO:0005743; GO:0005759; GO:0006120; GO:0008137; GO:0009060; GO:0032981; GO:0042776; GO:0045271; GO:0046872; GO:0051539	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	9606.ENSP00000315774
O00443	P3C2A_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)	PIK3C2A	clathrin coat assembly [GO:0048268]; endocytosis [GO:0006897]; epidermal growth factor receptor signaling pathway [GO:0007173]; exocytosis [GO:0006887]; insulin receptor signaling pathway [GO:0008286]; membrane organization [GO:0061024]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol-3-phosphate biosynthetic process [GO:0036092]; phosphatidylinositol-mediated signaling [GO:0048015]; phosphorylation [GO:0016310]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of autophagy [GO:0010508]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; vascular associated smooth muscle contraction [GO:0014829]	clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; phosphatidylinositol 3-kinase complex [GO:0005942]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; vesicle [GO:0031982]	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; clathrin binding [GO:0030276]; phosphatidylinositol binding [GO:0035091]	GO:0005524; GO:0005654; GO:0005737; GO:0005802; GO:0005829; GO:0005886; GO:0005942; GO:0006661; GO:0006887; GO:0006897; GO:0007173; GO:0008286; GO:0010508; GO:0014829; GO:0016020; GO:0016303; GO:0016310; GO:0030136; GO:0030276; GO:0031982; GO:0035005; GO:0035091; GO:0036092; GO:0043231; GO:0043491; GO:0046934; GO:0048008; GO:0048015; GO:0048268; GO:0061024; GO:0070062; GO:0090050	clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; phosphatidylinositol 3-kinase complex [GO:0005942]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; vesicle [GO:0031982]; 1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; clathrin binding [GO:0030276]; phosphatidylinositol binding [GO:0035091]; clathrin coat assembly [GO:0048268]; endocytosis [GO:0006897]; epidermal growth factor receptor signaling pathway [GO:0007173]; exocytosis [GO:0006887]; insulin receptor signaling pathway [GO:0008286]; membrane organization [GO:0061024]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol-3-phosphate biosynthetic process [GO:0036092]; phosphatidylinositol-mediated signaling [GO:0048015]; phosphorylation [GO:0016310]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of autophagy [GO:0010508]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; vascular associated smooth muscle contraction [GO:0014829]	9606.ENSP00000265970
O00592	PODXL_HUMAN	Podocalyxin (GCTM-2 antigen) (Gp200) (Podocalyxin-like protein 1) (PC) (PCLP-1)	PODXL PCLP PCLP1	cell adhesion [GO:0007155]; cell migration [GO:0016477]; epithelial tube formation [GO:0072175]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell-cell adhesion [GO:0022408]; podocyte development [GO:0072015]; positive regulation of cell migration [GO:0030335]; positive regulation of cell-cell adhesion mediated by integrin [GO:0033634]; regulation of microvillus assembly [GO:0032534]	apical plasma membrane [GO:0016324]; centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; filopodium [GO:0030175]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; membrane raft [GO:0045121]; microvillus membrane [GO:0031528]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; slit diaphragm [GO:0036057]		GO:0001726; GO:0005615; GO:0005730; GO:0005737; GO:0005886; GO:0007155; GO:0007162; GO:0016324; GO:0016477; GO:0022408; GO:0030027; GO:0030175; GO:0030335; GO:0031528; GO:0032534; GO:0033634; GO:0034451; GO:0036057; GO:0043231; GO:0045121; GO:0070062; GO:0072015; GO:0072175	apical plasma membrane [GO:0016324]; centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; filopodium [GO:0030175]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; membrane raft [GO:0045121]; microvillus membrane [GO:0031528]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; slit diaphragm [GO:0036057]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; epithelial tube formation [GO:0072175]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell-cell adhesion [GO:0022408]; podocyte development [GO:0072015]; positive regulation of cell migration [GO:0030335]; positive regulation of cell-cell adhesion mediated by integrin [GO:0033634]; regulation of microvillus assembly [GO:0032534]	9606.ENSP00000367817
O14810	CPLX1_HUMAN	Complexin-1 (Complexin I) (CPX I) (Synaphin-2)	CPLX1	chemical synaptic transmission [GO:0007268]; exocytosis [GO:0006887]; insulin secretion [GO:0030073]; regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane [GO:0099145]; regulation of exocytosis [GO:0017157]; regulation of neurotransmitter secretion [GO:0046928]; regulation of synaptic vesicle fusion to presynaptic active zone membrane [GO:0031630]; synaptic vesicle exocytosis [GO:0016079]	calyx of Held [GO:0044305]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; perikaryon [GO:0043204]; postsynapse [GO:0098794]; Schaffer collateral - CA1 synapse [GO:0098685]; SNARE complex [GO:0031201]; synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex [GO:0070554]; terminal bouton [GO:0043195]	SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]	GO:0000149; GO:0005829; GO:0006887; GO:0007268; GO:0016079; GO:0017157; GO:0019905; GO:0030073; GO:0031201; GO:0031630; GO:0043195; GO:0043204; GO:0044305; GO:0046928; GO:0070554; GO:0098685; GO:0098794; GO:0098978; GO:0099145	calyx of Held [GO:0044305]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; perikaryon [GO:0043204]; postsynapse [GO:0098794]; Schaffer collateral - CA1 synapse [GO:0098685]; SNARE complex [GO:0031201]; synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex [GO:0070554]; terminal bouton [GO:0043195]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; chemical synaptic transmission [GO:0007268]; exocytosis [GO:0006887]; insulin secretion [GO:0030073]; regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane [GO:0099145]; regulation of exocytosis [GO:0017157]; regulation of neurotransmitter secretion [GO:0046928]; regulation of synaptic vesicle fusion to presynaptic active zone membrane [GO:0031630]; synaptic vesicle exocytosis [GO:0016079]	9606.ENSP00000305613
O14966	RAB7L_HUMAN	Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)	RAB29 RAB7L1	cell differentiation [GO:0030154]; cellular detoxification [GO:1990748]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; melanosome organization [GO:0032438]; mitochondrion organization [GO:0007005]; modulation by host of viral process [GO:0044788]; negative regulation of neuron projection development [GO:0010977]; positive regulation of intracellular protein transport [GO:0090316]; positive regulation of receptor recycling [GO:0001921]; positive regulation of T cell receptor signaling pathway [GO:0050862]; protein localization to ciliary membrane [GO:1903441]; protein localization to membrane [GO:0072657]; regulation of retrograde transport, endosome to Golgi [GO:1905279]; response to bacterium [GO:0009617]; retrograde transport, endosome to Golgi [GO:0042147]; synapse assembly [GO:0007416]; T cell activation [GO:0042110]	cis-Golgi network [GO:0005801]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early endosome [GO:0005769]; endomembrane system [GO:0012505]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; intracellular vesicle [GO:0097708]; melanosome [GO:0042470]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; trans-Golgi network [GO:0005802]; vacuole [GO:0005773]	dynein complex binding [GO:0070840]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; kinesin binding [GO:0019894]; small GTPase binding [GO:0031267]	GO:0001921; GO:0003924; GO:0005525; GO:0005737; GO:0005739; GO:0005769; GO:0005773; GO:0005794; GO:0005801; GO:0005802; GO:0005829; GO:0005856; GO:0005886; GO:0006886; GO:0007005; GO:0007030; GO:0007416; GO:0009617; GO:0010977; GO:0012505; GO:0019003; GO:0019894; GO:0030154; GO:0031267; GO:0032438; GO:0042110; GO:0042147; GO:0042470; GO:0043231; GO:0044788; GO:0048471; GO:0050862; GO:0055037; GO:0070062; GO:0070840; GO:0072657; GO:0090316; GO:0097708; GO:1903441; GO:1905279; GO:1990748	cis-Golgi network [GO:0005801]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early endosome [GO:0005769]; endomembrane system [GO:0012505]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; intracellular vesicle [GO:0097708]; melanosome [GO:0042470]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; trans-Golgi network [GO:0005802]; vacuole [GO:0005773]; dynein complex binding [GO:0070840]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; kinesin binding [GO:0019894]; small GTPase binding [GO:0031267]; cell differentiation [GO:0030154]; cellular detoxification [GO:1990748]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; melanosome organization [GO:0032438]; mitochondrion organization [GO:0007005]; modulation by host of viral process [GO:0044788]; negative regulation of neuron projection development [GO:0010977]; positive regulation of intracellular protein transport [GO:0090316]; positive regulation of receptor recycling [GO:0001921]; positive regulation of T cell receptor signaling pathway [GO:0050862]; protein localization to ciliary membrane [GO:1903441]; protein localization to membrane [GO:0072657]; regulation of retrograde transport, endosome to Golgi [GO:1905279]; response to bacterium [GO:0009617]; retrograde transport, endosome to Golgi [GO:0042147]; synapse assembly [GO:0007416]; T cell activation [GO:0042110]	9606.ENSP00000356107
O15239	NDUA1_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit)	NDUFA1	aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0005739; GO:0005743; GO:0006120; GO:0008137; GO:0009060; GO:0031966; GO:0032981; GO:0042776; GO:0045271	mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; aerobic respiration [GO:0009060]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	9606.ENSP00000360492
O15354	GPR37_HUMAN	Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	GPR37	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; cellular response to reactive oxygen species [GO:0034614]; dendrite development [GO:0016358]; dopamine biosynthetic process [GO:0042416]; G protein-coupled receptor signaling pathway [GO:0007186]; locomotion involved in locomotory behavior [GO:0031987]; neuropeptide signaling pathway [GO:0007218]; positive regulation of dopamine metabolic process [GO:0045964]; positive regulation of MAPK cascade [GO:0043410]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; synapse [GO:0045202]; ubiquitin ligase complex [GO:0000151]	G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]; heat shock protein binding [GO:0031072]; Hsp70 protein binding [GO:0030544]; neuropeptide binding [GO:0042923]; neuropeptide receptor activity [GO:0008188]; PDZ domain binding [GO:0030165]; peptide binding [GO:0042277]; prosaposin receptor activity [GO:0036505]; ubiquitin protein ligase binding [GO:0031625]	GO:0000151; GO:0004930; GO:0005737; GO:0005783; GO:0005789; GO:0005886; GO:0007186; GO:0007193; GO:0007218; GO:0008188; GO:0008528; GO:0009986; GO:0016358; GO:0030165; GO:0030425; GO:0030544; GO:0031072; GO:0031625; GO:0031987; GO:0034614; GO:0036505; GO:0042277; GO:0042416; GO:0042923; GO:0043235; GO:0043410; GO:0045202; GO:0045964	cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; synapse [GO:0045202]; ubiquitin ligase complex [GO:0000151]; G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]; heat shock protein binding [GO:0031072]; Hsp70 protein binding [GO:0030544]; neuropeptide binding [GO:0042923]; neuropeptide receptor activity [GO:0008188]; PDZ domain binding [GO:0030165]; peptide binding [GO:0042277]; prosaposin receptor activity [GO:0036505]; ubiquitin protein ligase binding [GO:0031625]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; cellular response to reactive oxygen species [GO:0034614]; dendrite development [GO:0016358]; dopamine biosynthetic process [GO:0042416]; G protein-coupled receptor signaling pathway [GO:0007186]; locomotion involved in locomotory behavior [GO:0031987]; neuropeptide signaling pathway [GO:0007218]; positive regulation of dopamine metabolic process [GO:0045964]; positive regulation of MAPK cascade [GO:0043410]	9606.ENSP00000306449
O43181	NDUS4_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	NDUFS4	aerobic respiration [GO:0009060]; brain development [GO:0007420]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; reactive oxygen species metabolic process [GO:0072593]; regulation of protein phosphorylation [GO:0001932]; response to cAMP [GO:0051591]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	GO:0001932; GO:0005739; GO:0005743; GO:0006120; GO:0007420; GO:0008137; GO:0009060; GO:0032981; GO:0042776; GO:0045271; GO:0051591; GO:0072593	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; aerobic respiration [GO:0009060]; brain development [GO:0007420]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; reactive oxygen species metabolic process [GO:0072593]; regulation of protein phosphorylation [GO:0001932]; response to cAMP [GO:0051591]	9606.ENSP00000296684
O43236	SEPT4_HUMAN	Septin-4 (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Peanut-like protein 2)	SEPTIN4 C17orf47 PNUTL2 SEP4 SEPT4 hucep-7	apoptotic process [GO:0006915]; cytoskeleton-dependent cytokinesis [GO:0061640]; flagellated sperm motility [GO:0030317]; hematopoietic stem cell homeostasis [GO:0061484]; neuron migration [GO:0001764]; positive regulation of apoptotic process [GO:0043065]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of protein ubiquitination [GO:0031398]; protein localization [GO:0008104]; regulation of apoptotic process [GO:0042981]; regulation of exocytosis [GO:0017157]; spermatid differentiation [GO:0048515]	axon [GO:0030424]; cell division site [GO:0032153]; cytosol [GO:0005829]; dendrite [GO:0030425]; dopaminergic synapse [GO:0098691]; microtubule cytoskeleton [GO:0015630]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; presynapse [GO:0098793]; septin complex [GO:0031105]; septin ring [GO:0005940]; sperm annulus [GO:0097227]; synaptic vesicle [GO:0008021]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; molecular adaptor activity [GO:0060090]; structural molecule activity [GO:0005198]	GO:0000287; GO:0001764; GO:0003924; GO:0005198; GO:0005525; GO:0005634; GO:0005654; GO:0005739; GO:0005741; GO:0005829; GO:0005940; GO:0006915; GO:0008021; GO:0008104; GO:0015630; GO:0017157; GO:0030317; GO:0030424; GO:0030425; GO:0031105; GO:0031398; GO:0032153; GO:0042802; GO:0042981; GO:0043065; GO:0043204; GO:0048515; GO:0060090; GO:0061484; GO:0061640; GO:0097227; GO:0098691; GO:0098793; GO:2001244	axon [GO:0030424]; cell division site [GO:0032153]; cytosol [GO:0005829]; dendrite [GO:0030425]; dopaminergic synapse [GO:0098691]; microtubule cytoskeleton [GO:0015630]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; presynapse [GO:0098793]; septin complex [GO:0031105]; septin ring [GO:0005940]; sperm annulus [GO:0097227]; synaptic vesicle [GO:0008021]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; molecular adaptor activity [GO:0060090]; structural molecule activity [GO:0005198]; apoptotic process [GO:0006915]; cytoskeleton-dependent cytokinesis [GO:0061640]; flagellated sperm motility [GO:0030317]; hematopoietic stem cell homeostasis [GO:0061484]; neuron migration [GO:0001764]; positive regulation of apoptotic process [GO:0043065]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of protein ubiquitination [GO:0031398]; protein localization [GO:0008104]; regulation of apoptotic process [GO:0042981]; regulation of exocytosis [GO:0017157]; spermatid differentiation [GO:0048515]	9606.ENSP00000354874
